Vin[V] Vout[V] Clip_b
1e+38 0.024621 63.0
0.008816 0.024504 61.0
1e+38 0.023888 59.0
1e+38 0.024017 57.0
0.008256 0.024463 55.0
1e+38 0.023863 53.0
0.009227 0.024426 51.0
1e+38 0.024358 49.0
1e+38 0.024371 47.0
1e+38 0.024315 45.0
1e+38 0.024521 43.0
1e+38 0.024132 41.0
1e+38 0.023976 39.0
1e+38 0.02412 37.0
1e+38 0.024053 35.0
1e+38 0.024395 33.0
1e+38 0.024195 31.0
1e+38 0.024443 29.0
0.008449 0.024054 27.0
1e+38 0.024674 25.0
1e+38 0.024418 23.0
1e+38 0.024105 21.0
1e+38 0.024522 19.0
1e+38 0.024115 17.0
1e+38 0.02443 15.0
1e+38 0.02396 13.0
0.008444 0.024103 11.0
1e+38 0.023714 9.0
1e+38 0.024225 7.0
1e+38 0.023816 5.0
0.008187 0.023138 3.0
1e+38 0.019707 1.0
0.00961 0.04928 63.0
0.00951 0.04905 61.0
0.0106 0.048787 59.0
0.01075 0.048838 57.0
0.00912 0.048617 55.0
0.00916 0.048819 53.0
0.00984 0.048725 51.0
0.00933 0.048952 49.0
0.00914 0.04898 47.0
0.00997 0.048934 45.0
0.01035 0.049409 43.0
0.00944 0.048962 41.0
0.00968 0.048968 39.0
0.00897 0.049147 37.0
0.01062 0.048823 35.0
0.00893 0.04854 33.0
0.01139 0.048867 31.0
0.0103 0.04901 29.0
0.01039 0.048822 27.0
0.00942 0.048984 25.0
0.00938 0.048454 23.0
0.00864 0.049047 21.0
0.00911 0.04856 19.0
0.00987 0.048304 17.0
1e+38 0.048581 15.0
0.00935 0.047845 13.0
0.0099 0.04726 11.0
0.01051 0.046052 9.0
0.00964 0.044424 7.0
0.00958 0.042287 5.0
0.0097 0.039002 3.0
0.00883 0.032644 1.0
1e+38 0.09753 63.0
1e+38 0.09772 61.0
1e+38 0.09777 59.0
1e+38 0.09738 57.0
1e+38 0.09772 55.0
1e+38 0.09679 53.0
1e+38 0.09717 51.0
1e+38 0.09724 49.0
1e+38 0.09677 47.0
1e+38 0.0965 45.0
1e+38 0.0966 43.0
1e+38 0.09544 41.0
1e+38 0.09483 39.0
1e+38 0.09396 37.0
1e+38 0.09354 35.0
1e+38 0.09225 33.0
1e+38 0.09067 31.0
1e+38 0.08916 29.0
1e+38 0.08732 27.0
1e+38 0.08543 25.0
1e+38 0.08326 23.0
1e+38 0.08068 21.0
1e+38 0.07781 19.0
1e+38 0.07537 17.0
1e+38 0.07271 15.0
1e+38 0.06992 13.0
1e+38 0.06669 11.0
1e+38 0.06324 9.0
1e+38 0.05984 7.0
1e+38 0.05626 5.0
1e+38 0.05191 3.0
1e+38 0.04609 1.0
1e+38 1e+38 63.0
1e+38 1e+38 61.0
1e+38 1e+38 59.0
1e+38 0.13309 57.0
1e+38 0.13149 55.0
1e+38 0.12943 53.0
1e+38 0.12756 51.0
1e+38 0.1255 49.0
1e+38 0.12336 47.0
1e+38 0.12141 45.0
1e+38 0.11948 43.0
1e+38 0.11662 41.0
1e+38 0.11464 39.0
1e+38 0.11208 37.0
1e+38 0.10936 35.0
1e+38 0.10689 33.0
1e+38 0.10441 31.0
1e+38 0.10144 29.0
1e+38 0.09884 27.0
1e+38 0.09609 25.0
1e+38 0.09332 23.0
1e+38 0.0903 21.0
1e+38 0.08763 19.0
1e+38 0.0848 17.0
1e+38 0.08106 15.0
1e+38 0.07819 13.0
1e+38 0.07509 11.0
1e+38 0.07168 9.0
1e+38 0.06799 7.0
1e+38 0.06432 5.0
1e+38 0.06041 3.0
1e+38 0.05518 1.0
1e+38 0.14898 63.0
1e+38 0.14724 61.0
1e+38 0.14484 59.0
1e+38 0.14256 57.0
1e+38 0.14009 55.0
1e+38 0.13739 53.0
1e+38 0.13488 51.0
1e+38 0.13243 49.0
1e+38 0.12946 47.0
1e+38 0.12774 45.0
1e+38 0.12403 43.0
1e+38 0.12269 41.0
1e+38 0.11994 39.0
1e+38 0.11648 37.0
1e+38 0.11459 35.0
1e+38 0.11061 33.0
1e+38 0.10926 31.0
1e+38 0.10569 29.0
1e+38 0.10325 27.0
1e+38 0.10041 25.0
1e+38 0.09709 23.0
1e+38 0.09422 21.0
1e+38 0.0917 19.0
1e+38 0.08769 17.0
1e+38 0.08512 15.0
1e+38 0.08188 13.0
1e+38 0.07798 11.0
1e+38 0.07501 9.0
1e+38 0.07121 7.0
1e+38 0.06805 5.0
1e+38 0.06396 3.0
1e+38 0.06043 1.0
1e+38 0.14987 63.0
1e+38 0.14751 61.0
1e+38 0.14622 59.0
1e+38 0.14389 57.0
1e+38 0.14123 55.0
1e+38 0.1381 53.0
1e+38 0.13628 51.0
1e+38 0.13314 49.0
1e+38 0.13094 47.0
1e+38 0.12762 45.0
1e+38 0.12485 43.0
1e+38 0.12262 41.0
1e+38 0.11941 39.0
1e+38 0.11701 37.0
1e+38 0.11446 35.0
1e+38 0.11189 33.0
1e+38 0.10951 31.0
1e+38 0.10598 29.0
1e+38 0.10319 27.0
1e+38 0.10083 25.0
1e+38 0.09857 23.0
1e+38 0.09416 21.0
1e+38 0.09072 19.0
1e+38 0.08796 17.0
1e+38 0.08572 15.0
1e+38 0.08125 13.0
1e+38 0.07796 11.0
1e+38 0.07402 9.0
1e+38 0.06953 7.0
1e+38 0.06612 5.0
1e+38 0.06192 3.0
1e+38 0.0614 1.0
1e+38 0.15074 63.0
1e+38 0.14872 61.0
1e+38 0.14595 59.0
1e+38 0.14393 57.0
1e+38 0.14141 55.0
1e+38 0.13887 53.0
1e+38 0.13611 51.0
1e+38 0.13372 49.0
1e+38 0.13159 47.0
1e+38 0.12869 45.0
1e+38 0.12599 43.0
1e+38 0.12341 41.0
1e+38 0.12046 39.0
1e+38 0.11768 37.0
1e+38 0.11544 35.0
1e+38 0.11204 33.0
1e+38 0.10918 31.0
1e+38 0.10642 29.0
1e+38 0.1038 27.0
1e+38 0.10077 25.0
1e+38 0.09773 23.0
1e+38 0.09497 21.0
1e+38 0.09206 19.0
1e+38 0.08878 17.0
1e+38 0.08498 15.0
1e+38 0.08202 13.0
