Vin[V] Vout[V] Clip_b
0.008225 0.033438 63.0
1e+38 0.032604 61.0
1e+38 0.032577 59.0
1e+38 0.032974 57.0
1e+38 0.033033 55.0
1e+38 0.032921 53.0
1e+38 0.032594 51.0
0.008861 0.033383 49.0
1e+38 0.033294 47.0
0.008784 0.03348 45.0
0.008637 0.032939 43.0
1e+38 0.033176 41.0
1e+38 0.033866 39.0
1e+38 0.033062 37.0
0.009119 0.033255 35.0
1e+38 0.032627 33.0
1e+38 0.032323 31.0
1e+38 0.032374 29.0
1e+38 0.032537 27.0
1e+38 0.032404 25.0
1e+38 0.031849 23.0
1e+38 0.030937 21.0
1e+38 0.030331 19.0
1e+38 0.029082 17.0
1e+38 0.027338 15.0
1e+38 0.025797 13.0
0.008607 0.023764 11.0
1e+38 0.02108 9.0
1e+38 0.018191 7.0
1e+38 0.015337 5.0
0.008758 0.01256 3.0
1e+38 0.011549 1.0
0.0096 0.066069 63.0
0.00909 0.066309 61.0
0.00959 0.06589 59.0
0.00919 0.065886 57.0
0.00983 0.066019 55.0
0.0105 0.065904 53.0
0.00897 0.064631 51.0
0.00921 0.065521 49.0
0.00936 0.0653 47.0
0.01032 0.06386 45.0
0.00904 0.06426 43.0
0.01108 0.063493 41.0
0.00934 0.062069 39.0
0.01067 0.06081 37.0
0.00981 0.059338 35.0
0.00982 0.058245 33.0
0.00948 0.05653 31.0
1e+38 0.054245 29.0
0.00908 0.052127 27.0
0.00821 0.050148 25.0
0.00922 0.04744 23.0
0.00972 0.044663 21.0
0.00935 0.042489 19.0
0.00994 0.039848 17.0
0.00879 0.036845 15.0
0.01026 0.034369 13.0
1e+38 0.031532 11.0
1e+38 0.028379 9.0
1e+38 0.02542 7.0
0.00964 0.022433 5.0
0.00926 0.019328 3.0
0.00944 0.018949 1.0
1e+38 0.10768 63.0
1e+38 0.10576 61.0
1e+38 0.10382 59.0
1e+38 0.10194 57.0
1e+38 0.09921 55.0
1e+38 0.09722 53.0
1e+38 0.09487 51.0
1e+38 0.09256 49.0
1e+38 0.09041 47.0
1e+38 0.08802 45.0
1e+38 0.08552 43.0
1e+38 0.0828 41.0
1e+38 0.08018 39.0
1e+38 0.07799 37.0
1e+38 0.07518 35.0
1e+38 0.07255 33.0
1e+38 0.07003 31.0
1e+38 0.06706 29.0
1e+38 0.06466 27.0
1e+38 0.06174 25.0
1e+38 0.05897 23.0
1e+38 0.05618 21.0
1e+38 0.05355 19.0
1e+38 0.05058 17.0
1e+38 0.04756 15.0
1e+38 0.044 13.0
1e+38 0.04142 11.0
1e+38 0.03813 9.0
1e+38 0.03478 7.0
1e+38 0.03213 5.0
1e+38 0.02994 3.0
1e+38 0.03055 1.0
1e+38 0.11169 63.0
1e+38 0.10947 61.0
1e+38 0.1075 59.0
1e+38 0.10457 57.0
1e+38 0.10279 55.0
1e+38 0.09945 53.0
1e+38 0.09742 51.0
1e+38 0.09447 49.0
1e+38 0.09232 47.0
1e+38 0.08936 45.0
1e+38 0.08691 43.0
1e+38 0.08437 41.0
1e+38 0.08215 39.0
1e+38 0.07932 37.0
1e+38 0.07716 35.0
1e+38 0.07378 33.0
1e+38 0.07121 31.0
1e+38 0.06863 29.0
1e+38 0.06593 27.0
1e+38 0.0631 25.0
1e+38 0.0597 23.0
1e+38 0.05706 21.0
1e+38 0.05418 19.0
1e+38 0.05125 17.0
1e+38 0.04881 15.0
1e+38 0.04521 13.0
1e+38 0.04256 11.0
1e+38 0.03862 9.0
1e+38 0.03623 7.0
1e+38 0.03401 5.0
1e+38 0.0325 3.0
1e+38 0.03353 1.0
1e+38 0.11209 63.0
1e+38 0.11034 61.0
1e+38 0.10765 59.0
1e+38 0.10567 57.0
1e+38 0.10272 55.0
1e+38 0.10078 53.0
1e+38 0.09844 51.0
1e+38 0.09554 49.0
1e+38 0.0929 47.0
1e+38 0.09078 45.0
1e+38 0.08774 43.0
1e+38 0.08498 41.0
1e+38 0.08227 39.0
1e+38 0.08015 37.0
1e+38 0.07764 35.0
1e+38 0.07507 33.0
1e+38 0.07204 31.0
1e+38 0.06934 29.0
1e+38 0.06657 27.0
1e+38 0.06374 25.0
1e+38 0.06066 23.0
1e+38 0.05807 21.0
1e+38 0.05516 19.0
1e+38 0.05247 17.0
1e+38 0.04949 15.0
1e+38 0.0462 13.0
1e+38 0.04249 11.0
1e+38 0.03966 9.0
1e+38 0.03618 7.0
1e+38 0.03447 5.0
1e+38 0.03365 3.0
1e+38 0.03575 1.0
1e+38 0.11344 63.0
1e+38 0.11189 61.0
1e+38 0.10805 59.0
1e+38 0.10546 57.0
1e+38 0.1032 55.0
1e+38 0.10075 53.0
1e+38 0.09854 51.0
1e+38 0.09558 49.0
1e+38 0.09316 47.0
1e+38 0.09058 45.0
1e+38 0.08788 43.0
1e+38 0.0855 41.0
1e+38 0.08229 39.0
1e+38 0.07959 37.0
1e+38 0.07755 35.0
1e+38 0.07507 33.0
1e+38 0.07217 31.0
1e+38 0.0694 29.0
1e+38 0.06651 27.0
1e+38 0.0638 25.0
1e+38 0.06195 23.0
1e+38 0.05942 21.0
1e+38 0.05687 19.0
1e+38 0.05363 17.0
1e+38 0.04915 15.0
1e+38 0.04546 13.0
1e+38 0.04242 11.0
1e+38 0.03921 9.0
1e+38 0.03535 7.0
1e+38 0.03305 5.0
1e+38 0.02991 3.0
1e+38 0.03267 1.0
1e+38 0.11325 63.0
1e+38 0.11041 61.0
1e+38 0.10772 59.0
1e+38 0.1066 57.0
1e+38 0.10275 55.0
1e+38 0.10083 53.0
1e+38 0.09696 51.0
1e+38 0.09601 49.0
1e+38 0.09252 47.0
1e+38 0.08987 45.0
1e+38 0.08677 43.0
1e+38 0.08453 41.0
1e+38 0.08183 39.0
1e+38 0.07938 37.0
1e+38 0.07682 35.0
1e+38 0.07391 33.0
1e+38 0.07136 31.0
1e+38 0.06817 29.0
1e+38 0.06535 27.0
1e+38 0.06335 25.0
1e+38 0.0611 23.0
1e+38 0.05852 21.0
1e+38 0.05579 19.0
1e+38 0.05253 17.0
1e+38 0.04851 15.0
1e+38 0.0452 13.0
1e+38 0.04155 11.0
1e+38 0.03824 9.0
1e+38 0.0342 7.0
1e+38 0.03184 5.0
1e+38 0.02852 3.0
1e+38 0.03314 1.0
1e+38 0.11447 63.0
1e+38 0.11147 61.0
1e+38 0.10913 59.0
1e+38 0.10649 57.0
1e+38 0.1041 55.0
1e+38 0.10163 53.0
1e+38 0.09832 51.0
1e+38 0.09591 49.0
1e+38 0.09336 47.0
1e+38 0.09123 45.0
1e+38 0.08863 43.0
1e+38 0.08512 41.0
1e+38 0.0824 39.0
1e+38 0.0795 37.0
1e+38 0.07765 35.0
1e+38 0.07419 33.0
1e+38 0.07198 31.0
1e+38 0.06921 29.0
1e+38 0.0665 27.0
1e+38 0.06382 25.0
1e+38 0.06084 23.0
1e+38 0.05801 21.0
1e+38 0.05517 19.0
1e+38 0.05247 17.0
1e+38 0.04883 15.0
1e+38 0.04576 13.0
1e+38 0.04243 11.0
1e+38 0.03901 9.0
1e+38 0.03631 7.0
1e+38 0.03123 5.0
1e+38 0.03464 3.0
1e+38 0.03596 1.0
1e+38 0.11358 63.0
1e+38 0.11144 61.0
1e+38 0.10945 59.0
1e+38 0.10649 57.0
1e+38 0.10375 55.0
1e+38 0.10092 53.0
1e+38 0.0984 51.0
1e+38 0.09651 49.0
1e+38 0.0929 47.0
1e+38 0.09114 45.0
1e+38 0.08796 43.0
1e+38 0.08551 41.0
1e+38 0.08221 39.0
1e+38 0.07952 37.0
1e+38 0.07694 35.0
1e+38 0.07565 33.0
1e+38 0.0717 31.0
1e+38 0.06953 29.0
1e+38 0.06657 27.0
1e+38 0.06374 25.0
1e+38 0.06045 23.0
1e+38 0.05807 21.0
1e+38 0.05517 19.0
1e+38 0.05229 17.0
1e+38 0.04829 15.0
1e+38 0.04526 13.0
1e+38 0.0425 11.0
1e+38 0.03824 9.0
1e+38 0.03509 7.0
1e+38 0.03116 5.0
1e+38 0.0307 3.0
1e+38 0.03263 1.0
1e+38 0.11267 63.0
1e+38 0.11022 61.0
1e+38 0.10851 59.0
1e+38 0.10697 57.0
1e+38 0.10241 55.0
1e+38 0.1005 53.0
1e+38 0.09844 51.0
1e+38 0.0953 49.0
1e+38 0.09297 47.0
1e+38 0.0897 45.0
1e+38 0.08717 43.0
1e+38 0.08548 41.0
1e+38 0.08222 39.0
1e+38 0.07938 37.0
1e+38 0.077 35.0
1e+38 0.07408 33.0
1e+38 0.07101 31.0
1e+38 0.06805 29.0
1e+38 0.0659 27.0
1e+38 0.06246 25.0
1e+38 0.06052 23.0
1e+38 0.05711 21.0
1e+38 0.05434 19.0
1e+38 0.05113 17.0
1e+38 0.04836 15.0
1e+38 0.04532 13.0
1e+38 0.04198 11.0
1e+38 0.03847 9.0
1e+38 0.03413 7.0
1e+38 0.03097 5.0
1e+38 0.02691 3.0
1e+38 0.0277 1.0
