Vin[V] Vout[V] Clip_b
1e+38 0.028576 63.0
1e+38 0.028083 61.0
1e+38 0.028608 59.0
1e+38 0.027981 57.0
1e+38 0.028169 55.0
0.008289 0.027761 53.0
0.008665 0.028004 51.0
0.008037 0.028151 49.0
0.009215 0.02832 47.0
1e+38 0.027978 45.0
1e+38 0.028226 43.0
0.008347 0.027707 41.0
1e+38 0.028155 39.0
1e+38 0.027778 37.0
1e+38 0.028268 35.0
0.008797 0.027797 33.0
0.008438 0.027786 31.0
1e+38 0.0281 29.0
0.008412 0.027663 27.0
0.009033 0.027812 25.0
1e+38 0.028106 23.0
1e+38 0.027795 21.0
1e+38 0.027134 19.0
1e+38 0.027706 17.0
1e+38 0.027292 15.0
1e+38 0.027785 13.0
0.008178 0.027797 11.0
1e+38 0.026802 9.0
1e+38 0.026973 7.0
1e+38 0.025854 5.0
0.008039 0.023482 3.0
1e+38 0.017525 1.0
0.00935 0.057231 63.0
0.00932 0.056401 61.0
0.00901 0.057434 59.0
0.00884 0.056611 57.0
0.00917 0.056946 55.0
0.00966 0.056888 53.0
0.00872 0.056734 51.0
0.00943 0.056764 49.0
0.0101 0.056675 47.0
1e+38 0.056677 45.0
0.00903 0.056824 43.0
0.00964 0.056619 41.0
0.00977 0.05657 39.0
0.00922 0.056441 37.0
0.00992 0.056346 35.0
0.00934 0.056586 33.0
0.00901 0.056239 31.0
0.01153 0.055663 29.0
0.00846 0.055698 27.0
0.00989 0.055715 25.0
0.01047 0.056267 23.0
0.01024 0.055776 21.0
0.01013 0.055834 19.0
0.00939 0.055557 17.0
0.00955 0.055749 15.0
0.00883 0.055527 13.0
0.0094 0.053781 11.0
0.00983 0.053279 9.0
0.01087 0.05128 7.0
0.00976 0.047599 5.0
0.00929 0.039769 3.0
0.00909 0.028415 1.0
1e+38 0.11409 63.0
1e+38 0.11404 61.0
1e+38 0.11398 59.0
1e+38 0.11412 57.0
1e+38 0.11346 55.0
1e+38 0.11414 53.0
1e+38 0.11359 51.0
1e+38 0.11357 49.0
1e+38 0.11377 47.0
1e+38 0.11318 45.0
1e+38 0.11321 43.0
1e+38 0.11307 41.0
1e+38 0.11271 39.0
1e+38 0.11268 37.0
1e+38 0.11224 35.0
1e+38 0.11217 33.0
1e+38 0.11261 31.0
1e+38 0.11196 29.0
1e+38 0.11188 27.0
1e+38 0.1118 25.0
1e+38 0.11155 23.0
1e+38 0.11027 21.0
1e+38 0.1093 19.0
1e+38 0.1076 17.0
1e+38 0.10448 15.0
1e+38 0.10091 13.0
1e+38 0.09473 11.0
1e+38 0.08732 9.0
1e+38 0.07729 7.0
1e+38 0.06698 5.0
1e+38 0.05639 3.0
1e+38 0.04361 1.0
1e+38 0.1701 63.0
1e+38 0.17025 61.0
1e+38 0.16997 59.0
1e+38 0.16999 57.0
1e+38 0.16982 55.0
1e+38 0.16948 53.0
1e+38 0.16933 51.0
1e+38 0.16952 49.0
1e+38 0.16861 47.0
1e+38 0.1697 45.0
1e+38 0.16869 43.0
1e+38 0.16828 41.0
1e+38 0.16767 39.0
1e+38 0.16804 37.0
1e+38 0.16832 35.0
1e+38 0.16683 33.0
1e+38 0.16591 31.0
1e+38 0.16498 29.0
1e+38 0.16356 27.0
1e+38 0.16113 25.0
1e+38 0.15735 23.0
1e+38 0.15254 21.0
1e+38 0.14608 19.0
1e+38 0.13835 17.0
1e+38 0.12963 15.0
1e+38 0.12072 13.0
1e+38 0.11132 11.0
1e+38 0.10138 9.0
1e+38 0.0911 7.0
1e+38 0.08007 5.0
1e+38 0.06855 3.0
1e+38 0.05662 1.0
1e+38 0.22467 63.0
1e+38 0.22397 61.0
1e+38 0.22432 59.0
1e+38 0.22374 57.0
1e+38 0.22328 55.0
1e+38 0.22386 53.0
1e+38 0.22299 51.0
1e+38 0.22316 49.0
1e+38 0.22223 47.0
1e+38 0.22225 45.0
1e+38 0.22121 43.0
1e+38 0.22106 41.0
1e+38 0.21947 39.0
1e+38 0.21774 37.0
1e+38 0.21575 35.0
1e+38 0.2129 33.0
1e+38 0.20816 31.0
1e+38 0.2023 29.0
1e+38 0.19572 27.0
1e+38 0.18806 25.0
1e+38 0.17902 23.0
1e+38 0.1702 21.0
1e+38 0.16141 19.0
1e+38 0.15173 17.0
1e+38 0.14186 15.0
1e+38 0.13218 13.0
1e+38 0.12235 11.0
1e+38 0.11229 9.0
1e+38 0.10038 7.0
1e+38 0.08967 5.0
1e+38 0.07855 3.0
1e+38 0.06693 1.0
1e+38 0.27741 63.0
1e+38 0.27731 61.0
1e+38 0.27616 59.0
1e+38 0.27584 57.0
1e+38 0.27591 55.0
1e+38 0.2744 53.0
1e+38 0.27433 51.0
1e+38 0.27343 49.0
1e+38 0.27149 47.0
1e+38 0.26941 45.0
1e+38 0.26643 43.0
1e+38 0.26263 41.0
1e+38 0.25707 39.0
1e+38 0.25082 37.0
1e+38 0.24449 35.0
1e+38 0.23647 33.0
1e+38 0.22761 31.0
1e+38 0.21917 29.0
1e+38 0.21091 27.0
1e+38 0.2019 25.0
1e+38 0.19226 23.0
1e+38 0.18265 21.0
1e+38 0.17259 19.0
1e+38 0.1636 17.0
1e+38 0.15286 15.0
1e+38 0.14275 13.0
1e+38 0.13222 11.0
1e+38 0.12247 9.0
1e+38 0.11009 7.0
1e+38 0.09877 5.0
1e+38 0.08715 3.0
1e+38 0.07628 1.0
1e+38 0.32587 63.0
1e+38 0.32467 61.0
1e+38 0.32324 59.0
1e+38 0.32145 57.0
1e+38 0.3194 55.0
1e+38 0.31756 53.0
1e+38 0.31402 51.0
1e+38 0.31031 49.0
1e+38 0.30377 47.0
1e+38 0.29727 45.0
1e+38 0.29043 43.0
1e+38 0.28315 41.0
1e+38 0.27506 39.0
1e+38 0.26628 37.0
1e+38 0.25778 35.0
1e+38 0.24945 33.0
1e+38 0.23944 31.0
1e+38 0.23027 29.0
1e+38 0.22153 27.0
1e+38 0.21205 25.0
1e+38 0.20194 23.0
1e+38 0.19192 21.0
1e+38 0.18246 19.0
1e+38 0.17255 17.0
1e+38 0.16186 15.0
1e+38 0.1517 13.0
1e+38 0.14089 11.0
1e+38 0.13036 9.0
1e+38 0.11858 7.0
1e+38 0.10652 5.0
1e+38 0.0954 3.0
1e+38 0.08528 1.0
1e+38 0.36576 63.0
1e+38 0.36296 61.0
1e+38 0.35969 59.0
1e+38 0.35562 57.0
1e+38 0.34917 55.0
1e+38 0.34218 53.0
1e+38 0.33517 51.0
1e+38 0.32835 49.0
1e+38 0.3202 47.0
1e+38 0.31167 45.0
1e+38 0.30386 43.0
1e+38 0.29557 41.0
1e+38 0.28622 39.0
1e+38 0.27748 37.0
1e+38 0.26868 35.0
1e+38 0.26016 33.0
1e+38 0.24945 31.0
1e+38 0.24103 29.0
1e+38 0.2313 27.0
1e+38 0.22232 25.0
1e+38 0.21125 23.0
1e+38 0.20063 21.0
1e+38 0.19115 19.0
1e+38 0.18052 17.0
1e+38 0.16989 15.0
1e+38 0.15897 13.0
1e+38 0.14883 11.0
1e+38 0.13701 9.0
1e+38 0.12613 7.0
1e+38 0.11482 5.0
1e+38 0.1035 3.0
1e+38 0.09267 1.0
1e+38 0.38551 63.0
1e+38 0.3783 61.0
1e+38 0.37204 59.0
1e+38 0.36475 57.0
1e+38 0.35644 55.0
1e+38 0.34843 53.0
1e+38 0.34079 51.0
1e+38 0.33353 49.0
1e+38 0.32523 47.0
1e+38 0.31585 45.0
1e+38 0.30793 43.0
1e+38 0.29836 41.0
1e+38 0.2891 39.0
1e+38 0.28029 37.0
1e+38 0.27116 35.0
1e+38 0.26233 33.0
1e+38 0.2523 31.0
1e+38 0.24428 29.0
1e+38 0.23242 27.0
1e+38 0.22448 25.0
1e+38 0.21283 23.0
1e+38 0.20272 21.0
1e+38 0.19333 19.0
1e+38 0.18207 17.0
1e+38 0.17199 15.0
1e+38 0.1614 13.0
1e+38 0.15184 11.0
1e+38 0.14165 9.0
1e+38 0.12892 7.0
1e+38 0.11734 5.0
1e+38 0.10638 3.0
1e+38 0.09697 1.0
1e+38 0.40509 63.0
1e+38 0.39633 61.0
1e+38 0.38772 59.0
1e+38 0.3804 57.0
1e+38 0.37055 55.0
1e+38 0.36112 53.0
1e+38 0.35255 51.0
1e+38 0.34461 49.0
1e+38 0.33414 47.0
1e+38 0.32503 45.0
1e+38 0.31547 43.0
1e+38 0.30679 41.0
1e+38 0.29718 39.0
1e+38 0.28617 37.0
1e+38 0.27626 35.0
1e+38 0.26871 33.0
1e+38 0.25729 31.0
1e+38 0.24601 29.0
1e+38 0.23719 27.0
1e+38 0.22698 25.0
1e+38 0.21559 23.0
1e+38 0.2056 21.0
1e+38 0.19813 19.0
1e+38 0.1888 17.0
1e+38 0.17378 15.0
1e+38 0.16622 13.0
1e+38 0.1554 11.0
1e+38 0.14474 9.0
1e+38 0.13294 7.0
1e+38 0.12158 5.0
1e+38 0.11102 3.0
1e+38 0.09881 1.0
