Vin[V] Vout[V] Clip_b
0.007764 0.023191 63.0
0.008012 0.023656 61.0
1e+38 0.023448 59.0
1e+38 0.02367 57.0
0.008638 0.022904 55.0
1e+38 0.02335 53.0
0.009302 0.022656 51.0
1e+38 0.023264 49.0
1e+38 0.023221 47.0
1e+38 0.023806 45.0
1e+38 0.023069 43.0
1e+38 0.023377 41.0
0.008641 0.023422 39.0
1e+38 0.023569 37.0
1e+38 0.023326 35.0
1e+38 0.023151 33.0
1e+38 0.023539 31.0
1e+38 0.023178 29.0
0.009587 0.023638 27.0
0.008374 0.023427 25.0
1e+38 0.02377 23.0
1e+38 0.023556 21.0
0.008811 0.023506 19.0
1e+38 0.0235 17.0
1e+38 0.022476 15.0
1e+38 0.022855 13.0
1e+38 0.022552 11.0
1e+38 0.021633 9.0
1e+38 0.020613 7.0
0.008639 0.019129 5.0
1e+38 0.017058 3.0
1e+38 0.013584 1.0
0.01001 0.04696 63.0
0.01 0.046995 61.0
0.0096 0.046715 59.0
0.00959 0.046736 57.0
0.00868 0.046707 55.0
0.00911 0.04662 53.0
0.00857 0.046465 51.0
0.01023 0.046521 49.0
1e+38 0.046482 47.0
0.00936 0.046326 45.0
0.00946 0.046389 43.0
0.00953 0.046326 41.0
0.01031 0.046206 39.0
0.00874 0.045577 37.0
0.00912 0.045668 35.0
0.00965 0.044894 33.0
0.00979 0.044217 31.0
1e+38 0.043312 29.0
0.01022 0.04273 27.0
0.01039 0.041757 25.0
0.01003 0.040889 23.0
0.01038 0.03946 21.0
0.00934 0.038352 19.0
0.00942 0.036569 17.0
0.00937 0.034586 15.0
0.01012 0.033191 13.0
0.00968 0.031732 11.0
0.00957 0.029361 9.0
0.01027 0.027628 7.0
0.00874 0.02565 5.0
0.00867 0.022938 3.0
0.01016 0.020167 1.0
1e+38 0.075776 63.0
1e+38 0.074643 61.0
1e+38 0.073765 59.0
1e+38 0.072272 57.0
1e+38 0.07116 55.0
1e+38 0.070047 53.0
1e+38 0.069024 51.0
1e+38 0.067577 49.0
1e+38 0.06633 47.0
1e+38 0.064858 45.0
1e+38 0.063501 43.0
1e+38 0.062352 41.0
1e+38 0.06075 39.0
1e+38 0.059344 37.0
1e+38 0.057951 35.0
1e+38 0.056891 33.0
1e+38 0.055192 31.0
1e+38 0.053509 29.0
1e+38 0.052044 27.0
1e+38 0.051042 25.0
1e+38 0.049168 23.0
1e+38 0.047354 21.0
1e+38 0.045796 19.0
1e+38 0.044252 17.0
1e+38 0.042494 15.0
1e+38 0.040556 13.0
1e+38 0.03865 11.0
1e+38 0.037078 9.0
1e+38 0.034843 7.0
1e+38 0.032467 5.0
1e+38 0.030513 3.0
1e+38 0.028467 1.0
1e+38 0.079764 63.0
1e+38 0.078686 61.0
1e+38 0.077633 59.0
1e+38 0.076516 57.0
1e+38 0.075241 55.0
1e+38 0.073744 53.0
1e+38 0.072723 51.0
1e+38 0.071154 49.0
1e+38 0.06977 47.0
1e+38 0.068672 45.0
1e+38 0.067435 43.0
1e+38 0.0659 41.0
1e+38 0.064478 39.0
1e+38 0.062699 37.0
1e+38 0.06161 35.0
1e+38 0.060166 33.0
1e+38 0.058276 31.0
1e+38 0.057009 29.0
1e+38 0.055291 27.0
1e+38 0.05387 25.0
1e+38 0.052247 23.0
1e+38 0.050415 21.0
1e+38 0.049227 19.0
1e+38 0.047194 17.0
1e+38 0.045387 15.0
1e+38 0.043278 13.0
1e+38 0.041626 11.0
1e+38 0.039642 9.0
1e+38 0.037405 7.0
1e+38 0.035331 5.0
1e+38 0.033115 3.0
1e+38 0.030972 1.0
1e+38 0.080419 63.0
1e+38 0.078861 61.0
1e+38 0.077822 59.0
1e+38 0.076611 57.0
1e+38 0.075452 55.0
1e+38 0.073864 53.0
1e+38 0.072625 51.0
1e+38 0.071244 49.0
1e+38 0.069778 47.0
1e+38 0.068655 45.0
1e+38 0.066891 43.0
1e+38 0.066293 41.0
1e+38 0.064398 39.0
1e+38 0.062808 37.0
1e+38 0.061884 35.0
1e+38 0.060196 33.0
1e+38 0.058425 31.0
1e+38 0.05708 29.0
1e+38 0.055241 27.0
1e+38 0.053952 25.0
1e+38 0.051997 23.0
1e+38 0.050694 21.0
1e+38 0.048896 19.0
1e+38 0.047197 17.0
1e+38 0.045472 15.0
1e+38 0.043575 13.0
1e+38 0.041506 11.0
1e+38 0.039817 9.0
1e+38 0.037556 7.0
1e+38 0.035263 5.0
1e+38 0.032957 3.0
1e+38 0.029759 1.0
1e+38 0.08016 63.0
1e+38 0.079272 61.0
1e+38 0.078197 59.0
1e+38 0.076809 57.0
1e+38 0.075665 55.0
1e+38 0.073951 53.0
1e+38 0.072899 51.0
1e+38 0.071587 49.0
1e+38 0.070193 47.0
1e+38 0.068498 45.0
1e+38 0.067593 43.0
1e+38 0.065909 41.0
1e+38 0.06469 39.0
1e+38 0.06314 37.0
1e+38 0.061786 35.0
1e+38 0.060369 33.0
1e+38 0.058512 31.0
1e+38 0.057122 29.0
1e+38 0.055296 27.0
1e+38 0.05393 25.0
1e+38 0.052352 23.0
1e+38 0.050625 21.0
1e+38 0.049101 19.0
1e+38 0.04729 17.0
1e+38 0.045337 15.0
1e+38 0.04364 13.0
1e+38 0.041612 11.0
1e+38 0.039674 9.0
1e+38 0.037659 7.0
1e+38 0.035111 5.0
1e+38 0.032645 3.0
1e+38 0.029907 1.0
1e+38 0.08116 63.0
1e+38 0.08024 61.0
1e+38 0.07914 59.0
1e+38 0.07755 57.0
1e+38 0.07632 55.0
1e+38 0.07478 53.0
1e+38 0.07351 51.0
1e+38 0.07218 49.0
1e+38 0.07069 47.0
1e+38 0.06971 45.0
1e+38 0.06837 43.0
1e+38 0.06681 41.0
1e+38 0.06515 39.0
1e+38 0.06404 37.0
1e+38 0.06225 35.0
1e+38 0.0611 33.0
1e+38 0.05877 31.0
1e+38 0.05784 29.0
1e+38 0.05616 27.0
1e+38 0.05474 25.0
1e+38 0.05256 23.0
1e+38 0.05099 21.0
1e+38 0.04928 19.0
1e+38 0.04753 17.0
1e+38 0.04599 15.0
1e+38 0.04404 13.0
1e+38 0.04213 11.0
1e+38 0.03996 9.0
1e+38 0.03743 7.0
1e+38 0.03519 5.0
1e+38 0.03213 3.0
1e+38 0.0312 1.0
1e+38 0.08154 63.0
1e+38 0.08034 61.0
1e+38 0.07897 59.0
1e+38 0.07764 57.0
1e+38 0.07663 55.0
1e+38 0.07507 53.0
1e+38 0.07403 51.0
1e+38 0.07258 49.0
1e+38 0.07077 47.0
1e+38 0.06958 45.0
1e+38 0.06851 43.0
1e+38 0.06727 41.0
1e+38 0.06527 39.0
1e+38 0.06353 37.0
1e+38 0.06273 35.0
1e+38 0.06106 33.0
1e+38 0.05912 31.0
