Vin[V] Vout[V] Clip_b
1e+38 0.031651 63.0
1e+38 0.031198 61.0
0.00926 0.031489 59.0
0.008432 0.031927 57.0
1e+38 0.031079 55.0
1e+38 0.031361 53.0
0.008464 0.030931 51.0
0.009053 0.030811 49.0
0.008549 0.031449 47.0
1e+38 0.031341 45.0
1e+38 0.030996 43.0
1e+38 0.031326 41.0
1e+38 0.030912 39.0
1e+38 0.031358 37.0
1e+38 0.031301 35.0
1e+38 0.031322 33.0
1e+38 0.031068 31.0
1e+38 0.0316 29.0
1e+38 0.031202 27.0
1e+38 0.030985 25.0
1e+38 0.030924 23.0
1e+38 0.030322 21.0
1e+38 0.029783 19.0
0.008731 0.029764 17.0
1e+38 0.028412 15.0
0.008532 0.027973 13.0
1e+38 0.0264 11.0
1e+38 0.025279 9.0
0.008503 0.023303 7.0
0.009046 0.021759 5.0
1e+38 0.018565 3.0
1e+38 0.015704 1.0
0.01037 0.061314 63.0
0.0121 0.061645 61.0
0.01051 0.061081 59.0
0.01047 0.061135 57.0
0.01062 0.060612 55.0
0.00947 0.060707 53.0
0.01003 0.059525 51.0
0.01035 0.059189 49.0
0.01071 0.058481 47.0
0.01037 0.057584 45.0
0.01103 0.057287 43.0
0.01064 0.055957 41.0
0.01086 0.054966 39.0
0.01034 0.0538 37.0
0.00966 0.052728 35.0
0.0095 0.051077 33.0
0.00991 0.050289 31.0
0.01025 0.048975 29.0
0.01237 0.04748 27.0
0.0109 0.046013 25.0
0.01058 0.043861 23.0
0.01066 0.042303 21.0
0.00994 0.040875 19.0
0.01071 0.039391 17.0
0.01075 0.037676 15.0
0.00954 0.035947 13.0
0.0114 0.03404 11.0
0.01007 0.032416 9.0
0.0103 0.030013 7.0
0.01022 0.027858 5.0
0.0105 0.025452 3.0
0.00982 0.022828 1.0
0.01686 0.08051 63.0
0.01537 0.07917 61.0
0.01614 0.07816 59.0
0.01731 0.07691 57.0
0.01701 0.07513 55.0
0.01583 0.07426 53.0
0.01632 0.07307 51.0
0.01563 0.07176 49.0
0.01515 0.07037 47.0
0.01696 0.06884 45.0
0.01622 0.06744 43.0
0.01665 0.06614 41.0
0.01691 0.06442 39.0
0.01691 0.06305 37.0
0.01568 0.06104 35.0
0.01562 0.05996 33.0
0.01739 0.05872 31.0
0.01615 0.05672 29.0
0.0163 0.05496 27.0
0.01607 0.05344 25.0
0.0172 0.05171 23.0
0.01673 0.05011 21.0
0.01612 0.04831 19.0
0.01704 0.04672 17.0
0.0166 0.0451 15.0
0.01644 0.04341 13.0
0.01726 0.04114 11.0
0.01683 0.03936 9.0
0.01595 0.03697 7.0
0.01607 0.03487 5.0
1e+38 0.03221 3.0
0.01721 0.03014 1.0
0.02261 0.08099 63.0
0.02247 0.08004 61.0
0.02156 0.0787 59.0
0.02109 0.07778 57.0
0.0231 0.07608 55.0
1e+38 0.07478 53.0
0.02285 0.07325 51.0
0.02229 0.07204 49.0
0.0217 0.0708 47.0
1e+38 0.06924 45.0
1e+38 0.06839 43.0
0.02306 0.06639 41.0
0.02254 0.06507 39.0
0.02213 0.06349 37.0
0.02302 0.06199 35.0
1e+38 0.06069 33.0
0.02186 0.05895 31.0
0.02284 0.05747 29.0
0.02244 0.05545 27.0
0.02199 0.05414 25.0
0.0223 0.05225 23.0
0.02308 0.05059 21.0
0.02328 0.04902 19.0
0.02243 0.04698 17.0
0.02268 0.0453 15.0
0.02423 0.04382 13.0
1e+38 0.04164 11.0
0.02196 0.03971 9.0
0.02149 0.03746 7.0
0.0224 0.03514 5.0
0.02192 0.0322 3.0
0.02249 0.02951 1.0
0.02836 0.08147 63.0
0.02849 0.08045 61.0
0.02804 0.0788 59.0
0.02775 0.07752 57.0
0.0299 0.07619 55.0
0.02942 0.07514 53.0
0.02813 0.07365 51.0
0.02773 0.07209 49.0
0.02866 0.07097 47.0
0.02833 0.07 45.0
0.02897 0.06794 43.0
0.02868 0.0666 41.0
0.02893 0.06509 39.0
0.02809 0.06376 37.0
1e+38 0.06228 35.0
0.02788 0.06078 33.0
0.0287 0.05904 31.0
1e+38 0.05755 29.0
0.02738 0.05564 27.0
0.02896 0.05429 25.0
0.02726 0.05236 23.0
0.02972 0.05062 21.0
