Vin[V] Vout[V] Clip_b
1e+38 0.038915 63.0
1e+38 0.03902 61.0
0.008884 0.038696 59.0
1e+38 0.039126 57.0
1e+38 0.038109 55.0
1e+38 0.038762 53.0
0.008572 0.038762 51.0
1e+38 0.038384 49.0
1e+38 0.037811 47.0
1e+38 0.037397 45.0
1e+38 0.036893 43.0
0.007946 0.036219 41.0
1e+38 0.035328 39.0
1e+38 0.034638 37.0
1e+38 0.033713 35.0
1e+38 0.032272 33.0
1e+38 0.031286 31.0
1e+38 0.029817 29.0
0.007956 0.028716 27.0
0.008997 0.027709 25.0
1e+38 0.025761 23.0
1e+38 0.024379 21.0
1e+38 0.022491 19.0
1e+38 0.021093 17.0
1e+38 0.019463 15.0
1e+38 0.017608 13.0
0.008599 0.016475 11.0
1e+38 0.015022 9.0
1e+38 0.012965 7.0
1e+38 0.011065 5.0
1e+38 0.010399 3.0
0.009146 0.01033 1.0
0.00864 0.058862 63.0
0.01001 0.057935 61.0
0.00962 0.056592 59.0
0.00986 0.055623 57.0
0.00909 0.05405 55.0
0.0094 0.052977 53.0
0.01035 0.051522 51.0
0.00985 0.050415 49.0
0.00998 0.049342 47.0
0.00985 0.047622 45.0
0.00975 0.046509 43.0
0.00953 0.044855 41.0
0.00863 0.043324 39.0
0.00994 0.042059 37.0
0.00978 0.040424 35.0
0.0091 0.038965 33.0
0.01089 0.037455 31.0
1e+38 0.036338 29.0
0.00869 0.034626 27.0
0.01049 0.033049 25.0
0.00931 0.031381 23.0
0.00939 0.029947 21.0
0.01056 0.028335 19.0
0.00886 0.026555 17.0
0.00911 0.024804 15.0
0.01016 0.023141 13.0
0.01092 0.021649 11.0
0.00968 0.019733 9.0
0.00894 0.018327 7.0
0.00951 0.016935 5.0
0.01069 0.015042 3.0
1e+38 0.016334 1.0
1e+38 0.06296 63.0
1e+38 0.06198 61.0
1e+38 0.06025 59.0
1e+38 0.05956 57.0
1e+38 0.05798 55.0
0.01541 0.05668 53.0
1e+38 0.05536 51.0
1e+38 0.05382 49.0
1e+38 0.05256 47.0
1e+38 0.0512 45.0
1e+38 0.0493 43.0
1e+38 0.04806 41.0
1e+38 0.04634 39.0
1e+38 0.04492 37.0
1e+38 0.04359 35.0
1e+38 0.04218 33.0
1e+38 0.04038 31.0
1e+38 0.03923 29.0
1e+38 0.03744 27.0
1e+38 0.03597 25.0
1e+38 0.0344 23.0
1e+38 0.03314 21.0
1e+38 0.0321 19.0
1e+38 0.03079 17.0
1e+38 0.03178 15.0
1e+38 0.02899 13.0
1e+38 0.02479 11.0
1e+38 0.02208 9.0
1e+38 0.02024 7.0
1e+38 0.01872 5.0
1e+38 0.01698 3.0
1e+38 0.01799 1.0
1e+38 0.06327 63.0
1e+38 0.06225 61.0
1e+38 0.06095 59.0
1e+38 0.05913 57.0
1e+38 0.05812 55.0
1e+38 0.05706 53.0
1e+38 0.0555 51.0
1e+38 0.05396 49.0
1e+38 0.05271 47.0
1e+38 0.05148 45.0
1e+38 0.05028 43.0
1e+38 0.04928 41.0
1e+38 0.04793 39.0
1e+38 0.04853 37.0
1e+38 0.04738 35.0
1e+38 0.04629 33.0
1e+38 0.0459 31.0
1e+38 0.04707 29.0
1e+38 0.04555 27.0
1e+38 0.04503 25.0
