Vin[V] Vout[V] Clip_b
1e+38 0.032316 63.0
1e+38 0.0322 61.0
1e+38 0.03237 59.0
1e+38 0.032847 57.0
0.008654 0.032339 55.0
1e+38 0.032542 53.0
1e+38 0.032717 51.0
1e+38 0.032349 49.0
0.00873 0.032406 47.0
1e+38 0.032139 45.0
1e+38 0.031711 43.0
1e+38 0.031804 41.0
0.008334 0.0312 39.0
1e+38 0.030756 37.0
1e+38 0.030581 35.0
0.008278 0.029634 33.0
1e+38 0.029095 31.0
1e+38 0.028627 29.0
0.008771 0.02767 27.0
1e+38 0.026407 25.0
1e+38 0.025198 23.0
0.008635 0.023852 21.0
1e+38 0.022699 19.0
1e+38 0.021329 17.0
1e+38 0.01939 15.0
1e+38 0.018434 13.0
0.007906 0.016471 11.0
1e+38 0.014508 9.0
1e+38 0.013001 7.0
0.009234 0.011177 5.0
1e+38 0.009997 3.0
0.009735 0.009322 1.0
0.00986 0.056688 63.0
0.00951 0.056086 61.0
0.01014 0.05488 59.0
0.00971 0.05378 57.0
0.00923 0.052548 55.0
0.00876 0.051852 53.0
0.01004 0.050518 51.0
0.00929 0.049211 49.0
0.00994 0.047843 47.0
0.01034 0.046898 45.0
0.01012 0.045503 43.0
0.00953 0.044104 41.0
0.00885 0.042546 39.0
0.01117 0.041605 37.0
0.00962 0.04029 35.0
0.00922 0.039058 33.0
0.00968 0.037821 31.0
0.00913 0.035995 29.0
0.01054 0.034569 27.0
0.00975 0.033143 25.0
0.00962 0.031686 23.0
1e+38 0.030195 21.0
0.00981 0.028385 19.0
0.00998 0.026809 17.0
0.00926 0.025105 15.0
0.00987 0.023195 13.0
1e+38 0.022228 11.0
0.00902 0.020204 9.0
0.01016 0.018399 7.0
0.00854 0.016883 5.0
0.00964 0.015402 3.0
0.01011 0.015314 1.0
1e+38 0.06475 63.0
1e+38 0.06334 61.0
1e+38 0.06211 59.0
1e+38 0.06072 57.0
1e+38 0.05953 55.0
1e+38 0.05836 53.0
1e+38 0.05706 51.0
1e+38 0.05582 49.0
1e+38 0.05437 47.0
1e+38 0.05308 45.0
1e+38 0.05137 43.0
1e+38 0.05002 41.0
1e+38 0.04867 39.0
1e+38 0.04744 37.0
1e+38 0.04562 35.0
1e+38 0.04476 33.0
1e+38 0.0432 31.0
1e+38 0.04157 29.0
