Vin[V] Vout[V] Clip_b
0.0094 0.023605 63.0
1e+38 0.023141 61.0
1e+38 0.022932 59.0
1e+38 0.023402 57.0
0.00879 0.023429 55.0
1e+38 0.023463 53.0
1e+38 0.022858 51.0
0.008443 0.022844 49.0
1e+38 0.023046 47.0
0.008925 0.023261 45.0
1e+38 0.02274 43.0
0.009045 0.023194 41.0
1e+38 0.023197 39.0
1e+38 0.023357 37.0
1e+38 0.022451 35.0
0.00845 0.023233 33.0
1e+38 0.023587 31.0
1e+38 0.023054 29.0
1e+38 0.023456 27.0
1e+38 0.023149 25.0
1e+38 0.023038 23.0
0.008356 0.023068 21.0
1e+38 0.022952 19.0
1e+38 0.022741 17.0
1e+38 0.022772 15.0
0.008617 0.022915 13.0
1e+38 0.022816 11.0
0.009452 0.022678 9.0
0.008203 0.022021 7.0
0.00739 0.021917 5.0
1e+38 0.020956 3.0
0.008779 0.016428 1.0
0.01072 0.047445 63.0
0.01042 0.047109 61.0
0.01046 0.04664 59.0
0.01035 0.046993 57.0
0.00997 0.04638 55.0
0.01159 0.047244 53.0
0.0113 0.046675 51.0
0.00993 0.046714 49.0
0.00977 0.046599 47.0
0.01033 0.046649 45.0
0.01104 0.047013 43.0
0.0097 0.046871 41.0
0.01062 0.046564 39.0
0.00983 0.046552 37.0
0.01035 0.046748 35.0
0.0107 0.046812 33.0
0.01073 0.046557 31.0
0.00936 0.046877 29.0
0.01164 0.046304 27.0
0.01144 0.046225 25.0
0.01083 0.046736 23.0
0.00897 0.045695 21.0
0.00951 0.04648 19.0
0.01105 0.046049 17.0
0.01202 0.045822 15.0
0.01096 0.045531 13.0
0.01124 0.045814 11.0
0.0109 0.04546 9.0
0.01126 0.044134 7.0
0.01169 0.043497 5.0
0.01106 0.039423 3.0
0.00965 0.02989 1.0
0.01677 0.09443 63.0
0.01671 0.09412 61.0
0.01688 0.09446 59.0
0.01625 0.09451 57.0
0.01558 0.09435 55.0
0.01617 0.0945 53.0
0.01748 0.09412 51.0
0.0164 0.09467 49.0
0.01705 0.09395 47.0
0.01727 0.09395 45.0
0.01719 0.09399 43.0
0.01644 0.09406 41.0
0.01704 0.09403 39.0
1e+38 0.09349 37.0
0.01808 0.09342 35.0
1e+38 0.09385 33.0
0.01554 0.09325 31.0
0.0162 0.09322 29.0
0.01638 0.09348 27.0
0.01765 0.0932 25.0
0.01609 0.09309 23.0
0.01682 0.09289 21.0
0.01558 0.09224 19.0
0.01678 0.09223 17.0
0.01597 0.09134 15.0
0.01577 0.08984 13.0
1e+38 0.08816 11.0
0.01655 0.08554 9.0
0.01634 0.07936 7.0
0.01568 0.07175 5.0
0.01609 0.0601 3.0
1e+38 0.04554 1.0
0.0219 0.1411 63.0
0.02342 0.14119 61.0
0.02357 0.14138 59.0
0.02398 0.14108 57.0
0.0225 0.14038 55.0
0.02247 0.14041 53.0
0.02257 0.1407 51.0
1e+38 0.1409 49.0
0.02225 0.13996 47.0
1e+38 0.14016 45.0
0.02215 0.13948 43.0
0.02141 0.13957 41.0
0.02319 0.13981 39.0
0.02344 0.13888 37.0
0.02235 0.13893 35.0
0.02174 0.13918 33.0
0.02284 0.13799 31.0
0.02175 0.1384 29.0
1e+38 0.13754 27.0
0.02146 0.13814 25.0
0.02311 0.13656 23.0
1e+38 0.13649 21.0
0.02201 0.13396 19.0
0.02154 0.13128 17.0
0.02207 0.12801 15.0
1e+38 0.12285 13.0
0.0224 0.11435 11.0
0.02235 0.1053 9.0
0.02215 0.0951 7.0
0.02293 0.08469 5.0
0.02305 0.07191 3.0
0.02243 0.05811 1.0
0.02823 0.18814 63.0
0.02826 0.18783 61.0
0.02769 0.18763 59.0
0.02836 0.18826 57.0
1e+38 0.18779 55.0
0.02842 0.1872 53.0
1e+38 0.18679 51.0
1e+38 0.18639 49.0
0.02799 0.18714 47.0
0.02931 0.18684 45.0
1e+38 0.18588 43.0
0.02873 0.18572 41.0
1e+38 0.18578 39.0
0.03002 0.18478 37.0
1e+38 0.1845 35.0
0.02873 0.18407 33.0
0.02809 0.18292 31.0
0.02875 0.18255 29.0
1e+38 0.1815 27.0
0.02803 0.17892 25.0
0.02857 0.17443 23.0
1e+38 0.17009 21.0
0.02874 0.16324 19.0
1e+38 0.15562 17.0
0.03012 0.14716 15.0
0.0282 0.13852 13.0
1e+38 0.12839 11.0
0.02852 0.11812 9.0
0.02766 0.10643 7.0
0.0289 0.09531 5.0
0.02922 0.08243 3.0
1e+38 0.06837 1.0
1e+38 0.23236 63.0
1e+38 0.23271 61.0
1e+38 0.2319 59.0
0.03422 0.23175 57.0
1e+38 0.23207 55.0
0.03307 0.23082 53.0
0.03301 0.23052 51.0
1e+38 0.2306 49.0
1e+38 0.23025 47.0
1e+38 0.2299 45.0
0.03346 0.22912 43.0
1e+38 0.22884 41.0
1e+38 0.22807 39.0
1e+38 0.22662 37.0
1e+38 0.2252 35.0
1e+38 0.22331 33.0
1e+38 0.22029 31.0
1e+38 0.21593 29.0
1e+38 0.21025 27.0
1e+38 0.20328 25.0
1e+38 0.19411 23.0
1e+38 0.18583 21.0
1e+38 0.17679 19.0
1e+38 0.16761 17.0
1e+38 0.15844 15.0
1e+38 0.14833 13.0
1e+38 0.1372 11.0
