Vin[V] Vout[V] Clip_b
1e+38 0.026627 63.0
1e+38 0.027521 61.0
1e+38 0.027603 59.0
1e+38 0.027726 57.0
1e+38 0.027286 55.0
1e+38 0.027038 53.0
1e+38 0.027098 51.0
1e+38 0.026724 49.0
1e+38 0.026769 47.0
0.008969 0.02721 45.0
1e+38 0.026907 43.0
0.008538 0.0272 41.0
1e+38 0.026672 39.0
1e+38 0.027478 37.0
0.008674 0.026278 35.0
1e+38 0.026913 33.0
1e+38 0.027025 31.0
1e+38 0.027039 29.0
0.00878 0.026798 27.0
0.00834 0.026844 25.0
0.008776 0.026758 23.0
0.00864 0.026746 21.0
1e+38 0.026725 19.0
1e+38 0.027143 17.0
1e+38 0.02693 15.0
1e+38 0.026336 13.0
0.009027 0.026398 11.0
1e+38 0.025938 9.0
0.009483 0.025721 7.0
1e+38 0.025018 5.0
0.009453 0.023378 3.0
1e+38 0.016928 1.0
0.01067 0.05538 63.0
1e+38 0.055034 61.0
0.00907 0.055037 59.0
0.00899 0.0544 57.0
1e+38 0.055089 55.0
1e+38 0.054766 53.0
0.00865 0.054609 51.0
0.00959 0.05472 49.0
0.00931 0.054706 47.0
0.00964 0.054719 45.0
0.00922 0.054406 43.0
0.00976 0.054087 41.0
0.00938 0.054488 39.0
0.01 0.05405 37.0
0.01014 0.054372 35.0
0.00961 0.054576 33.0
0.00949 0.054274 31.0
0.00995 0.05377 29.0
0.01025 0.054085 27.0
0.01065 0.054409 25.0
0.00904 0.053861 23.0
0.00867 0.054129 21.0
0.00931 0.053496 19.0
0.00967 0.053869 17.0
0.00921 0.053468 15.0
0.00902 0.05305 13.0
0.0102 0.052942 11.0
0.00948 0.052334 9.0
0.00999 0.049705 7.0
0.00916 0.045995 5.0
0.00989 0.03894 3.0
0.01024 0.027644 1.0
1e+38 0.11013 63.0
1e+38 0.11032 61.0
1e+38 0.11009 59.0
1e+38 0.10977 57.0
1e+38 0.10914 55.0
1e+38 0.10955 53.0
1e+38 0.10959 51.0
1e+38 0.1093 49.0
1e+38 0.1092 47.0
1e+38 0.10961 45.0
1e+38 0.10932 43.0
1e+38 0.10932 41.0
1e+38 0.10916 39.0
1e+38 0.10872 37.0
1e+38 0.10876 35.0
1e+38 0.10853 33.0
1e+38 0.10898 31.0
1e+38 0.10897 29.0
