Vin[V] Vout[V] Clip_b
1e+38 0.022871 63.0
0.008868 0.023222 61.0
1e+38 0.022755 59.0
1e+38 0.022763 57.0
0.00895 0.022818 55.0
1e+38 0.022794 53.0
0.008757 0.023143 51.0
1e+38 0.022746 49.0
1e+38 0.022505 47.0
1e+38 0.022232 45.0
1e+38 0.021922 43.0
1e+38 0.022822 41.0
1e+38 0.022482 39.0
0.008472 0.022747 37.0
0.009152 0.022716 35.0
1e+38 0.022219 33.0
1e+38 0.022722 31.0
1e+38 0.022287 29.0
1e+38 0.023103 27.0
1e+38 0.02217 25.0
1e+38 0.022331 23.0
1e+38 0.022571 21.0
0.008598 0.022003 19.0
0.00871 0.022337 17.0
1e+38 0.022145 15.0
1e+38 0.022353 13.0
1e+38 0.021794 11.0
1e+38 0.021829 9.0
0.008623 0.021493 7.0
0.008757 0.020205 5.0
1e+38 0.019785 3.0
1e+38 0.013922 1.0
0.00922 0.046328 63.0
0.0093 0.045283 61.0
0.0098 0.046381 59.0
0.00988 0.046125 57.0
0.00928 0.045719 55.0
0.01011 0.045527 53.0
0.00964 0.045856 51.0
0.01049 0.04541 49.0
0.00976 0.045745 47.0
0.00951 0.045678 45.0
0.0096 0.045972 43.0
0.00889 0.045232 41.0
0.00882 0.045244 39.0
0.00996 0.045576 37.0
0.00925 0.045701 35.0
0.00924 0.045586 33.0
0.00955 0.045681 31.0
0.00911 0.045207 29.0
0.00882 0.045112 27.0
0.00927 0.045199 25.0
0.00877 0.044841 23.0
0.00992 0.045518 21.0
0.00941 0.045198 19.0
1e+38 0.04503 17.0
0.00944 0.044504 15.0
0.01035 0.044708 13.0
0.00927 0.044521 11.0
0.00869 0.04318 9.0
0.01072 0.042034 7.0
0.00924 0.039562 5.0
0.00921 0.033946 3.0
0.00988 0.023919 1.0
1e+38 0.09264 63.0
1e+38 0.09205 61.0
1e+38 0.09234 59.0
1e+38 0.09173 57.0
1e+38 0.09174 55.0
1e+38 0.09178 53.0
1e+38 0.09168 51.0
