Vin[V] Vout[V] Clip_b
1e+38 0.035226 63.0
1e+38 0.035286 61.0
1e+38 0.03568 59.0
1e+38 0.035745 57.0
1e+38 0.035544 55.0
1e+38 0.035147 53.0
1e+38 0.03528 51.0
1e+38 0.035355 49.0
1e+38 0.03512 47.0
0.008371 0.035394 45.0
1e+38 0.035035 43.0
1e+38 0.034896 41.0
1e+38 0.03536 39.0
1e+38 0.035555 37.0
1e+38 0.035702 35.0
0.008766 0.035069 33.0
1e+38 0.035439 31.0
0.008537 0.034905 29.0
1e+38 0.0349 27.0
1e+38 0.034907 25.0
0.009088 0.03552 23.0
1e+38 0.034516 21.0
1e+38 0.034022 19.0
0.009128 0.033491 17.0
0.008386 0.032244 15.0
0.008542 0.031234 13.0
0.008587 0.030313 11.0
0.008656 0.028321 9.0
1e+38 0.027008 7.0
1e+38 0.024773 5.0
1e+38 0.02206 3.0
1e+38 0.01883 1.0
0.00926 0.068263 63.0
0.00859 0.06722 61.0
0.00874 0.06783 59.0
0.01009 0.067658 57.0
0.01051 0.066819 55.0
0.00874 0.066384 53.0
0.00982 0.065397 51.0
0.0097 0.06454 49.0
0.00902 0.063969 47.0
0.00933 0.062882 45.0
1e+38 0.061832 43.0
0.00929 0.060735 41.0
0.00932 0.059521 39.0
0.0096 0.058546 37.0
0.00922 0.056686 35.0
0.00932 0.055307 33.0
0.01001 0.054229 31.0
0.01001 0.052518 29.0
0.0094 0.051106 27.0
0.01051 0.049664 25.0
0.00915 0.048101 23.0
0.00999 0.046463 21.0
0.00985 0.044831 19.0
0.01078 0.043509 17.0
0.00872 0.041559 15.0
0.01023 0.039971 13.0
0.01014 0.037733 11.0
0.01042 0.03561 9.0
0.00875 0.03359 7.0
0.00927 0.031369 5.0
0.00861 0.029065 3.0
0.00926 0.02638 1.0
1e+38 0.08348 63.0
1e+38 0.08271 61.0
1e+38 0.08121 59.0
1e+38 0.07988 57.0
1e+38 0.07876 55.0
1e+38 0.07743 53.0
1e+38 0.07619 51.0
1e+38 0.07466 49.0
1e+38 0.07313 47.0
1e+38 0.07179 45.0
1e+38 0.07084 43.0
1e+38 0.06889 41.0
1e+38 0.06754 39.0
1e+38 0.06591 37.0
1e+38 0.06438 35.0
1e+38 0.06313 33.0
1e+38 0.06117 31.0
1e+38 0.05994 29.0
1e+38 0.0581 27.0
1e+38 0.05676 25.0
1e+38 0.05524 23.0
1e+38 0.05341 21.0
1e+38 0.05151 19.0
1e+38 0.04993 17.0
1e+38 0.04789 15.0
1e+38 0.04596 13.0
1e+38 0.04424 11.0
1e+38 0.04212 9.0
1e+38 0.03992 7.0
1e+38 0.03735 5.0
1e+38 0.03486 3.0
1e+38 0.03321 1.0
1e+38 0.08394 63.0
1e+38 0.0825 61.0
1e+38 0.08115 59.0
1e+38 0.08019 57.0
1e+38 0.07918 55.0
1e+38 0.07766 53.0
1e+38 0.0763 51.0
1e+38 0.07514 49.0
1e+38 0.07356 47.0
1e+38 0.07202 45.0
1e+38 0.0707 43.0
1e+38 0.0692 41.0
1e+38 0.0681 39.0
1e+38 0.06666 37.0
1e+38 0.0646 35.0
1e+38 0.06335 33.0
1e+38 0.06163 31.0
1e+38 0.05994 29.0
1e+38 0.05848 27.0
1e+38 0.05676 25.0
1e+38 0.05499 23.0
1e+38 0.05322 21.0
1e+38 0.05175 19.0
1e+38 0.04964 17.0
1e+38 0.04793 15.0
1e+38 0.04603 13.0
1e+38 0.04413 11.0
1e+38 0.04185 9.0
1e+38 0.03986 7.0
1e+38 0.03747 5.0
1e+38 0.03467 3.0
1e+38 0.03132 1.0
1e+38 0.08433 63.0
1e+38 0.08307 61.0
1e+38 0.0817 59.0
1e+38 0.08054 57.0
1e+38 0.07908 55.0
1e+38 0.07807 53.0
1e+38 0.07633 51.0
1e+38 0.07545 49.0
1e+38 0.0738 47.0
1e+38 0.07224 45.0
1e+38 0.07093 43.0
1e+38 0.0694 41.0
1e+38 0.06771 39.0
1e+38 0.06632 37.0
1e+38 0.065 35.0
1e+38 0.0639 33.0
1e+38 0.06185 31.0
1e+38 0.0602 29.0
1e+38 0.05841 27.0
1e+38 0.05711 25.0
1e+38 0.05529 23.0
1e+38 0.05348 21.0
1e+38 0.05169 19.0
1e+38 0.04997 17.0
1e+38 0.0482 15.0
1e+38 0.04632 13.0
1e+38 0.04404 11.0
1e+38 0.04211 9.0
1e+38 0.03976 7.0
1e+38 0.03712 5.0
1e+38 0.03399 3.0
1e+38 0.03147 1.0
1e+38 0.08444 63.0
1e+38 0.08301 61.0
1e+38 0.0819 59.0
1e+38 0.08061 57.0
1e+38 0.07919 55.0
1e+38 0.07819 53.0
1e+38 0.07648 51.0
1e+38 0.0754 49.0
1e+38 0.07378 47.0
1e+38 0.07231 45.0
1e+38 0.07118 43.0
1e+38 0.0696 41.0
1e+38 0.06782 39.0
1e+38 0.06685 37.0
1e+38 0.06509 35.0
1e+38 0.06387 33.0
1e+38 0.06183 31.0
1e+38 0.06054 29.0
1e+38 0.05859 27.0
1e+38 0.05715 25.0
