Vin[V] Vout[V] Clip_b
0.009077 0.01741 63.0
1e+38 0.017187 61.0
1e+38 0.017385 59.0
1e+38 0.017671 57.0
1e+38 0.017224 55.0
1e+38 0.017501 53.0
1e+38 0.017344 51.0
1e+38 0.01756 49.0
1e+38 0.017415 47.0
1e+38 0.017153 45.0
1e+38 0.017645 43.0
1e+38 0.017658 41.0
0.008851 0.017259 39.0
1e+38 0.017519 37.0
1e+38 0.016933 35.0
1e+38 0.017816 33.0
1e+38 0.017058 31.0
1e+38 0.017406 29.0
1e+38 0.017673 27.0
1e+38 0.017018 25.0
0.008749 0.017339 23.0
1e+38 0.017427 21.0
1e+38 0.017607 19.0
1e+38 0.017425 17.0
1e+38 0.017416 15.0
1e+38 0.017515 13.0
1e+38 0.017502 11.0
1e+38 0.017025 9.0
0.008871 0.016842 7.0
1e+38 0.016013 5.0
1e+38 0.014692 3.0
1e+38 0.011512 1.0
0.00898 0.034845 63.0
1e+38 0.034772 61.0
0.00995 0.034878 59.0
0.00951 0.035053 57.0
0.0097 0.034824 55.0
0.00971 0.034942 53.0
0.0101 0.03506 51.0
0.00853 0.035054 49.0
0.0089 0.034745 47.0
0.00973 0.034845 45.0
0.01001 0.034522 43.0
0.01037 0.034764 41.0
0.01037 0.034464 39.0
0.00957 0.03457 37.0
1e+38 0.034949 35.0
0.01055 0.035002 33.0
0.00952 0.034784 31.0
0.00891 0.035068 29.0
0.01005 0.034703 27.0
0.00977 0.034914 25.0
0.01032 0.034833 23.0
0.00919 0.034738 21.0
0.00945 0.034431 19.0
0.00895 0.034113 17.0
0.00896 0.033753 15.0
0.00928 0.033048 13.0
0.00999 0.032239 11.0
0.00927 0.031228 9.0
0.00952 0.02925 7.0
0.00928 0.026923 5.0
0.0091 0.0233 3.0
0.0088 0.018485 1.0
1e+38 0.069872 63.0
1e+38 0.070063 61.0
1e+38 0.070034 59.0
1e+38 0.070207 57.0
1e+38 0.070124 55.0
1e+38 0.069765 53.0
1e+38 0.070061 51.0
1e+38 0.069742 49.0
1e+38 0.06953 47.0
1e+38 0.069481 45.0
1e+38 0.069196 43.0
1e+38 0.068737 41.0
1e+38 0.068951 39.0
1e+38 0.068595 37.0
1e+38 0.068476 35.0
1e+38 0.067493 33.0
1e+38 0.066733 31.0
1e+38 0.06567 29.0
1e+38 0.06456 27.0
1e+38 0.063139 25.0
1e+38 0.061474 23.0
1e+38 0.059079 21.0
1e+38 0.057088 19.0
1e+38 0.054814 17.0
1e+38 0.052085 15.0
1e+38 0.049276 13.0
1e+38 0.046302 11.0
1e+38 0.043331 9.0
1e+38 0.039926 7.0
1e+38 0.036403 5.0
1e+38 0.032432 3.0
1e+38 0.027848 1.0
1e+38 0.10364 63.0
1e+38 0.10351 61.0
1e+38 0.10312 59.0
1e+38 0.10289 57.0
1e+38 0.10179 55.0
1e+38 0.1017 53.0
1e+38 0.10031 51.0
1e+38 0.09917 49.0
1e+38 0.09784 47.0
1e+38 0.09632 45.0
1e+38 0.09456 43.0
1e+38 0.09273 41.0
1e+38 0.09062 39.0
1e+38 0.08895 37.0
1e+38 0.08626 35.0
1e+38 0.08438 33.0
1e+38 0.08194 31.0
1e+38 0.07932 29.0
1e+38 0.07668 27.0
1e+38 0.07422 25.0
1e+38 0.07172 23.0
1e+38 0.06877 21.0
1e+38 0.06553 19.0
1e+38 0.06296 17.0
1e+38 0.05994 15.0
1e+38 0.05687 13.0
1e+38 0.05347 11.0
1e+38 0.05033 9.0
1e+38 0.04665 7.0
1e+38 0.04329 5.0
1e+38 0.03918 3.0
1e+38 0.03532 1.0
1e+38 0.12424 63.0
1e+38 0.12273 61.0
1e+38 0.12073 59.0
1e+38 0.11902 57.0
1e+38 0.1173 55.0
1e+38 1e+38 53.0
1e+38 0.11321 51.0
1e+38 0.11087 49.0
1e+38 0.10843 47.0
1e+38 0.10585 45.0
1e+38 0.10329 43.0
1e+38 0.10097 41.0
1e+38 0.09862 39.0
1e+38 0.09622 37.0
1e+38 0.0935 35.0
1e+38 0.09084 33.0
1e+38 0.08818 31.0
1e+38 0.08496 29.0
1e+38 0.08269 27.0
1e+38 0.07991 25.0
1e+38 0.07711 23.0
1e+38 0.0742 21.0
1e+38 0.07127 19.0
1e+38 0.06817 17.0
1e+38 0.0649 15.0
1e+38 0.06196 13.0
1e+38 0.05821 11.0
1e+38 0.05535 9.0
1e+38 0.05191 7.0
1e+38 0.04805 5.0
1e+38 0.04432 3.0
1e+38 0.04126 1.0
1e+38 0.13152 63.0
1e+38 0.12844 61.0
1e+38 0.12661 59.0
1e+38 0.12409 57.0
1e+38 0.12202 55.0
1e+38 0.11912 53.0
1e+38 0.11721 51.0
1e+38 0.1146 49.0
1e+38 0.11189 47.0
1e+38 0.10906 45.0
1e+38 0.10694 43.0
1e+38 0.1045 41.0
1e+38 0.10149 39.0
1e+38 0.09877 37.0
1e+38 0.09625 35.0
1e+38 0.09335 33.0
1e+38 0.09065 31.0
1e+38 0.08782 29.0
1e+38 0.08504 27.0
1e+38 0.08215 25.0
1e+38 0.07917 23.0
1e+38 0.07655 21.0
1e+38 0.07372 19.0
1e+38 0.07041 17.0
1e+38 0.06735 15.0
1e+38 0.06374 13.0
1e+38 0.06041 11.0
1e+38 0.05672 9.0
1e+38 0.05392 7.0
1e+38 0.05117 5.0
1e+38 0.04747 3.0
1e+38 0.04481 1.0
1e+38 0.13179 63.0
1e+38 0.12969 61.0
1e+38 0.12762 59.0
1e+38 0.12464 57.0
1e+38 0.12226 55.0
1e+38 0.12026 53.0
1e+38 0.11775 51.0
1e+38 0.11506 49.0
1e+38 0.11223 47.0
1e+38 0.10994 45.0
1e+38 0.10719 43.0
1e+38 0.10468 41.0
1e+38 0.10186 39.0
1e+38 0.09908 37.0
1e+38 0.09631 35.0
1e+38 0.09355 33.0
1e+38 0.09058 31.0
1e+38 0.08788 29.0
1e+38 0.08498 27.0
1e+38 0.08215 25.0
1e+38 0.07932 23.0
1e+38 0.07648 21.0
1e+38 0.07371 19.0
1e+38 0.07082 17.0
1e+38 0.06728 15.0
1e+38 0.06374 13.0
1e+38 0.06031 11.0
1e+38 0.05666 9.0
1e+38 0.05355 7.0
1e+38 0.0501 5.0
1e+38 0.04826 3.0
1e+38 0.04536 1.0
1e+38 0.13226 63.0
1e+38 0.12945 61.0
1e+38 0.12803 59.0
1e+38 0.12514 57.0
1e+38 0.12252 55.0
1e+38 0.11985 53.0
1e+38 0.11749 51.0
1e+38 0.11505 49.0
1e+38 0.11216 47.0
1e+38 0.11001 45.0
1e+38 0.10726 43.0
1e+38 0.10474 41.0
1e+38 0.10166 39.0
1e+38 0.09928 37.0
1e+38 0.09638 35.0
1e+38 0.09348 33.0
1e+38 0.09065 31.0
1e+38 0.08794 29.0
1e+38 0.08505 27.0
1e+38 0.08221 25.0
1e+38 0.07938 23.0
1e+38 0.07648 21.0
1e+38 0.07365 19.0
1e+38 0.07028 17.0
1e+38 0.0667 15.0
1e+38 0.06367 13.0
1e+38 0.06063 11.0
1e+38 0.05666 9.0
1e+38 0.05261 7.0
1e+38 0.04865 5.0
1e+38 0.04759 3.0
1e+38 0.04575 1.0
1e+38 0.1322 63.0
1e+38 0.13063 61.0
1e+38 0.12795 59.0
1e+38 0.12548 57.0
1e+38 0.12289 55.0
1e+38 0.12059 53.0
1e+38 0.11769 51.0
1e+38 0.11497 49.0
1e+38 0.11264 47.0
1e+38 0.11054 45.0
1e+38 0.10757 43.0
1e+38 0.10481 41.0
1e+38 0.10204 39.0
1e+38 0.09921 37.0
1e+38 0.09653 35.0
1e+38 0.09373 33.0
1e+38 0.09078 31.0
1e+38 0.08801 29.0
1e+38 0.08505 27.0
1e+38 0.08227 25.0
1e+38 0.07932 23.0
1e+38 0.07655 21.0
