Vin[V] Vout[V] Clip_b
0.008691 0.031716 63.0
1e+38 0.031282 61.0
0.008019 0.030646 59.0
0.009481 0.031158 57.0
0.009068 0.031912 55.0
1e+38 0.030878 53.0
0.008453 0.031442 51.0
1e+38 0.031934 49.0
1e+38 0.030903 47.0
1e+38 0.031631 45.0
1e+38 0.031023 43.0
1e+38 0.031387 41.0
0.009452 0.031041 39.0
1e+38 0.031167 37.0
1e+38 0.031405 35.0
0.008671 0.03176 33.0
0.008702 0.031297 31.0
0.008889 0.031404 29.0
1e+38 0.031047 27.0
0.00845 0.031867 25.0
1e+38 0.031401 23.0
1e+38 0.031296 21.0
0.008036 0.031219 19.0
1e+38 0.031057 17.0
1e+38 0.031148 15.0
1e+38 0.030585 13.0
1e+38 0.030787 11.0
0.008845 0.030289 9.0
1e+38 0.029369 7.0
1e+38 0.028353 5.0
0.008199 0.026336 3.0
1e+38 0.021583 1.0
0.01026 0.063071 63.0
0.00922 0.063445 61.0
0.00988 0.062624 59.0
0.01056 0.062941 57.0
0.00958 0.062695 55.0
0.00923 0.062752 53.0
0.01065 0.062964 51.0
0.01022 0.063284 49.0
0.01027 0.06325 47.0
0.01131 0.062983 45.0
0.00947 0.063327 43.0
0.01026 0.063401 41.0
0.00989 0.062977 39.0
0.00941 0.063526 37.0
0.00962 0.063552 35.0
0.00914 0.063365 33.0
0.01023 0.06273 31.0
0.00911 0.062048 29.0
1e+38 0.062073 27.0
0.00954 0.061509 25.0
0.0093 0.061143 23.0
0.00951 0.059905 21.0
0.00796 0.058979 19.0
0.0097 0.057672 17.0
0.00968 0.056033 15.0
0.00958 0.054118 13.0
0.00981 0.05097 11.0
0.00937 0.048101 9.0
1e+38 0.044789 7.0
0.00984 0.041369 5.0
0.01047 0.03749 3.0
0.00898 0.032048 1.0
1e+38 0.12182 63.0
1e+38 0.12075 61.0
1e+38 0.12037 59.0
1e+38 0.11927 57.0
1e+38 0.11811 55.0
1e+38 0.11669 53.0
1e+38 0.11483 51.0
1e+38 0.11301 49.0
1e+38 0.11128 47.0
1e+38 0.10951 45.0
1e+38 0.10737 43.0
1e+38 0.10508 41.0
1e+38 0.10299 39.0
1e+38 0.10077 37.0
1e+38 0.09813 35.0
1e+38 0.09564 33.0
1e+38 0.0932 31.0
1e+38 0.09042 29.0
1e+38 0.088 27.0
1e+38 0.08552 25.0
1e+38 0.08219 23.0
1e+38 0.07959 21.0
1e+38 0.07658 19.0
1e+38 0.07397 17.0
1e+38 0.07124 15.0
1e+38 0.06788 13.0
1e+38 0.06495 11.0
1e+38 0.06174 9.0
1e+38 0.05779 7.0
1e+38 0.05353 5.0
1e+38 0.05001 3.0
1e+38 0.04577 1.0
1e+38 0.14007 63.0
1e+38 0.1384 61.0
1e+38 0.13604 59.0
1e+38 0.13376 57.0
1e+38 0.13132 55.0
1e+38 0.12889 53.0
1e+38 0.12585 51.0
1e+38 0.1233 49.0
1e+38 0.12149 47.0
1e+38 0.11898 45.0
1e+38 0.11587 43.0
1e+38 0.11376 41.0
1e+38 0.11048 39.0
1e+38 0.10771 37.0
1e+38 0.10526 35.0
1e+38 0.10238 33.0
1e+38 0.09996 31.0
1e+38 0.09681 29.0
1e+38 0.09447 27.0
1e+38 0.09171 25.0
1e+38 0.08824 23.0
1e+38 0.08537 21.0
1e+38 0.08215 19.0
1e+38 0.07944 17.0
1e+38 0.07642 15.0
1e+38 0.07352 13.0
1e+38 0.0703 11.0
1e+38 0.0665 9.0
1e+38 0.06254 7.0
1e+38 0.05923 5.0
1e+38 0.05518 3.0
1e+38 0.05192 1.0
1e+38 0.14099 63.0
1e+38 0.13955 61.0
1e+38 0.13675 59.0
1e+38 0.1347 57.0
1e+38 0.13098 55.0
1e+38 0.12945 53.0
1e+38 0.12655 51.0
1e+38 0.12471 49.0
1e+38 0.122 47.0
1e+38 0.11945 45.0
1e+38 0.11695 43.0
1e+38 0.11376 41.0
1e+38 0.11097 39.0
1e+38 0.10899 37.0
1e+38 0.10589 35.0
1e+38 0.10237 33.0
1e+38 0.10043 31.0
1e+38 0.09823 29.0
1e+38 0.0947 27.0
1e+38 0.09178 25.0
1e+38 0.0882 23.0
1e+38 0.08552 21.0
1e+38 0.08279 19.0
1e+38 0.07955 17.0
1e+38 0.07682 15.0
1e+38 0.07262 13.0
1e+38 0.06992 11.0
1e+38 0.06614 9.0
1e+38 0.06212 7.0
1e+38 0.05779 5.0
1e+38 0.05359 3.0
1e+38 0.05334 1.0
1e+38 0.14201 63.0
1e+38 0.1391 61.0
1e+38 0.1372 59.0
1e+38 0.13523 57.0
1e+38 0.13205 55.0
1e+38 0.12966 53.0
1e+38 0.12747 51.0
1e+38 0.12444 49.0
1e+38 0.12201 47.0
1e+38 0.11898 45.0
1e+38 0.1164 43.0
1e+38 0.1143 41.0
1e+38 0.11106 39.0
1e+38 0.109 37.0
1e+38 0.10593 35.0
1e+38 0.10347 33.0
1e+38 0.1005 31.0
1e+38 0.09761 29.0
1e+38 0.0949 27.0
1e+38 0.092 25.0
1e+38 0.08899 23.0
1e+38 0.0852 21.0
1e+38 0.08236 19.0
1e+38 0.07925 17.0
1e+38 0.07648 15.0
