Vin[V] Vout[V] Clip_b
1e+38 0.01693 63.0
1e+38 0.017012 61.0
1e+38 0.016632 59.0
1e+38 0.016525 57.0
1e+38 0.01694 55.0
1e+38 0.017149 53.0
1e+38 0.017008 51.0
0.009635 0.017101 49.0
0.008709 0.016898 47.0
0.008364 0.017105 45.0
1e+38 0.017169 43.0
1e+38 0.017324 41.0
0.008331 0.017052 39.0
1e+38 0.0171 37.0
1e+38 0.017385 35.0
0.008825 0.017172 33.0
1e+38 0.017236 31.0
1e+38 0.016829 29.0
1e+38 0.016693 27.0
1e+38 0.017313 25.0
1e+38 0.017105 23.0
1e+38 0.016857 21.0
1e+38 0.016781 19.0
1e+38 0.017176 17.0
1e+38 0.017177 15.0
1e+38 0.017006 13.0
1e+38 0.016889 11.0
1e+38 0.016938 9.0
1e+38 0.017454 7.0
0.008522 0.016669 5.0
0.00977 0.016363 3.0
1e+38 0.014095 1.0
0.00988 0.033751 63.0
0.00955 0.033735 61.0
0.00924 0.034393 59.0
0.01003 0.033598 57.0
0.00924 0.033931 55.0
0.00936 0.034089 53.0
0.00939 0.033896 51.0
0.00989 0.034235 49.0
0.00902 0.033812 47.0
0.0088 0.033937 45.0
0.00976 0.034064 43.0
0.01016 0.034002 41.0
0.01016 0.033712 39.0
0.00894 0.03376 37.0
0.00938 0.033889 35.0
0.00872 0.033871 33.0
0.00982 0.033832 31.0
1e+38 0.033707 29.0
0.00923 0.033928 27.0
0.00932 0.034298 25.0
0.00867 0.03406 23.0
0.00991 0.03391 21.0
0.00967 0.034057 19.0
0.00926 0.033839 17.0
0.00906 0.033762 15.0
0.00987 0.033683 13.0
0.00878 0.033624 11.0
0.00981 0.033081 9.0
0.00957 0.032306 7.0
0.01048 0.030769 5.0
0.00951 0.028618 3.0
0.01011 0.023517 1.0
1e+38 0.068296 63.0
1e+38 0.068274 61.0
1e+38 0.068248 59.0
1e+38 0.068085 57.0
1e+38 0.068263 55.0
1e+38 0.068052 53.0
1e+38 0.067998 51.0
1e+38 0.068169 49.0
1e+38 0.068002 47.0
1e+38 0.068003 45.0
1e+38 0.067624 43.0
1e+38 0.067865 41.0
1e+38 0.068075 39.0
1e+38 0.06777 37.0
1e+38 0.067653 35.0
1e+38 0.06771 33.0
1e+38 0.067215 31.0
1e+38 0.066869 29.0
1e+38 0.066946 27.0
1e+38 0.066283 25.0
1e+38 0.065145 23.0
1e+38 0.064086 21.0
1e+38 0.062794 19.0
1e+38 0.060537 17.0
1e+38 0.058746 15.0
1e+38 0.056388 13.0
1e+38 0.053854 11.0
1e+38 0.051152 9.0
1e+38 0.047748 7.0
1e+38 0.043987 5.0
1e+38 0.039768 3.0
1e+38 0.034347 1.0
1e+38 0.1023 63.0
1e+38 0.10209 61.0
1e+38 0.10202 59.0
1e+38 0.10257 57.0
1e+38 0.10159 55.0
1e+38 0.102 53.0
1e+38 0.1013 51.0
1e+38 0.10072 49.0
1e+38 0.10048 47.0
1e+38 0.09898 45.0
1e+38 0.09851 43.0
1e+38 0.09726 41.0
1e+38 0.09579 39.0
1e+38 0.09418 37.0
1e+38 0.09231 35.0
1e+38 0.0907 33.0
1e+38 0.08834 31.0
1e+38 0.08614 29.0
