Vin[V] Vout[V] Clip_b
0.008527 0.020727 63.0
1e+38 0.021058 61.0
0.009074 0.02134 59.0
0.00885 0.020975 57.0
1e+38 0.020876 55.0
0.009322 0.02085 53.0
0.008673 0.021647 51.0
1e+38 0.020791 49.0
0.008733 0.021209 47.0
1e+38 0.021279 45.0
0.008674 0.021165 43.0
0.009324 0.021195 41.0
1e+38 0.02087 39.0
1e+38 0.020537 37.0
1e+38 0.020863 35.0
1e+38 0.020609 33.0
1e+38 0.021115 31.0
0.008405 0.020654 29.0
1e+38 0.020376 27.0
1e+38 0.020875 25.0
0.009708 0.020908 23.0
1e+38 0.020654 21.0
0.00894 0.020981 19.0
0.008412 0.020972 17.0
1e+38 0.021608 15.0
1e+38 0.020497 13.0
0.00904 0.020241 11.0
0.008105 0.020298 9.0
1e+38 0.020883 7.0
0.008944 0.019539 5.0
0.008566 0.018596 3.0
1e+38 0.014653 1.0
0.01059 0.042528 63.0
0.01151 0.042361 61.0
0.01055 0.042886 59.0
0.00986 0.042834 57.0
0.00937 0.042411 55.0
0.01235 0.04231 53.0
0.00978 0.042026 51.0
0.01076 0.042247 49.0
0.01058 0.042343 47.0
0.00927 0.042321 45.0
0.01028 0.042662 43.0
0.01157 0.04226 41.0
0.01036 0.042376 39.0
0.01069 0.042158 37.0
0.01072 0.042156 35.0
0.01103 0.041906 33.0
0.0104 0.041348 31.0
0.01004 0.042011 29.0
0.01007 0.042054 27.0
0.01075 0.041554 25.0
0.01043 0.041972 23.0
0.01158 0.042148 21.0
0.00955 0.042051 19.0
0.01118 0.041327 17.0
0.01049 0.041924 15.0
0.01049 0.041222 13.0
0.00967 0.04117 11.0
0.0112 0.041008 9.0
0.01176 0.039881 7.0
0.01039 0.038704 5.0
0.01143 0.034796 3.0
0.01023 0.025607 1.0
1e+38 0.084839 63.0
0.01687 0.084764 61.0
1e+38 0.084857 59.0
0.01812 0.084949 57.0
0.01661 0.084975 55.0
0.0161 0.084143 53.0
0.01633 0.084201 51.0
0.01705 0.084282 49.0
0.01668 0.084109 47.0
