Vin[V] Vout[V] Clip_b
1e+38 0.015215 63.0
0.008603 0.015126 61.0
1e+38 0.015299 59.0
1e+38 0.015201 57.0
1e+38 0.015145 55.0
1e+38 0.015114 53.0
1e+38 0.015044 51.0
0.00841 0.014982 49.0
1e+38 0.015267 47.0
0.008655 0.015077 45.0
1e+38 0.015618 43.0
1e+38 0.015235 41.0
1e+38 0.015283 39.0
1e+38 0.015172 37.0
1e+38 0.01512 35.0
1e+38 0.015296 33.0
1e+38 0.015631 31.0
1e+38 0.01533 29.0
0.00817 0.015169 27.0
1e+38 0.015382 25.0
1e+38 0.015533 23.0
1e+38 0.015186 21.0
0.008893 0.015348 19.0
1e+38 0.01524 17.0
1e+38 0.015361 15.0
0.00862 0.015093 13.0
1e+38 0.015098 11.0
1e+38 0.015249 9.0
1e+38 0.015097 7.0
1e+38 0.014856 5.0
1e+38 0.014289 3.0
1e+38 0.012398 1.0
0.00974 0.030481 63.0
0.00917 0.030585 61.0
0.00872 0.030264 59.0
0.00838 0.030194 57.0
1e+38 0.030509 55.0
0.00977 0.030396 53.0
0.00993 0.030048 51.0
0.00954 0.030472 49.0
0.01022 0.030134 47.0
0.01023 0.030206 45.0
0.0098 0.030331 43.0
0.0095 0.030288 41.0
0.00975 0.030351 39.0
1e+38 0.03055 37.0
0.00956 0.030409 35.0
0.00919 0.030492 33.0
0.00956 0.030329 31.0
0.00899 0.030264 29.0
0.00921 0.030314 27.0
0.00977 0.030165 25.0
0.00854 0.030235 23.0
0.0098 0.030211 21.0
0.00966 0.03025 19.0
0.00928 0.030128 17.0
0.00931 0.029853 15.0
0.00949 0.029206 13.0
1e+38 0.028999 11.0
0.01169 0.028139 9.0
0.01071 0.02677 7.0
1e+38 0.025423 5.0
1e+38 0.023145 3.0
0.01015 0.019126 1.0
1e+38 0.059732 63.0
1e+38 0.059613 61.0
1e+38 0.059874 59.0
1e+38 0.059481 57.0
1e+38 0.059321 55.0
1e+38 0.05951 53.0
1e+38 0.059166 51.0
1e+38 0.05905 49.0
1e+38 0.059111 47.0
1e+38 0.058615 45.0
1e+38 0.058326 43.0
1e+38 0.057439 41.0
0.01438 0.056918 39.0
1e+38 0.056303 37.0
1e+38 0.055742 35.0
1e+38 0.054685 33.0
1e+38 0.053704 31.0
1e+38 0.052895 29.0
1e+38 0.051323 27.0
1e+38 0.049889 25.0
1e+38 0.048739 23.0
1e+38 0.04688 21.0
1e+38 0.045749 19.0
1e+38 0.044097 17.0
1e+38 0.04257 15.0
1e+38 0.04062 13.0
1e+38 0.038511 11.0
1e+38 0.036728 9.0
1e+38 0.034806 7.0
1e+38 0.032509 5.0
1e+38 0.029821 3.0
1e+38 0.026368 1.0
1e+38 0.079648 63.0
1e+38 0.078798 61.0
1e+38 0.077895 59.0
1e+38 0.076877 57.0
1e+38 0.075588 55.0
1e+38 0.07448 53.0
1e+38 0.073274 51.0
1e+38 0.071865 49.0
1e+38 0.070725 47.0
1e+38 0.069497 45.0
1e+38 0.068255 43.0
1e+38 0.067043 41.0
1e+38 0.065422 39.0
1e+38 0.063988 37.0
1e+38 0.062671 35.0
1e+38 0.061123 33.0
1e+38 0.059689 31.0
1e+38 0.058028 29.0
1e+38 0.056456 27.0
1e+38 0.054919 25.0
1e+38 0.053382 23.0
1e+38 0.051729 21.0
1e+38 0.050234 19.0
1e+38 0.048372 17.0
1e+38 0.046797 15.0
1e+38 0.04478 13.0
1e+38 0.042813 11.0
1e+38 0.040751 9.0
1e+38 0.03899 7.0
1e+38 0.036616 5.0
1e+38 0.03429 3.0
1e+38 0.031292 1.0
1e+38 0.084589 63.0
1e+38 0.083515 61.0
1e+38 0.082449 59.0
1e+38 0.081348 57.0
1e+38 0.079797 55.0
1e+38 0.078541 53.0
1e+38 0.077139 51.0
1e+38 0.075699 49.0
1e+38 0.0743 47.0
1e+38 0.073128 45.0
1e+38 0.071622 43.0
1e+38 0.070174 41.0
1e+38 0.068933 39.0
1e+38 0.067388 37.0
1e+38 0.065641 35.0
1e+38 0.064566 33.0
1e+38 0.063186 31.0
1e+38 0.06121 29.0
1e+38 0.05967 27.0
1e+38 0.058361 25.0
1e+38 0.056514 23.0
1e+38 0.054739 21.0
1e+38 0.053067 19.0
1e+38 0.051646 17.0
1e+38 0.050003 15.0
1e+38 0.048071 13.0
1e+38 0.045968 11.0
1e+38 0.04406 9.0
1e+38 0.041689 7.0
1e+38 0.039791 5.0
1e+38 0.037093 3.0
1e+38 0.034606 1.0
1e+38 0.08689 63.0
1e+38 0.08583 61.0
1e+38 0.08453 59.0
1e+38 0.08305 57.0
1e+38 0.08182 55.0
1e+38 0.08061 53.0
1e+38 0.0794 51.0
1e+38 0.07798 49.0
1e+38 0.07669 47.0
1e+38 0.07507 45.0
1e+38 0.07391 43.0
1e+38 0.07211 41.0
1e+38 0.07084 39.0
1e+38 0.06907 37.0
1e+38 0.06789 35.0
1e+38 0.06638 33.0
1e+38 0.06468 31.0
1e+38 0.06329 29.0
1e+38 0.06161 27.0
1e+38 0.06003 25.0
1e+38 0.05827 23.0
1e+38 0.0563 21.0
1e+38 0.05454 19.0
1e+38 0.05288 17.0
1e+38 0.05119 15.0
1e+38 0.04926 13.0
1e+38 0.04726 11.0
1e+38 0.04519 9.0
1e+38 0.04294 7.0
1e+38 0.04045 5.0
1e+38 0.03822 3.0
1e+38 0.03592 1.0
1e+38 0.08754 63.0
1e+38 0.08597 61.0
1e+38 0.0849 59.0
1e+38 0.08343 57.0
1e+38 0.08241 55.0
1e+38 0.08071 53.0
1e+38 0.07927 51.0
1e+38 0.07825 49.0
1e+38 0.0764 47.0
1e+38 0.07539 45.0
1e+38 0.07417 43.0
1e+38 0.07278 41.0
1e+38 0.07082 39.0
1e+38 0.06945 37.0
1e+38 0.06786 35.0
1e+38 0.06634 33.0
1e+38 0.06481 31.0
1e+38 0.06305 29.0
1e+38 0.06147 27.0
1e+38 0.05983 25.0
1e+38 0.05844 23.0
1e+38 0.05666 21.0
1e+38 0.05477 19.0
1e+38 0.05299 17.0
1e+38 0.05101 15.0
1e+38 0.04922 13.0
1e+38 0.0475 11.0
1e+38 0.04541 9.0
1e+38 0.04306 7.0
1e+38 0.04049 5.0
1e+38 0.03757 3.0
1e+38 0.03439 1.0
1e+38 0.08734 63.0
1e+38 0.086 61.0
1e+38 0.08494 59.0
1e+38 0.08374 57.0
1e+38 0.08221 55.0
1e+38 0.08095 53.0
1e+38 0.07949 51.0
1e+38 0.07851 49.0
1e+38 0.07684 47.0
1e+38 0.07572 45.0
1e+38 0.074 43.0
1e+38 0.07265 41.0
1e+38 0.07077 39.0
1e+38 0.0695 37.0
1e+38 0.06792 35.0
1e+38 0.06674 33.0
1e+38 0.06502 31.0
1e+38 0.06347 29.0
1e+38 0.06174 27.0
1e+38 0.06039 25.0
1e+38 0.05829 23.0
1e+38 0.05631 21.0
1e+38 0.05468 19.0
1e+38 0.0529 17.0
1e+38 0.05138 15.0
1e+38 0.04955 13.0
1e+38 0.04733 11.0
1e+38 0.04525 9.0
1e+38 0.04303 7.0
1e+38 0.04036 5.0
1e+38 0.03742 3.0
1e+38 0.03314 1.0
1e+38 0.08758 63.0
1e+38 0.08637 61.0
1e+38 0.08496 59.0
1e+38 0.08395 57.0
1e+38 0.08235 55.0
1e+38 0.08133 53.0
1e+38 0.07992 51.0
1e+38 0.07852 49.0
1e+38 0.07743 47.0
1e+38 0.07569 45.0
1e+38 0.0743 43.0
1e+38 0.07281 41.0
1e+38 0.07127 39.0
1e+38 0.06955 37.0
1e+38 0.06794 35.0
1e+38 0.06646 33.0
1e+38 0.06522 31.0
1e+38 0.06365 29.0
1e+38 0.06194 27.0
1e+38 0.06036 25.0
1e+38 0.05848 23.0
1e+38 0.05675 21.0
1e+38 0.05513 19.0
1e+38 0.05304 17.0
1e+38 0.05127 15.0
1e+38 0.04926 13.0
1e+38 0.04752 11.0
1e+38 0.04524 9.0
1e+38 0.04296 7.0
1e+38 0.04022 5.0
1e+38 0.03725 3.0
1e+38 0.0342 1.0
1e+38 0.08835 63.0
1e+38 0.08685 61.0
1e+38 0.08541 59.0
1e+38 0.08435 57.0
1e+38 0.08296 55.0
1e+38 0.08173 53.0
1e+38 0.08017 51.0
1e+38 0.07868 49.0
1e+38 0.07747 47.0
1e+38 0.07607 45.0
