Vin[V] Vout[V] Clip_b
0.008724 0.021433 63.0
0.008119 0.021498 61.0
1e+38 0.021377 59.0
1e+38 0.021786 57.0
0.00936 0.021426 55.0
1e+38 0.021146 53.0
1e+38 0.021143 51.0
0.008077 0.021753 49.0
0.008808 0.021493 47.0
0.00945 0.021731 45.0
0.009367 0.021435 43.0
1e+38 0.021385 41.0
1e+38 0.021465 39.0
1e+38 0.021187 37.0
1e+38 0.021407 35.0
0.009478 0.02135 33.0
1e+38 0.021237 31.0
1e+38 0.021392 29.0
0.008801 0.021799 27.0
1e+38 0.021291 25.0
1e+38 0.021669 23.0
1e+38 0.021482 21.0
1e+38 0.021228 19.0
1e+38 0.020674 17.0
1e+38 0.020691 15.0
0.009263 0.020181 13.0
1e+38 0.019209 11.0
1e+38 0.017835 9.0
1e+38 0.016529 7.0
1e+38 0.014859 5.0
1e+38 0.012176 3.0
1e+38 0.009515 1.0
1e+38 0.043073 63.0
0.01011 0.042997 61.0
1e+38 0.043325 59.0
0.00956 0.042721 57.0
0.00962 0.04269 55.0
0.00957 0.042703 53.0
0.00993 0.043069 51.0
0.01008 0.042638 49.0
0.00985 0.042806 47.0
0.01058 0.042511 45.0
0.00942 0.042397 43.0
0.00932 0.042111 41.0
0.00904 0.041673 39.0
0.00901 0.041327 37.0
0.00986 0.040839 35.0
0.01006 0.04028 33.0
0.00947 0.0394 31.0
0.00932 0.038502 29.0
0.00848 0.037604 27.0
0.00959 0.036228 25.0
0.00897 0.034906 23.0
0.01028 0.034084 21.0
0.0091 0.032026 19.0
0.01013 0.030488 17.0
0.00997 0.02877 15.0
0.0098 0.027611 13.0
0.00923 0.025312 11.0
0.00919 0.023575 9.0
0.00922 0.021484 7.0
0.00927 0.019614 5.0
0.00921 0.017257 3.0
0.0093 0.014916 1.0
1e+38 0.06931 63.0
1e+38 0.068222 61.0
1e+38 0.067337 59.0
1e+38 0.066447 57.0
1e+38 0.06498 55.0
1e+38 0.063737 53.0
1e+38 0.062305 51.0
1e+38 0.061355 49.0
1e+38 0.059976 47.0
1e+38 0.058346 45.0
1e+38 0.057017 43.0
1e+38 0.055853 41.0
1e+38 0.054641 39.0
1e+38 0.053226 37.0
1e+38 0.05132 35.0
1e+38 0.050102 33.0
1e+38 0.048191 31.0
1e+38 0.046809 29.0
1e+38 0.045088 27.0
1e+38 0.043703 25.0
1e+38 0.042369 23.0
1e+38 0.040515 21.0
1e+38 0.038799 19.0
1e+38 0.036997 17.0
1e+38 0.035436 15.0
1e+38 0.033899 13.0
1e+38 0.031758 11.0
1e+38 0.029914 9.0
1e+38 0.027733 7.0
1e+38 0.025634 5.0
1e+38 0.023498 3.0
1e+38 0.021988 1.0
1e+38 0.073336 63.0
1e+38 0.071952 61.0
