Vin[V] Vout[V] Clip_b
1e+38 0.031477 63.0
1e+38 0.031893 61.0
0.008175 0.031375 59.0
1e+38 0.031745 57.0
1e+38 0.031574 55.0
1e+38 0.031461 53.0
1e+38 0.031056 51.0
0.008695 0.031687 49.0
0.00809 0.031011 47.0
1e+38 0.031138 45.0
0.008942 0.031805 43.0
1e+38 0.03135 41.0
0.008881 0.031146 39.0
1e+38 0.031388 37.0
1e+38 0.031264 35.0
1e+38 0.031368 33.0
1e+38 0.031087 31.0
1e+38 0.03158 29.0
1e+38 0.031872 27.0
1e+38 0.030638 25.0
0.009156 0.031813 23.0
0.007783 0.031344 21.0
1e+38 0.031659 19.0
0.009748 0.030565 17.0
0.008422 0.030738 15.0
1e+38 0.030589 13.0
1e+38 0.030569 11.0
1e+38 0.030224 9.0
1e+38 0.029935 7.0
1e+38 0.028835 5.0
1e+38 0.026132 3.0
1e+38 0.01891 1.0
0.0094 0.063505 63.0
0.00996 0.063348 61.0
0.00996 0.063645 59.0
0.00993 0.063928 57.0
0.0093 0.064061 55.0
0.01014 0.063598 53.0
0.00977 0.063923 51.0
0.00922 0.063122 49.0
0.00931 0.063506 47.0
0.00939 0.063484 45.0
0.00949 0.063551 43.0
0.00936 0.063426 41.0
0.01034 0.06326 39.0
0.01019 0.063512 37.0
0.01028 0.063323 35.0
0.00961 0.062747 33.0
0.00916 0.063031 31.0
0.00917 0.062928 29.0
1e+38 0.063281 27.0
0.00944 0.063308 25.0
0.00975 0.062745 23.0
0.00947 0.062717 21.0
0.0095 0.062227 19.0
0.01098 0.0628 17.0
1e+38 0.061921 15.0
0.01005 0.061458 13.0
0.01015 0.060554 11.0
0.01033 0.059046 9.0
0.00966 0.055838 7.0
0.00934 0.050329 5.0
0.00983 0.042355 3.0
0.00956 0.030428 1.0
1e+38 0.12698 63.0
1e+38 0.12761 61.0
1e+38 0.12781 59.0
1e+38 1e+38 57.0
1e+38 0.12739 55.0
1e+38 0.12682 53.0
1e+38 0.12788 51.0
1e+38 0.12762 49.0
1e+38 0.12687 47.0
1e+38 0.12671 45.0
1e+38 0.12611 43.0
1e+38 0.12651 41.0
1e+38 1e+38 39.0
1e+38 0.12592 37.0
1e+38 0.12636 35.0
1e+38 0.12591 33.0
1e+38 0.12597 31.0
1e+38 0.12533 29.0
1e+38 0.12467 27.0
1e+38 0.12442 25.0
1e+38 0.12393 23.0
1e+38 0.12252 21.0
1e+38 0.12083 19.0
1e+38 0.11795 17.0
1e+38 0.11349 15.0
1e+38 0.10694 13.0
1e+38 0.0998 11.0
0.01588 0.09106 9.0
1e+38 0.08077 7.0
1e+38 0.07038 5.0
1e+38 0.05865 3.0
1e+38 0.04638 1.0
1e+38 0.19012 63.0
1e+38 0.19082 61.0
1e+38 0.1892 59.0
1e+38 0.19014 57.0
1e+38 0.18935 55.0
1e+38 0.18955 53.0
1e+38 0.18864 51.0
1e+38 0.18819 49.0
1e+38 0.18883 47.0
1e+38 0.18847 45.0
1e+38 0.18738 43.0
1e+38 0.18799 41.0
1e+38 0.18664 39.0
1e+38 0.1868 37.0
1e+38 0.18561 35.0
1e+38 0.18538 33.0
1e+38 0.18347 31.0
1e+38 0.18131 29.0
1e+38 0.17827 27.0
1e+38 0.1745 25.0
1e+38 0.16707 23.0
1e+38 0.16052 21.0
1e+38 0.15189 19.0
1e+38 0.14299 17.0
1e+38 0.13399 15.0
1e+38 0.12474 13.0
1e+38 0.11524 11.0
1e+38 0.10493 9.0
1e+38 0.09357 7.0
1e+38 0.08405 5.0
1e+38 0.07196 3.0
1e+38 0.06041 1.0
1e+38 0.25202 63.0
1e+38 0.25061 61.0
1e+38 0.25006 59.0
1e+38 0.24996 57.0
1e+38 0.24947 55.0
1e+38 0.24928 53.0
1e+38 0.24855 51.0
1e+38 0.24879 49.0
1e+38 0.24776 47.0
1e+38 0.24654 45.0
1e+38 0.2446 43.0
1e+38 0.2431 41.0
1e+38 0.2404 39.0
1e+38 0.23654 37.0
1e+38 0.23222 35.0
1e+38 0.22662 33.0
1e+38 0.21862 31.0
1e+38 0.2114 29.0
1e+38 0.20318 27.0
1e+38 0.19478 25.0
1e+38 0.18516 23.0
1e+38 0.17615 21.0
1e+38 0.16707 19.0
1e+38 0.1574 17.0
1e+38 0.14721 15.0
1e+38 0.13722 13.0
1e+38 0.12785 11.0
1e+38 0.11763 9.0
1e+38 0.1053 7.0
1e+38 0.09398 5.0
1e+38 0.08307 3.0
1e+38 0.07212 1.0
1e+38 0.30744 63.0
1e+38 0.30706 61.0
1e+38 0.30628 59.0
1e+38 0.30573 57.0
1e+38 0.3041 55.0
1e+38 0.30199 53.0
1e+38 0.30073 51.0
1e+38 0.29761 49.0
1e+38 0.29373 47.0
1e+38 0.28863 45.0
1e+38 0.28309 43.0
1e+38 0.27627 41.0
1e+38 0.26812 39.0
1e+38 0.26111 37.0
1e+38 0.25265 35.0
1e+38 0.24394 33.0
1e+38 0.23526 31.0
1e+38 0.22584 29.0
1e+38 0.217 27.0
1e+38 0.20815 25.0
1e+38 0.19799 23.0
1e+38 0.18868 21.0
1e+38 0.17859 19.0
1e+38 0.16876 17.0
1e+38 0.15832 15.0
1e+38 0.14887 13.0
1e+38 0.13765 11.0
1e+38 0.12773 9.0
1e+38 0.11658 7.0
1e+38 0.10505 5.0
1e+38 0.09255 3.0
1e+38 0.0826 1.0
1e+38 0.35897 63.0
1e+38 0.35607 61.0
1e+38 0.35265 59.0
1e+38 0.34956 57.0
1e+38 0.34364 55.0
1e+38 0.3384 53.0
1e+38 0.33098 51.0
1e+38 0.32438 49.0
1e+38 0.31682 47.0
1e+38 0.30846 45.0
1e+38 0.30108 43.0
1e+38 0.29283 41.0
1e+38 0.28433 39.0
1e+38 0.27458 37.0
1e+38 0.26654 35.0
1e+38 0.25759 33.0
1e+38 0.24836 31.0
1e+38 0.23925 29.0
1e+38 0.22947 27.0
1e+38 0.22065 25.0
1e+38 0.21003 23.0
1e+38 0.19937 21.0
1e+38 0.19011 19.0
1e+38 0.18014 17.0
1e+38 0.16953 15.0
1e+38 0.15937 13.0
1e+38 0.14872 11.0
1e+38 0.13773 9.0
1e+38 0.12518 7.0
1e+38 0.11474 5.0
1e+38 0.10234 3.0
1e+38 0.09294 1.0
1e+38 0.38497 63.0
1e+38 0.37885 61.0
1e+38 0.37096 59.0
1e+38 0.3634 57.0
1e+38 0.35582 55.0
1e+38 0.3488 53.0
1e+38 0.34038 51.0
1e+38 0.33303 49.0
1e+38 0.32332 47.0
1e+38 0.3175 45.0
1e+38 0.30894 43.0
1e+38 0.30027 41.0
1e+38 0.29038 39.0
1e+38 0.28299 37.0
1e+38 0.27258 35.0
1e+38 0.26181 33.0
1e+38 0.25525 31.0
1e+38 0.24721 29.0
1e+38 0.23668 27.0
1e+38 0.22739 25.0
1e+38 0.21589 23.0
1e+38 0.20451 21.0
1e+38 0.19723 19.0
1e+38 0.18722 17.0
1e+38 0.17555 15.0
1e+38 0.16612 13.0
1e+38 0.15623 11.0
1e+38 0.14491 9.0
1e+38 0.13179 7.0
1e+38 0.12119 5.0
1e+38 0.11022 3.0
1e+38 0.10139 1.0
1e+38 0.39955 63.0
1e+38 0.39092 61.0
1e+38 0.38358 59.0
1e+38 0.37433 57.0
1e+38 0.36607 55.0
1e+38 0.35873 53.0
1e+38 0.35049 51.0
1e+38 0.3424 49.0
1e+38 0.33362 47.0
1e+38 0.32517 45.0
1e+38 0.31691 43.0
1e+38 0.30821 41.0
1e+38 0.29744 39.0
1e+38 0.28927 37.0
1e+38 0.27971 35.0
1e+38 0.27237 33.0
1e+38 0.26057 31.0
1e+38 0.25105 29.0
1e+38 0.24077 27.0
1e+38 0.2329 25.0
1e+38 0.22112 23.0
1e+38 0.21132 21.0
1e+38 0.20118 19.0
1e+38 0.19127 17.0
1e+38 0.17991 15.0
1e+38 0.17025 13.0
1e+38 0.15927 11.0
1e+38 0.1483 9.0
1e+38 0.13659 7.0
1e+38 0.12598 5.0
1e+38 0.11481 3.0
1e+38 0.10502 1.0
1e+38 0.41075 63.0
1e+38 0.40328 61.0
1e+38 0.39486 59.0
1e+38 0.38513 57.0
1e+38 0.37676 55.0
1e+38 0.36801 53.0
1e+38 0.35893 51.0
1e+38 0.3497 49.0
1e+38 0.33993 47.0
1e+38 0.33143 45.0
1e+38 0.32126 43.0
1e+38 0.31181 41.0
1e+38 0.30208 39.0
1e+38 0.29288 37.0
1e+38 0.28368 35.0
1e+38 0.27385 33.0
1e+38 0.26359 31.0
1e+38 0.25366 29.0
1e+38 0.24452 27.0
1e+38 0.23454 25.0
1e+38 0.22401 23.0
1e+38 0.2145 21.0
1e+38 0.20503 19.0
1e+38 0.19391 17.0
1e+38 0.18419 15.0
1e+38 0.1737 13.0
1e+38 0.16255 11.0
1e+38 0.15067 9.0
1e+38 0.14005 7.0
1e+38 0.12912 5.0
1e+38 0.11881 3.0
1e+38 0.10676 1.0
