Vin[V] Vout[V] Clip_b
1e+38 0.016931 63.0
1e+38 0.017439 61.0
1e+38 0.017371 59.0
0.008434 0.017485 57.0
1e+38 0.017521 55.0
1e+38 0.017522 53.0
1e+38 0.017243 51.0
1e+38 0.017107 49.0
1e+38 0.017303 47.0
1e+38 0.016876 45.0
0.008656 0.017568 43.0
1e+38 0.0171 41.0
0.008341 0.017168 39.0
1e+38 0.016902 37.0
0.008783 0.017229 35.0
1e+38 0.016989 33.0
1e+38 0.017439 31.0
1e+38 0.017261 29.0
1e+38 0.016907 27.0
0.008919 0.017159 25.0
1e+38 0.017128 23.0
1e+38 0.017039 21.0
1e+38 0.017078 19.0
0.008399 0.016924 17.0
1e+38 0.016964 15.0
0.008336 0.016916 13.0
1e+38 0.016664 11.0
1e+38 0.01659 9.0
1e+38 0.016734 7.0
1e+38 0.016556 5.0
1e+38 0.015801 3.0
1e+38 0.012199 1.0
0.00864 0.034676 63.0
0.00893 0.034524 61.0
0.01077 0.034636 59.0
0.00963 0.034831 57.0
0.01031 0.034722 55.0
0.00921 0.034545 53.0
0.0087 0.034461 51.0
0.00982 0.034829 49.0
0.00907 0.034442 47.0
0.01049 0.03432 45.0
0.01042 0.034624 43.0
0.00948 0.034331 41.0
0.01014 0.034527 39.0
0.00885 0.034352 37.0
0.00902 0.03442 35.0
0.00966 0.034094 33.0
0.00886 0.034549 31.0
0.00972 0.034417 29.0
0.00927 0.034334 27.0
0.00879 0.034314 25.0
0.00938 0.034456 23.0
0.00911 0.034229 21.0
0.0089 0.034055 19.0
0.00901 0.034018 17.0
0.0094 0.034294 15.0
0.00987 0.034135 13.0
0.00954 0.033646 11.0
0.00914 0.033123 9.0
0.00899 0.03308 7.0
0.01015 0.032262 5.0
0.00909 0.030032 3.0
0.01033 0.023055 1.0
1e+38 0.069644 63.0
1e+38 0.069574 61.0
1e+38 0.069084 59.0
1e+38 0.069718 57.0
1e+38 0.0693 55.0
1e+38 0.069501 53.0
1e+38 0.069055 51.0
1e+38 0.069224 49.0
1e+38 0.069239 47.0
1e+38 0.069623 45.0
1e+38 0.069111 43.0
1e+38 0.069054 41.0
1e+38 0.069291 39.0
1e+38 0.06891 37.0
1e+38 0.068699 35.0
1e+38 0.069222 33.0
1e+38 0.069012 31.0
1e+38 0.068987 29.0
1e+38 0.068924 27.0
1e+38 0.068412 25.0
1e+38 0.068575 23.0
1e+38 0.06827 21.0
1e+38 0.06815 19.0
1e+38 0.06794 17.0
1e+38 0.068054 15.0
1e+38 0.067437 13.0
1e+38 0.06657 11.0
1e+38 0.065229 9.0
1e+38 0.062494 7.0
1e+38 0.05792 5.0
1e+38 0.050177 3.0
1e+38 0.037042 1.0
1e+38 0.10568 63.0
1e+38 0.10555 61.0
1e+38 0.10527 59.0
1e+38 0.1054 57.0
1e+38 0.10548 55.0
1e+38 0.10502 53.0
1e+38 0.10481 51.0
1e+38 0.10489 49.0
1e+38 0.1049 47.0
1e+38 0.10519 45.0
1e+38 0.10483 43.0
1e+38 0.10444 41.0
1e+38 0.10457 39.0
1e+38 0.1043 37.0
1e+38 0.10426 35.0
1e+38 0.10433 33.0
1e+38 0.1042 31.0
1e+38 0.10399 29.0
1e+38 0.10354 27.0
1e+38 0.10381 25.0
1e+38 0.10348 23.0
1e+38 0.10272 21.0
1e+38 0.10252 19.0
1e+38 0.10128 17.0
1e+38 0.10009 15.0
1e+38 0.09791 13.0
1e+38 0.09483 11.0
1e+38 0.08922 9.0
1e+38 0.08111 7.0
1e+38 0.07202 5.0
1e+38 0.06119 3.0
1e+38 0.04746 1.0
1e+38 0.13977 63.0
1e+38 0.14029 61.0
1e+38 0.13984 59.0
1e+38 0.13936 57.0
1e+38 0.13958 55.0
1e+38 0.13911 53.0
1e+38 0.13887 51.0
1e+38 0.139 49.0
1e+38 0.13823 47.0
1e+38 0.13889 45.0
1e+38 0.13874 43.0
1e+38 0.13823 41.0
1e+38 0.13881 39.0
1e+38 0.13833 37.0
1e+38 0.13752 35.0
1e+38 0.13805 33.0
1e+38 0.13757 31.0
1e+38 0.13745 29.0
1e+38 0.13714 27.0
1e+38 0.13624 25.0
1e+38 0.1355 23.0
1e+38 0.13387 21.0
1e+38 0.13244 19.0
1e+38 0.12899 17.0
1e+38 0.12393 15.0
1e+38 0.11737 13.0
1e+38 0.10915 11.0
1e+38 0.10167 9.0
1e+38 0.09094 7.0
1e+38 0.08139 5.0
1e+38 0.0699 3.0
1e+38 0.05592 1.0
1e+38 0.17478 63.0
1e+38 0.17377 61.0
1e+38 0.17408 59.0
1e+38 0.17415 57.0
1e+38 0.17384 55.0
1e+38 0.17339 53.0
1e+38 0.17377 51.0
1e+38 0.17346 49.0
1e+38 0.17335 47.0
1e+38 0.17261 45.0
1e+38 0.17317 43.0
1e+38 0.17232 41.0
1e+38 0.17257 39.0
1e+38 0.17257 37.0
1e+38 0.17244 35.0
1e+38 0.1712 33.0
1e+38 0.17005 31.0
1e+38 0.16916 29.0
1e+38 0.16816 27.0
1e+38 0.16642 25.0
1e+38 0.16275 23.0
1e+38 0.15897 21.0
1e+38 0.15276 19.0
1e+38 0.14524 17.0
1e+38 0.13734 15.0
1e+38 0.12878 13.0
1e+38 0.11925 11.0
1e+38 0.10988 9.0
1e+38 0.09916 7.0
1e+38 0.08822 5.0
1e+38 0.07776 3.0
1e+38 0.06395 1.0
1e+38 0.20947 63.0
1e+38 0.20935 61.0
1e+38 0.20876 59.0
1e+38 0.20881 57.0
1e+38 0.2095 55.0
1e+38 0.20877 53.0
1e+38 0.20712 51.0
1e+38 0.20724 49.0
1e+38 0.20805 47.0
1e+38 0.20777 45.0
1e+38 0.20721 43.0
1e+38 0.20706 41.0
1e+38 0.20635 39.0
1e+38 0.20555 37.0
1e+38 0.20385 35.0
1e+38 0.20327 33.0
1e+38 0.20038 31.0
1e+38 0.19718 29.0
1e+38 0.19312 27.0
1e+38 0.18832 25.0
1e+38 0.1813 23.0
1e+38 0.17294 21.0
1e+38 0.16516 19.0
1e+38 0.15703 17.0
1e+38 0.14676 15.0
1e+38 0.13756 13.0
1e+38 0.12789 11.0
1e+38 0.11851 9.0
1e+38 0.10722 7.0
1e+38 0.09672 5.0
1e+38 0.08425 3.0
1e+38 0.07205 1.0
1e+38 0.24294 63.0
1e+38 0.24296 61.0
1e+38 0.2422 59.0
1e+38 0.24172 57.0
1e+38 0.24178 55.0
1e+38 0.24195 53.0
1e+38 0.24127 51.0
1e+38 0.24072 49.0
1e+38 0.24049 47.0
1e+38 0.23963 45.0
1e+38 0.23913 43.0
1e+38 0.23806 41.0
1e+38 0.23601 39.0
1e+38 0.23423 37.0
1e+38 0.231 35.0
1e+38 0.22706 33.0
1e+38 0.2219 31.0
1e+38 0.21509 29.0
1e+38 0.20821 27.0
1e+38 0.20086 25.0
1e+38 0.19209 23.0
1e+38 0.18271 21.0
1e+38 0.17471 19.0
1e+38 0.16535 17.0
1e+38 0.15511 15.0
1e+38 0.14561 13.0
1e+38 0.13522 11.0
1e+38 0.1255 9.0
1e+38 0.11376 7.0
1e+38 0.10255 5.0
1e+38 0.09156 3.0
1e+38 0.07919 1.0
1e+38 0.27772 63.0
1e+38 0.27745 61.0
1e+38 0.27709 59.0
1e+38 0.27644 57.0
1e+38 0.2758 55.0
1e+38 0.27482 53.0
1e+38 0.27443 51.0
1e+38 0.27346 49.0
1e+38 0.2727 47.0
1e+38 0.2709 45.0
1e+38 0.26904 43.0
1e+38 0.26538 41.0
1e+38 0.26163 39.0
1e+38 0.25666 37.0
1e+38 0.25063 35.0
1e+38 0.24387 33.0
1e+38 0.23541 31.0
1e+38 0.22724 29.0
1e+38 0.21973 27.0
1e+38 0.21098 25.0
1e+38 0.20135 23.0
1e+38 0.19243 21.0
1e+38 0.18298 19.0
1e+38 0.17294 17.0
1e+38 0.16295 15.0
1e+38 0.15297 13.0
1e+38 0.14343 11.0
1e+38 0.13219 9.0
1e+38 0.12094 7.0
1e+38 0.10976 5.0
1e+38 0.09788 3.0
1e+38 0.08628 1.0
1e+38 0.34827 63.0
1e+38 0.34722 61.0
1e+38 0.34574 59.0
1e+38 0.34445 57.0
1e+38 0.34171 55.0
1e+38 0.33846 53.0
1e+38 0.33542 51.0
1e+38 0.3299 49.0
1e+38 0.32422 47.0
1e+38 0.3178 45.0
1e+38 0.31094 43.0
1e+38 0.30353 41.0
1e+38 0.29425 39.0
1e+38 0.2866 37.0
1e+38 0.278 35.0
1e+38 0.26961 33.0
1e+38 0.25989 31.0
1e+38 0.2507 29.0
1e+38 0.24132 27.0
1e+38 0.23119 25.0
1e+38 0.22141 23.0
1e+38 0.21107 21.0
1e+38 0.20099 19.0
1e+38 0.19041 17.0
1e+38 0.17997 15.0
1e+38 0.16958 13.0
1e+38 0.15832 11.0
1e+38 0.14801 9.0
1e+38 0.13477 7.0
1e+38 0.12385 5.0
1e+38 0.1113 3.0
1e+38 0.10055 1.0
