Vin[V] Vout[V] Clip_b
0.044352 0.039994 61.0
0.047772 0.039956 59.0
0.047668 0.039319 57.0
0.045383 0.039796 55.0
0.046633 0.040281 53.0
0.046311 0.038534 51.0
0.047116 0.040155 49.0
0.046852 0.039812 47.0
0.044948 0.039171 45.0
0.047764 0.039834 43.0
0.047419 0.039918 41.0
0.045276 0.038935 39.0
0.046363 0.039799 37.0
0.046978 0.039262 35.0
0.048715 0.040493 33.0
0.047504 0.039505 31.0
0.044724 0.039054 29.0
0.046219 0.039894 27.0
0.046467 0.039489 25.0
0.046395 0.039304 23.0
1e+38 0.039163 21.0
0.046588 0.03878 19.0
0.045842 0.038617 17.0
0.048352 0.039234 15.0
0.044707 0.039386 13.0
0.046785 0.038422 11.0
0.046892 0.038454 9.0
0.048312 0.038028 7.0
0.046159 0.036867 5.0
0.046336 0.034701 3.0
0.046267 0.026789 1.0
0.09241 0.079436 63.0
0.09284 0.078925 61.0
0.09271 0.078908 59.0
0.09208 0.079704 57.0
0.09124 0.078726 55.0
0.09181 0.079115 53.0
0.09214 0.078646 51.0
0.09176 0.079241 49.0
0.09408 0.079238 47.0
0.09098 0.078967 45.0
0.09285 0.079685 43.0
0.09249 0.079011 41.0
0.09231 0.078737 39.0
0.0924 0.078745 37.0
0.09311 0.079436 35.0
0.09216 0.079134 33.0
0.0921 0.078549 31.0
0.09211 0.078502 29.0
0.09205 0.078098 27.0
0.09109 0.07828 25.0
0.09218 0.078505 23.0
0.09167 0.078367 21.0
0.09179 0.077895 19.0
0.09356 0.077686 17.0
0.09216 0.077605 15.0
0.09352 0.076842 13.0
0.09114 0.076241 11.0
0.09259 0.074612 9.0
0.09176 0.071491 7.0
0.09258 0.06599 5.0
0.09252 0.057607 3.0
0.09336 0.04325 1.0
0.1837 0.16013 63.0
0.18377 0.15902 61.0
0.18263 0.15905 59.0
0.18303 0.15893 57.0
0.18297 0.15912 55.0
0.18334 0.158 53.0
0.182 0.15926 51.0
0.18432 0.15878 49.0
0.18243 0.15847 47.0
0.18379 0.15794 45.0
0.1827 0.15829 43.0
0.18268 0.15793 41.0
0.18087 0.15736 39.0
0.18214 0.15738 37.0
0.18404 0.15761 35.0
0.18473 0.15744 33.0
0.18303 0.1573 31.0
0.18377 0.15594 29.0
0.1838 0.15549 27.0
0.18235 0.15536 25.0
0.18338 0.15446 23.0
0.18404 0.1522 21.0
0.18278 0.14933 19.0
0.18325 0.14421 17.0
0.18164 0.13881 15.0
0.1825 0.13159 13.0
0.18347 0.12318 11.0
0.18235 0.11375 9.0
0.18464 0.10227 7.0
0.18253 0.09119 5.0
0.18407 0.08032 3.0
0.18265 0.06552 1.0
0.27776 0.23686 63.0
0.27573 0.23643 61.0
0.27635 0.23602 59.0
0.27814 0.23528 57.0
0.27533 0.23612 55.0
0.27632 0.23532 53.0
0.27552 0.23474 51.0
0.27678 0.23474 49.0
0.27597 0.23415 47.0
0.27442 0.23369 45.0
0.27675 0.23366 43.0
0.27622 0.23245 41.0
0.27667 0.23137 39.0
0.27627 0.23043 37.0
0.27555 0.22927 35.0
0.27692 0.22728 33.0
0.27619 0.22326 31.0
0.277 0.21858 29.0
0.27633 0.21313 27.0
0.27617 0.20628 25.0
0.27683 0.19798 23.0
0.276 0.1888 21.0
0.27539 0.18 19.0
0.27667 0.17017 17.0
0.27548 0.16167 15.0
0.27661 0.15091 13.0
0.27734 0.1412 11.0
0.27821 0.13046 9.0
0.27525 0.11748 7.0
0.27679 0.10668 5.0
0.27746 0.09559 3.0
0.27659 0.08135 1.0
0.37148 0.30998 63.0
0.36963 0.30915 61.0
0.3701 0.308 59.0
0.37112 0.30762 57.0
0.36963 0.30694 55.0
0.37002 0.3062 53.0
0.36979 0.30487 51.0
0.36896 0.30337 49.0
0.37039 0.30182 47.0
0.36914 0.29884 45.0
0.36855 0.2949 43.0
0.36908 0.29024 41.0
0.36982 0.28335 39.0
0.36928 0.27694 37.0
0.37019 0.26873 35.0
0.36887 0.26094 33.0
0.37103 0.25323 31.0
0.36846 0.24417 29.0
0.36896 0.23561 27.0
0.37193 0.22563 25.0
0.36974 0.21548 23.0
0.37061 0.20545 21.0
0.36932 0.19675 19.0
0.36719 0.18573 17.0
0.36846 0.1762 15.0
0.3681 0.16554 13.0
0.36904 0.15598 11.0
0.36748 0.14453 9.0
0.36956 0.13278 7.0
0.36869 0.12033 5.0
0.36964 0.10815 3.0
0.37116 0.09671 1.0
0.45809 0.37365 63.0
0.45928 0.37202 61.0
0.45954 0.37006 59.0
0.45666 0.36567 57.0
0.45875 0.36158 55.0
0.45921 0.35692 53.0
0.45631 0.35142 51.0
0.46061 0.34446 49.0
0.45825 0.33781 47.0
0.45874 0.32996 45.0
0.45837 0.322 43.0
0.45955 0.31339 41.0
0.46036 0.3046 39.0
0.45867 0.29618 37.0
0.45936 0.28734 35.0
0.45721 0.27788 33.0
0.46017 0.26934 31.0
0.4573 0.26042 29.0
0.46042 0.25079 27.0
0.46025 0.24078 25.0
0.45754 0.23068 23.0
0.45875 0.22075 21.0
0.45786 0.21017 19.0
0.45969 0.20041 17.0
0.4577 0.1898 15.0
0.45906 0.17872 13.0
0.45949 0.16822 11.0
0.45756 0.15687 9.0
0.45888 0.14447 7.0
0.45706 0.13192 5.0
0.45833 0.12026 3.0
0.45739 0.10847 1.0
0.5507 0.40792 63.0
0.5511 0.40225 61.0
0.5522 0.39511 59.0
0.5504 0.3876 57.0
0.5501 0.37947 55.0
0.5506 0.37156 53.0
0.5505 0.36502 51.0
0.5506 0.35513 49.0
0.5526 0.34856 47.0
0.5501 0.34005 45.0
0.5501 0.33217 43.0
0.5503 0.32306 41.0
0.5496 0.31421 39.0
0.5519 0.30495 37.0
0.5494 0.29712 35.0
0.5499 0.2865 33.0
0.5492 0.27761 31.0
0.5515 0.26932 29.0
0.5497 0.26112 27.0
0.5514 0.24943 25.0
0.5526 0.23939 23.0
0.5502 0.22812 21.0
0.5482 0.21949 19.0
0.551 0.20826 17.0
0.5502 0.19988 15.0
0.5495 0.18737 13.0
0.5508 0.17859 11.0
0.5505 0.16571 9.0
0.5511 0.15428 7.0
0.5499 0.14065 5.0
0.5494 0.12987 3.0
0.5492 0.11704 1.0
0.6424 0.42685 63.0
0.6422 0.41925 61.0
0.6429 0.41075 59.0
0.6434 0.40225 57.0
0.6423 0.39375 55.0
0.642 0.38527 53.0
0.6413 0.37797 51.0
0.6429 0.36866 49.0
0.6421 0.36259 47.0
0.6426 0.35319 45.0
0.6433 0.34425 43.0
0.642 0.33573 41.0
0.6424 0.32787 39.0
0.6445 0.31755 37.0
0.6419 0.30779 35.0
0.6415 0.29813 33.0
0.6426 0.29025 31.0
0.6451 0.28078 29.0
0.6428 0.26988 27.0
0.6419 0.26052 25.0
0.6429 0.24981 23.0
0.6423 0.23889 21.0
0.6434 0.22955 19.0
0.642 0.21459 17.0
0.6433 0.20862 15.0
0.6423 0.19678 13.0
0.6431 0.18414 11.0
0.6439 0.17322 9.0
0.6453 0.16208 7.0
0.6424 0.15089 5.0
0.6426 0.13914 3.0
0.6431 0.12634 1.0
0.7265 0.43809 63.0
0.7268 0.43058 61.0
0.73 0.42221 59.0
0.7294 0.41358 57.0
0.7282 0.40521 55.0
0.7289 0.39699 53.0
0.7293 0.38772 51.0
0.7308 0.37896 49.0
0.7308 0.37146 47.0
0.7282 0.3625 45.0
0.7281 0.35399 43.0
0.7277 0.3454 41.0
0.7282 0.33571 39.0
0.7273 0.32578 37.0
0.7278 0.3166 35.0
0.7273 0.3058 33.0
0.7275 0.29687 31.0
0.7282 0.28659 29.0
0.7272 0.27794 27.0
0.7271 0.26586 25.0
0.7283 0.25642 23.0
0.7249 0.24603 21.0
0.7288 0.23556 19.0
0.7289 0.22091 17.0
0.7295 0.21274 15.0
0.7282 0.20285 13.0
0.7303 0.19091 11.0
0.7287 0.17857 9.0
0.7279 0.16738 7.0
0.726 0.15402 5.0
0.7255 0.14274 3.0
0.728 0.13421 1.0
0.9024 0.44474 63.0
0.9003 0.43612 61.0
0.9007 0.42886 59.0
0.9028 0.4196 57.0
0.9023 0.41174 55.0
0.9025 0.40188 53.0
0.9031 0.39437 51.0
0.9027 0.38549 49.0
0.9042 0.37702 47.0
0.9035 0.36764 45.0
0.9028 0.35893 43.0
0.9023 0.34918 41.0
0.9033 0.33993 39.0
0.9018 0.32897 37.0
0.9027 0.31869 35.0
0.9003 0.30913 33.0
0.9021 0.29995 31.0
0.9039 0.2915 29.0
0.9026 0.28077 27.0
0.9037 0.269 25.0
0.9027 0.25896 23.0
0.9015 0.24943 21.0
0.9032 0.23844 19.0
0.9023 0.22737 17.0
0.903 0.21735 15.0
0.9029 0.20544 13.0
0.9028 0.19585 11.0
0.9027 0.18458 9.0
0.9036 0.17079 7.0
0.9027 0.15914 5.0
0.9041 0.14892 3.0
0.9024 0.13742 1.0
