Vin[V] Vout[V] Clip_b
1e+38 0.021745 63.0
0.007878 0.022428 61.0
1e+38 0.02243 59.0
1e+38 0.02212 57.0
1e+38 0.022556 55.0
1e+38 0.021972 53.0
1e+38 0.022157 51.0
1e+38 0.022293 49.0
0.00787 0.022231 47.0
1e+38 0.022385 45.0
1e+38 0.022078 43.0
1e+38 0.021827 41.0
1e+38 0.022103 39.0
0.008355 0.02234 37.0
1e+38 0.022023 35.0
1e+38 0.02221 33.0
1e+38 0.022294 31.0
1e+38 0.022167 29.0
1e+38 0.02235 27.0
1e+38 0.02208 25.0
1e+38 0.021991 23.0
1e+38 0.022298 21.0
1e+38 0.022108 19.0
1e+38 0.021727 17.0
0.008781 0.022118 15.0
1e+38 0.02203 13.0
1e+38 0.02227 11.0
0.008546 0.021749 9.0
1e+38 0.021498 7.0
1e+38 0.020542 5.0
1e+38 0.019116 3.0
1e+38 0.015485 1.0
0.00867 0.044826 63.0
0.00929 0.044691 61.0
0.00808 0.045027 59.0
0.0091 0.044843 57.0
0.00932 0.044648 55.0
0.00939 0.044431 53.0
1e+38 0.044681 51.0
0.00915 0.044735 49.0
0.01014 0.044834 47.0
1e+38 0.044821 45.0
0.00915 0.044718 43.0
0.00907 0.045046 41.0
0.00957 0.045098 39.0
0.00958 0.044813 37.0
0.00879 0.044633 35.0
0.0097 0.045086 33.0
0.0091 0.044616 31.0
0.01022 0.044925 29.0
0.00981 0.045324 27.0
0.00933 0.044521 25.0
0.01012 0.044458 23.0
0.00959 0.043987 21.0
0.00962 0.043958 19.0
0.01072 0.043383 17.0
1e+38 0.042879 15.0
0.00974 0.041878 13.0
1e+38 0.040335 11.0
0.00877 0.038472 9.0
0.00986 0.036384 7.0
0.00936 0.033245 5.0
0.01062 0.029711 3.0
0.0101 0.024344 1.0
1e+38 0.088262 63.0
1e+38 0.088372 61.0
1e+38 0.088495 59.0
1e+38 0.088419 57.0
1e+38 0.08823 55.0
1e+38 0.088218 53.0
1e+38 0.08797 51.0
1e+38 0.087676 49.0
1e+38 0.087337 47.0
1e+38 0.086823 45.0
1e+38 0.086524 43.0
1e+38 0.085379 41.0
1e+38 0.084579 39.0
1e+38 0.083574 37.0
1e+38 0.082262 35.0
1e+38 0.080356 33.0
1e+38 0.078641 31.0
1e+38 0.076755 29.0
1e+38 0.07474 27.0
1e+38 0.072693 25.0
1e+38 0.070124 23.0
1e+38 0.067672 21.0
1e+38 0.065295 19.0
1e+38 0.062352 17.0
1e+38 0.059505 15.0
1e+38 0.056949 13.0
1e+38 0.053885 11.0
1e+38 0.050884 9.0
1e+38 0.047096 7.0
1e+38 0.043474 5.0
1e+38 0.039943 3.0
1e+38 0.035379 1.0
1e+38 0.12372 63.0
1e+38 0.12281 61.0
1e+38 0.12131 59.0
1e+38 0.11977 57.0
1e+38 0.11803 55.0
1e+38 0.11604 53.0
1e+38 0.11406 51.0
1e+38 0.11173 49.0
1e+38 0.10964 47.0
1e+38 0.10713 45.0
1e+38 0.105 43.0
1e+38 0.10322 41.0
1e+38 0.10054 39.0
1e+38 0.09816 37.0
1e+38 0.09548 35.0
1e+38 0.0933 33.0
1e+38 0.0902 31.0
1e+38 0.08812 29.0
1e+38 0.08541 27.0
1e+38 0.08276 25.0
1e+38 0.07992 23.0
1e+38 0.07693 21.0
1e+38 0.07427 19.0
1e+38 0.07144 17.0
1e+38 0.06813 15.0
1e+38 0.06521 13.0
1e+38 0.06178 11.0
1e+38 0.05902 9.0
1e+38 0.05524 7.0
1e+38 0.05168 5.0
1e+38 0.048 3.0
1e+38 0.04442 1.0
1e+38 0.13443 63.0
1e+38 0.13186 61.0
1e+38 0.13017 59.0
1e+38 0.12786 57.0
1e+38 0.12557 55.0
1e+38 0.12248 53.0
1e+38 0.12033 51.0
1e+38 0.1182 49.0
1e+38 0.1154 47.0
1e+38 0.11331 45.0
1e+38 0.11034 43.0
1e+38 0.10765 41.0
1e+38 0.10526 39.0
1e+38 0.10235 37.0
1e+38 0.10035 35.0
1e+38 0.09741 33.0
1e+38 0.0944 31.0
1e+38 0.09206 29.0
1e+38 0.08923 27.0
1e+38 0.0864 25.0
1e+38 0.08344 23.0
1e+38 0.08073 21.0
1e+38 0.07764 19.0
1e+38 0.07476 17.0
1e+38 0.07159 15.0
1e+38 0.06799 13.0
1e+38 0.06515 11.0
1e+38 0.06232 9.0
1e+38 0.05814 7.0
1e+38 0.05502 5.0
1e+38 0.05168 3.0
1e+38 0.04908 1.0
1e+38 0.13485 63.0
1e+38 0.13314 61.0
1e+38 0.13069 59.0
1e+38 0.1285 57.0
1e+38 0.126 55.0
1e+38 0.12442 53.0
1e+38 0.12076 51.0
1e+38 0.11872 49.0
1e+38 0.11577 47.0
1e+38 0.11294 45.0
1e+38 0.11082 43.0
1e+38 0.10777 41.0
1e+38 0.10488 39.0
1e+38 0.10256 37.0
1e+38 0.10063 35.0
1e+38 0.09731 33.0
1e+38 0.09434 31.0
1e+38 0.09248 29.0
1e+38 0.08979 27.0
1e+38 0.08724 25.0
1e+38 0.08397 23.0
1e+38 0.08015 21.0
1e+38 0.07837 19.0
1e+38 0.07513 17.0
1e+38 0.07149 15.0
1e+38 0.06853 13.0
1e+38 0.06595 11.0
1e+38 0.06158 9.0
1e+38 0.05781 7.0
1e+38 0.05396 5.0
1e+38 0.05055 3.0
1e+38 0.04937 1.0
1e+38 0.13499 63.0
1e+38 0.13308 61.0
1e+38 0.13051 59.0
1e+38 0.12838 57.0
1e+38 0.12577 55.0
1e+38 0.12363 53.0
1e+38 0.1207 51.0
1e+38 0.11848 49.0
1e+38 0.1156 47.0
1e+38 0.11331 45.0
1e+38 0.11048 43.0
1e+38 0.10822 41.0
1e+38 0.10494 39.0
1e+38 0.1026 37.0
1e+38 0.10036 35.0
1e+38 0.09773 33.0
1e+38 0.09406 31.0
1e+38 0.09192 29.0
1e+38 0.0893 27.0
1e+38 0.08646 25.0
1e+38 0.08321 23.0
1e+38 0.08048 21.0
1e+38 0.07706 19.0
1e+38 0.07401 17.0
1e+38 0.07082 15.0
1e+38 0.06805 13.0
1e+38 0.06478 11.0
1e+38 0.06116 9.0
1e+38 0.05672 7.0
1e+38 0.05319 5.0
1e+38 0.049 3.0
1e+38 0.05024 1.0
1e+38 0.13622 63.0
1e+38 0.13404 61.0
1e+38 0.13118 59.0
1e+38 0.12903 57.0
1e+38 0.12692 55.0
1e+38 0.12361 53.0
1e+38 0.12181 51.0
1e+38 0.11918 49.0
1e+38 0.11621 47.0
1e+38 0.11337 45.0
1e+38 0.11125 43.0
1e+38 0.10893 41.0
1e+38 0.10629 39.0
1e+38 0.1034 37.0
1e+38 0.10062 35.0
1e+38 0.09831 33.0
1e+38 0.09497 31.0
1e+38 0.09219 29.0
1e+38 0.08937 27.0
1e+38 0.08674 25.0
1e+38 0.08357 23.0
1e+38 0.08093 21.0
1e+38 0.07804 19.0
1e+38 0.07507 17.0
