Vin[V] Vout[V] Clip_b
0.008572 0.021492 63.0
1e+38 0.02114 61.0
1e+38 0.021649 59.0
1e+38 0.021136 57.0
1e+38 0.021476 55.0
0.008778 0.021526 53.0
1e+38 0.021034 51.0
1e+38 0.021206 49.0
0.008 0.020991 47.0
1e+38 0.021209 45.0
1e+38 0.021749 43.0
1e+38 0.021757 41.0
1e+38 0.021547 39.0
1e+38 0.021216 37.0
1e+38 0.021433 35.0
0.008062 0.021304 33.0
1e+38 0.021388 31.0
1e+38 0.0212 29.0
1e+38 0.021368 27.0
1e+38 0.021141 25.0
1e+38 0.020679 23.0
1e+38 0.020983 21.0
1e+38 0.021018 19.0
1e+38 0.020569 17.0
1e+38 0.020688 15.0
1e+38 0.019826 13.0
1e+38 0.019104 11.0
1e+38 0.017956 9.0
1e+38 0.016505 7.0
1e+38 0.014757 5.0
1e+38 0.012355 3.0
1e+38 0.009495 1.0
0.00984 0.042943 63.0
0.01004 0.042414 61.0
0.00958 0.042559 59.0
0.0094 0.043106 57.0
0.00999 0.04296 55.0
0.00894 0.042345 53.0
0.00989 0.042988 51.0
0.00971 0.0426 49.0
0.00982 0.042524 47.0
0.01019 0.042284 45.0
0.00912 0.042303 43.0
0.00882 0.042031 41.0
0.01058 0.041972 39.0
0.00958 0.041544 37.0
0.00985 0.040713 35.0
0.00994 0.040163 33.0
0.00982 0.039438 31.0
0.0101 0.038667 29.0
0.01105 0.037811 27.0
1e+38 0.036579 25.0
0.00917 0.035504 23.0
0.01027 0.033762 21.0
0.01182 0.032231 19.0
0.00928 0.030967 17.0
0.00946 0.029158 15.0
0.00867 0.027757 13.0
0.00964 0.025825 11.0
0.01036 0.024107 9.0
1e+38 0.02182 7.0
0.00975 0.019792 5.0
0.00859 0.017302 3.0
0.00935 0.015074 1.0
1e+38 0.069839 63.0
1e+38 0.068937 61.0
1e+38 0.067786 59.0
1e+38 0.06646 57.0
1e+38 0.065292 55.0
1e+38 0.064209 53.0
1e+38 0.062826 51.0
1e+38 0.061896 49.0
1e+38 0.060322 47.0
1e+38 0.059173 45.0
1e+38 0.057534 43.0
1e+38 0.056435 41.0
1e+38 0.054893 39.0
1e+38 0.053374 37.0
1e+38 0.051965 35.0
1e+38 0.050294 33.0
1e+38 0.049211 31.0
1e+38 0.047312 29.0
1e+38 0.045803 27.0
1e+38 0.044459 25.0
1e+38 0.042393 23.0
1e+38 0.04076 21.0
1e+38 0.039344 19.0
1e+38 0.037314 17.0
1e+38 0.035678 15.0
1e+38 0.033699 13.0
1e+38 0.031913 11.0
1e+38 0.03006 9.0
1e+38 0.0279 7.0
1e+38 0.025937 5.0
1e+38 0.023827 3.0
1e+38 0.022224 1.0
1e+38 0.074294 63.0
1e+38 0.072873 61.0
1e+38 0.071716 59.0
1e+38 0.070378 57.0
1e+38 0.069151 55.0
1e+38 0.067931 53.0
1e+38 0.066507 51.0
1e+38 0.065311 49.0
1e+38 0.0639 47.0
1e+38 0.062494 45.0
1e+38 0.06114 43.0
1e+38 0.059598 41.0
1e+38 0.0581 39.0
1e+38 0.056686 37.0
1e+38 0.055176 35.0
1e+38 0.053555 33.0
1e+38 0.052135 31.0
1e+38 0.050486 29.0
1e+38 0.048443 27.0
1e+38 0.047415 25.0
1e+38 0.04556 23.0
1e+38 0.044054 21.0
1e+38 0.042098 19.0
1e+38 0.040131 17.0
1e+38 0.038308 15.0
1e+38 0.03659 13.0
1e+38 0.034602 11.0
1e+38 0.032876 9.0
1e+38 0.030666 7.0
1e+38 0.028951 5.0
1e+38 0.026244 3.0
1e+38 0.024992 1.0
1e+38 0.07545 63.0
1e+38 0.07419 61.0
1e+38 0.07275 59.0
1e+38 0.07147 57.0
1e+38 0.0701 55.0
1e+38 0.06877 53.0
1e+38 0.06754 51.0
1e+38 0.0659 49.0
