Vin[V] Vout[V] Clip_b
1e+38 0.032286 63.0
0.008522 0.031763 61.0
0.008642 0.032264 59.0
0.008966 0.031784 57.0
1e+38 0.032353 55.0
1e+38 0.032749 53.0
1e+38 0.032485 51.0
1e+38 0.032029 49.0
1e+38 0.031782 47.0
0.008826 0.032175 45.0
0.008608 0.032283 43.0
1e+38 0.032495 41.0
1e+38 0.032367 39.0
1e+38 0.031897 37.0
1e+38 0.032363 35.0
1e+38 0.032185 33.0
1e+38 0.031052 31.0
1e+38 0.031944 29.0
0.008969 0.031763 27.0
1e+38 0.031037 25.0
0.008845 0.030888 23.0
1e+38 0.030231 21.0
1e+38 0.029502 19.0
1e+38 0.0288 17.0
1e+38 0.027714 15.0
1e+38 0.026049 13.0
0.008226 0.024779 11.0
0.008605 0.023072 9.0
1e+38 0.021261 7.0
1e+38 0.019348 5.0
1e+38 0.016973 3.0
1e+38 0.013823 1.0
0.0097 0.062083 63.0
0.00997 0.06143 61.0
0.00972 0.061496 59.0
0.00974 0.06076 57.0
0.00921 0.060058 55.0
0.00997 0.059458 53.0
0.00988 0.058439 51.0
0.0104 0.057947 49.0
0.00898 0.056728 47.0
0.01053 0.056089 45.0
0.01024 0.054711 43.0
0.00966 0.053586 41.0
0.00877 0.052519 39.0
1e+38 0.051139 37.0
0.00969 0.049747 35.0
0.00916 0.048342 33.0
1e+38 0.046814 31.0
0.00984 0.045743 29.0
0.00981 0.044335 27.0
0.01098 0.0426 25.0
0.00924 0.041374 23.0
0.00885 0.039108 21.0
0.01036 0.037867 19.0
0.00998 0.036446 17.0
0.00973 0.035023 15.0
0.00917 0.033229 13.0
0.00964 0.031329 11.0
0.00898 0.029167 9.0
0.00948 0.027389 7.0
1e+38 0.025846 5.0
0.00889 0.02333 3.0
0.00918 0.021108 1.0
1e+38 0.07638 63.0
1e+38 0.07523 61.0
1e+38 0.07392 59.0
1e+38 0.07284 57.0
1e+38 0.07141 55.0
1e+38 0.07017 53.0
1e+38 0.06839 51.0
1e+38 0.06719 49.0
1e+38 0.06586 47.0
1e+38 0.0647 45.0
1e+38 0.06335 43.0
1e+38 0.06171 41.0
1e+38 0.06048 39.0
1e+38 0.05911 37.0
1e+38 0.05754 35.0
0.01483 0.0562 33.0
0.01443 0.05447 31.0
1e+38 0.05292 29.0
1e+38 0.05165 27.0
1e+38 0.05002 25.0
1e+38 0.0482 23.0
1e+38 0.04658 21.0
1e+38 0.04507 19.0
1e+38 0.04329 17.0
1e+38 0.04152 15.0
1e+38 0.03951 13.0
1e+38 0.03791 11.0
1e+38 0.03586 9.0
