Vin[V] Vout[V] Clip_b
0.009255 0.033021 63.0
0.010033 0.03328 61.0
0.008211 0.033292 59.0
1e+38 0.033228 57.0
0.008713 0.033673 55.0
0.008982 0.033103 53.0
1e+38 0.033109 51.0
1e+38 0.032577 49.0
0.009012 0.033228 47.0
1e+38 0.033392 45.0
0.008833 0.033573 43.0
0.008335 0.033416 41.0
0.008482 0.033322 39.0
1e+38 0.033461 37.0
1e+38 0.033183 35.0
0.008616 0.03293 33.0
1e+38 0.033447 31.0
1e+38 0.033061 29.0
1e+38 0.033084 27.0
0.00896 0.032506 25.0
0.008915 0.0328 23.0
1e+38 0.032195 21.0
1e+38 0.031776 19.0
1e+38 0.030818 17.0
1e+38 0.030352 15.0
1e+38 0.029236 13.0
1e+38 0.027696 11.0
1e+38 0.026641 9.0
0.009227 0.024952 7.0
0.009245 0.022287 5.0
1e+38 0.020016 3.0
0.008933 0.016919 1.0
0.01049 0.0647 63.0
0.01034 0.064634 61.0
0.00974 0.064545 59.0
0.0097 0.06396 57.0
0.01034 0.063373 55.0
0.00953 0.062673 53.0
0.01023 0.062165 51.0
0.01098 0.061078 49.0
0.0104 0.060473 47.0
0.01082 0.05963 45.0
0.01161 0.05868 43.0
0.01124 0.057654 41.0
0.0114 0.056738 39.0
0.01001 0.055447 37.0
0.0107 0.053748 35.0
0.0096 0.052689 33.0
0.0107 0.051435 31.0
0.01029 0.050024 29.0
0.01076 0.048566 27.0
0.01117 0.046839 25.0
0.01001 0.045449 23.0
0.01157 0.044042 21.0
0.01001 0.04189 19.0
0.00944 0.040635 17.0
0.01058 0.038899 15.0
0.01028 0.03745 13.0
0.01036 0.035372 11.0
0.01126 0.033274 9.0
0.0103 0.031314 7.0
0.01028 0.028925 5.0
0.01132 0.026395 3.0
0.00932 0.02409 1.0
0.016 0.08114 63.0
0.01573 0.08076 61.0
0.01635 0.0792 59.0
0.01724 0.07769 57.0
1e+38 0.07656 55.0
0.01605 0.07549 53.0
0.01595 0.07389 51.0
0.01777 0.07237 49.0
1e+38 0.07116 47.0
0.01719 0.06983 45.0
0.01618 0.06859 43.0
0.01646 0.06693 41.0
0.01611 0.06563 39.0
0.01632 0.06399 37.0
0.01559 0.06243 35.0
0.01704 0.06095 33.0
0.0166 0.05942 31.0
0.01539 0.0578 29.0
0.01752 0.05605 27.0
0.01639 0.05461 25.0
0.01676 0.05271 23.0
0.01703 0.05112 21.0
0.01816 0.04934 19.0
0.01628 0.04749 17.0
0.01732 0.04617 15.0
1e+38 0.04428 13.0
0.01638 0.04206 11.0
0.01722 0.04021 9.0
0.01616 0.03773 7.0
0.01645 0.03554 5.0
0.0166 0.03305 3.0
1e+38 0.03128 1.0
0.02265 0.08177 63.0
0.02252 0.0809 61.0
0.02288 0.07951 59.0
0.02317 0.0782 57.0
0.02379 0.07679 55.0
0.02146 0.0757 53.0
0.02278 0.07415 51.0
0.02244 0.07297 49.0
0.02187 0.07157 47.0
0.02147 0.07026 45.0
1e+38 0.06884 43.0
1e+38 0.0673 41.0
0.02214 0.06574 39.0
0.02237 0.06436 37.0
0.02351 0.06268 35.0
1e+38 0.06138 33.0
1e+38 0.05938 31.0
0.02332 0.058 29.0
0.02269 0.05623 27.0
0.02306 0.05462 25.0
0.02317 0.05301 23.0
0.02272 0.05125 21.0
1e+38 0.04928 19.0
0.02141 0.04798 17.0
0.02235 0.04609 15.0
0.02313 0.04447 13.0
0.02336 0.04251 11.0
0.02281 0.04028 9.0
0.0224 0.03801 7.0
0.02384 0.03552 5.0
0.02353 0.03278 3.0
0.02237 0.02929 1.0
1e+38 0.08208 63.0
0.02855 1e+38 61.0
1e+38 1e+38 59.0
0.02844 0.07839 57.0
0.02867 1e+38 55.0
0.02744 0.07577 53.0
1e+38 0.07468 51.0
0.02985 1e+38 49.0
0.02842 0.07179 47.0
1e+38 0.07008 45.0
0.02818 0.06936 43.0
0.02885 0.06786 41.0
0.02902 0.06603 39.0
0.02797 0.06462 37.0
0.02797 0.06307 35.0
0.02768 0.06147 33.0
0.02896 0.05996 31.0
0.02988 0.05815 29.0
0.02941 0.05659 27.0
1e+38 0.05479 25.0
0.02929 0.05326 23.0
0.02741 0.05125 21.0
0.02869 0.04979 19.0
1e+38 0.04781 17.0
0.02839 0.04653 15.0
0.02774 0.04406 13.0
0.02906 0.04219 11.0
1e+38 0.04022 9.0
0.02907 0.0377 7.0
0.0276 0.03539 5.0
0.02871 0.03244 3.0
0.02952 0.02929 1.0
1e+38 1e+38 63.0
0.03348 1e+38 61.0
1e+38 1e+38 59.0
0.03402 1e+38 57.0
1e+38 1e+38 55.0
1e+38 1e+38 53.0
1e+38 1e+38 51.0
0.033 1e+38 49.0
1e+38 1e+38 47.0
0.03325 1e+38 45.0
1e+38 1e+38 43.0
0.03297 1e+38 41.0
1e+38 1e+38 39.0
1e+38 1e+38 37.0
1e+38 0.06498 35.0
0.03343 0.06367 33.0
0.03416 0.06243 31.0
1e+38 0.06085 29.0
0.03324 0.05833 27.0
1e+38 0.05609 25.0
0.03279 0.05368 23.0
0.03378 0.05151 21.0
1e+38 0.04959 19.0
1e+38 0.04782 17.0
1e+38 0.04627 15.0
1e+38 0.04438 13.0
1e+38 0.04216 11.0
1e+38 0.04004 9.0
1e+38 0.03738 7.0
1e+38 0.03506 5.0
1e+38 0.03241 3.0
1e+38 0.03016 1.0
1e+38 1e+38 63.0
1e+38 1e+38 61.0
1e+38 1e+38 59.0
1e+38 1e+38 57.0
1e+38 1e+38 55.0
1e+38 1e+38 53.0
1e+38 1e+38 51.0
1e+38 1e+38 49.0
1e+38 1e+38 47.0
0.0366 1e+38 45.0
1e+38 1e+38 43.0
1e+38 1e+38 41.0
1e+38 1e+38 39.0
1e+38 1e+38 37.0
1e+38 0.06573 35.0
1e+38 0.06461 33.0
0.0372 0.06292 31.0
1e+38 0.06131 29.0
1e+38 0.05866 27.0
1e+38 0.05614 25.0
1e+38 0.05359 23.0
1e+38 0.0514 21.0
1e+38 0.04985 19.0
1e+38 0.04755 17.0
1e+38 0.04639 15.0
1e+38 0.04438 13.0
1e+38 0.0422 11.0
1e+38 0.04006 9.0
1e+38 0.03741 7.0
1e+38 0.03465 5.0
0.0371 0.03186 3.0
1e+38 0.02976 1.0
