Vin[V] Vout[V] Clip_b
0.045195 0.034023 63.0
0.047251 0.034529 61.0
0.044713 0.033502 59.0
0.046535 0.034026 57.0
0.045735 0.033796 55.0
0.048184 0.034898 53.0
0.047356 0.034226 51.0
0.044804 0.033806 49.0
0.04676 0.034314 47.0
0.046733 0.034314 45.0
0.046444 0.033735 43.0
0.046572 0.033896 41.0
0.047305 0.034335 39.0
0.044751 0.0347 37.0
0.047113 0.03389 35.0
0.046777 0.034149 33.0
0.046206 0.034141 31.0
0.046417 0.034059 29.0
0.046777 0.032994 27.0
0.045382 0.033651 25.0
0.045198 0.033413 23.0
0.047439 0.034067 21.0
0.044565 0.033058 19.0
0.046989 0.033451 17.0
0.047587 0.033172 15.0
0.047115 0.033704 13.0
0.046591 0.033279 11.0
0.045898 0.033303 9.0
0.048001 0.032851 7.0
0.046803 0.03233 5.0
0.047194 0.031424 3.0
0.045667 0.023073 1.0
0.09333 0.068812 63.0
0.09313 0.069285 61.0
0.09078 0.069077 59.0
0.0928 0.068652 57.0
0.09422 0.069337 55.0
0.09243 0.069139 53.0
0.09222 0.068771 51.0
0.09284 0.069132 49.0
0.09189 0.068547 47.0
0.0917 0.069098 45.0
0.09058 0.069052 43.0
0.09228 0.068154 41.0
0.09231 0.068669 39.0
0.09094 0.068223 37.0
0.09222 0.068404 35.0
0.09225 0.0687 33.0
0.0924 0.068384 31.0
0.09253 0.068722 29.0
0.09263 0.06862 27.0
0.09425 0.068457 25.0
0.09287 0.068279 23.0
0.09214 0.06765 21.0
0.09238 0.067746 19.0
0.09297 0.067802 17.0
0.09328 0.067589 15.0
0.09153 0.067083 13.0
0.093 0.067321 11.0
0.0925 0.066343 9.0
0.09309 0.065499 7.0
0.09378 0.063171 5.0
0.09262 0.058564 3.0
0.09194 0.044112 1.0
0.1826 0.13868 63.0
0.18262 0.13794 61.0
0.18261 0.13874 59.0
0.18222 0.1381 57.0
0.18278 0.1381 55.0
0.1842 0.1384 53.0
0.18225 0.13759 51.0
0.18339 0.13714 49.0
0.18266 0.13795 47.0
0.18372 0.13811 45.0
0.18227 0.13739 43.0
0.18172 0.1376 41.0
0.18219 0.13709 39.0
0.18416 0.13727 37.0
0.18208 0.13698 35.0
0.1829 0.13658 33.0
0.18186 0.13678 31.0
0.18224 0.13584 29.0
0.18352 0.13598 27.0
0.18109 0.13578 25.0
0.18415 0.13584 23.0
0.18229 0.13499 21.0
0.18392 0.13443 19.0
0.18201 0.13262 17.0
0.18236 0.13101 15.0
0.18318 0.12789 13.0
0.18271 0.12286 11.0
0.18376 0.11614 9.0
0.18292 0.10679 7.0
0.18467 0.09647 5.0
0.18381 0.08548 3.0
0.18187 0.06781 1.0
0.27675 0.20678 63.0
0.27629 0.2058 61.0
0.27626 0.20615 59.0
0.27675 0.20581 57.0
0.27533 0.2064 55.0
0.27522 0.20477 53.0
0.27785 0.20519 51.0
0.27694 0.20412 49.0
0.2764 0.20446 47.0
0.27655 0.20477 45.0
0.27585 0.20398 43.0
0.27693 0.20379 41.0
0.27695 0.20349 39.0
0.2749 0.20288 37.0
0.27647 0.20256 35.0
0.27654 0.20165 33.0
0.27582 0.20102 31.0
0.27539 0.20029 29.0
0.27631 0.19846 27.0
0.27696 0.19553 25.0
0.27779 0.19121 23.0
0.27512 0.18654 21.0
0.27516 0.17994 19.0
0.27527 0.17233 17.0
0.27805 0.1643 15.0
0.27574 0.1542 13.0
0.27616 0.14483 11.0
0.27624 0.13469 9.0
0.27627 0.12348 7.0
0.27748 0.11216 5.0
0.27702 0.10024 3.0
0.27683 0.08438 1.0
0.3681 0.27302 63.0
0.36895 0.27243 61.0
0.36973 0.27196 59.0
0.37065 0.2721 57.0
0.36974 0.27133 55.0
0.36858 0.27129 53.0
0.37095 0.27049 51.0
0.36987 0.2701 49.0
0.36963 0.2689 47.0
0.37038 0.269 45.0
0.37029 0.26771 43.0
0.37005 0.26627 41.0
0.36925 0.2646 39.0
0.37157 0.26291 37.0
0.37047 0.25934 35.0
0.37039 0.25483 33.0
0.3695 0.24984 31.0
0.37099 0.24197 29.0
0.36984 0.23519 27.0
0.37078 0.22699 25.0
0.37089 0.21805 23.0
0.36995 0.20833 21.0
0.37076 0.19971 19.0
0.36871 0.19006 17.0
0.37031 0.18047 15.0
0.36967 0.16997 13.0
0.36988 0.16007 11.0
0.36819 0.1495 9.0
0.3684 0.13756 7.0
0.3704 0.12623 5.0
0.37027 0.11359 3.0
0.37041 0.09939 1.0
0.45867 0.33383 63.0
0.46034 0.33276 61.0
0.46102 0.33158 59.0
0.46031 0.33163 57.0
0.45879 0.33075 55.0
0.45905 0.32927 53.0
0.4578 0.32767 51.0
0.46086 0.32552 49.0
0.4573 0.32287 47.0
0.46041 0.31911 45.0
0.45864 0.31491 43.0
0.45973 0.30838 41.0
0.45825 0.30143 39.0
0.45826 0.2937 37.0
0.45841 0.28606 35.0
0.4575 0.2777 33.0
0.46001 0.26957 31.0
0.46051 0.26024 29.0
0.45941 0.25225 27.0
0.45858 0.24229 25.0
0.45929 0.23278 23.0
0.45968 0.22342 21.0
0.4593 0.21287 19.0
0.4602 0.20377 17.0
0.45952 0.19385 15.0
0.45958 0.18271 13.0
0.45821 0.17274 11.0
0.46136 0.16125 9.0
0.46019 0.14956 7.0
0.45888 0.13741 5.0
0.46024 0.12571 3.0
0.45862 0.11064 1.0
0.5505 0.38721 63.0
0.5516 0.38568 61.0
0.5504 0.38239 59.0
0.5513 0.37975 57.0
0.5505 0.3753 55.0
0.5498 0.37043 53.0
0.5503 0.36504 51.0
0.5517 0.35746 49.0
