Vin[V] Vout[V] Clip_b
1e+38 0.026058 63.0
0.008515 0.025984 61.0
1e+38 0.025623 59.0
1e+38 0.025209 57.0
0.008717 0.025409 55.0
1e+38 0.025984 53.0
0.009556 0.025749 51.0
1e+38 0.025699 49.0
0.008643 0.026026 47.0
1e+38 0.025337 45.0
0.008339 0.025877 43.0
1e+38 0.025486 41.0
0.00908 0.02584 39.0
0.009233 0.026111 37.0
1e+38 0.025721 35.0
0.00882 0.025695 33.0
1e+38 0.025994 31.0
0.008322 0.025844 29.0
0.008517 0.026115 27.0
1e+38 0.026094 25.0
0.008374 0.025593 23.0
1e+38 0.025707 21.0
1e+38 0.025757 19.0
1e+38 0.026059 17.0
1e+38 0.025781 15.0
1e+38 0.026031 13.0
0.008873 0.025531 11.0
0.008134 0.025444 9.0
1e+38 0.025141 7.0
0.009429 0.024826 5.0
1e+38 0.024091 3.0
0.00881 0.020078 1.0
0.00935 0.051639 63.0
0.01018 0.051813 61.0
0.01004 0.051842 59.0
0.0107 0.051912 57.0
0.01061 0.0518 55.0
0.00959 0.052445 53.0
0.00958 0.052152 51.0
0.01113 0.052112 49.0
0.01094 0.051641 47.0
0.01129 0.052308 45.0
0.01126 0.051452 43.0
0.01044 0.051593 41.0
0.01094 0.052168 39.0
0.01108 0.052096 37.0
0.00994 0.051972 35.0
0.01029 0.051827 33.0
0.01094 0.051762 31.0
0.01063 0.051897 29.0
0.00981 0.051786 27.0
0.01043 0.051846 25.0
0.01169 0.051917 23.0
0.00993 0.051513 21.0
0.00933 0.051008 19.0
0.01046 0.050664 17.0
0.01074 0.050222 15.0
0.01071 0.049419 13.0
0.01127 0.048221 11.0
0.00951 0.046748 9.0
0.00997 0.044081 7.0
0.01114 0.041105 5.0
0.01008 0.03708 3.0
0.01093 0.031039 1.0
0.01603 0.10326 63.0
0.01668 0.10272 61.0
0.01703 0.10315 59.0
0.01617 0.10316 57.0
0.0166 0.10279 55.0
1e+38 0.10259 53.0
0.01624 0.10268 51.0
0.01651 0.10176 49.0
0.01527 0.10146 47.0
0.01642 0.1012 45.0
0.01557 0.09994 43.0
0.01608 0.09903 41.0
1e+38 0.09821 39.0
0.01673 0.09656 37.0
0.01512 0.09507 35.0
0.01587 0.09294 33.0
0.01749 0.09112 31.0
0.01727 0.08896 29.0
0.01782 0.0869 27.0
0.01638 0.08442 25.0
0.01633 0.08166 23.0
0.01745 0.07927 21.0
0.01625 0.07655 19.0
0.01757 0.07339 17.0
0.0157 0.0711 15.0
0.01591 0.06799 13.0
0.0178 0.06453 11.0
0.01607 0.06129 9.0
0.01586 0.0571 7.0
1e+38 0.05389 5.0
0.01545 0.04947 3.0
0.01677 0.04452 1.0
0.02344 1e+38 63.0
0.02197 1e+38 61.0
0.02291 1e+38 59.0
0.02377 1e+38 57.0
0.02254 0.13134 55.0
1e+38 0.1293 53.0
0.02151 0.12678 51.0
1e+38 0.12448 49.0
0.02255 0.12247 47.0
0.02215 0.12009 45.0
0.02231 0.11758 43.0
1e+38 0.11531 41.0
0.02365 0.11269 39.0
0.02316 0.11005 37.0
0.02251 0.10784 35.0
1e+38 0.10486 33.0
0.02166 0.1019 31.0
0.02286 0.09935 29.0
0.0227 0.09631 27.0
0.02184 0.09409 25.0
0.02239 0.09076 23.0
0.0229 0.0879 21.0
1e+38 0.08506 19.0
0.02202 0.08163 17.0
0.02282 0.07903 15.0
0.02153 0.07619 13.0
1e+38 0.07273 11.0
0.0225 0.0692 9.0
0.02235 0.06528 7.0
0.02294 0.06166 5.0
0.02454 0.0576 3.0
0.02142 0.0531 1.0
0.02776 0.14454 63.0
0.02867 0.14305 61.0
1e+38 0.14022 59.0
1e+38 0.13803 57.0
0.0281 0.13564 55.0
0.02894 0.1332 53.0
0.02836 0.13112 51.0
0.02887 0.12795 49.0
1e+38 0.12643 47.0
0.02842 0.12396 45.0
0.02847 0.12097 43.0
0.02885 0.11787 41.0
1e+38 0.11486 39.0
1e+38 0.11311 37.0
0.02729 0.10977 35.0
0.0281 0.10758 33.0
0.02873 0.10488 31.0
0.02779 0.10205 29.0
0.0276 0.09874 27.0
0.02831 0.09554 25.0
0.0282 0.09226 23.0
0.03023 0.08959 21.0
0.02883 0.08647 19.0
0.02919 0.0837 17.0
0.028 0.08088 15.0
0.02815 0.07745 13.0
0.02893 0.07372 11.0
1e+38 0.07037 9.0
0.02756 0.06689 7.0
0.02846 0.06269 5.0
1e+38 0.05927 3.0
1e+38 0.05718 1.0
1e+38 0.14609 63.0
1e+38 0.14422 61.0
1e+38 0.14228 59.0
1e+38 0.14003 57.0
1e+38 0.13753 55.0
1e+38 0.13449 53.0
1e+38 0.13211 51.0
0.03421 0.12941 49.0
1e+38 0.12714 47.0
1e+38 0.12457 45.0
1e+38 0.12181 43.0
1e+38 0.11905 41.0
0.03421 0.11614 39.0
1e+38 0.1137 37.0
1e+38 0.11104 35.0
1e+38 0.10818 33.0
1e+38 0.10584 31.0
1e+38 0.1029 29.0
1e+38 0.09969 27.0
0.03447 0.09706 25.0
0.03236 0.09348 23.0
1e+38 0.09065 21.0
0.03279 0.08782 19.0
0.03346 0.08447 17.0
1e+38 0.08215 15.0
1e+38 0.07829 13.0
0.03329 0.075 11.0
0.03256 0.07102 9.0
1e+38 0.06697 7.0
1e+38 0.06232 5.0
1e+38 0.0588 3.0
1e+38 0.05726 1.0
1e+38 0.14602 63.0
1e+38 0.14474 61.0
1e+38 0.14218 59.0
1e+38 0.14015 57.0
1e+38 0.13745 55.0
1e+38 0.13462 53.0
1e+38 0.13172 51.0
1e+38 0.12941 49.0
1e+38 0.12741 47.0
1e+38 0.12478 45.0
1e+38 0.12187 43.0
1e+38 0.1194 41.0
1e+38 0.1162 39.0
1e+38 0.11376 37.0
1e+38 0.11099 35.0
1e+38 0.10825 33.0
1e+38 0.10552 31.0
1e+38 0.10303 29.0
1e+38 0.1 27.0
1e+38 0.09676 25.0
1e+38 0.09342 23.0
1e+38 0.09065 21.0
1e+38 0.08756 19.0
1e+38 0.08492 17.0
1e+38 0.08157 15.0
1e+38 0.07798 13.0
0.0369 0.07433 11.0
1e+38 0.07082 9.0
1e+38 0.06657 7.0
1e+38 0.06253 5.0
1e+38 0.05673 3.0
1e+38 0.05538 1.0
1e+38 0.14589 63.0
1e+38 0.14441 61.0
1e+38 0.14177 59.0
1e+38 0.13984 57.0
1e+38 0.13662 55.0
1e+38 0.13391 53.0
1e+38 0.13233 51.0
1e+38 0.1297 49.0
1e+38 0.12714 47.0
1e+38 0.12458 45.0
1e+38 0.12174 43.0
1e+38 0.11883 41.0
1e+38 0.11621 39.0
1e+38 0.11357 37.0
1e+38 0.11119 35.0
1e+38 0.10772 33.0
1e+38 0.10526 31.0
1e+38 0.10206 29.0
1e+38 0.09921 27.0
1e+38 0.09709 25.0
1e+38 0.09328 23.0
1e+38 0.08959 21.0
1e+38 0.08707 19.0
1e+38 0.0837 17.0
1e+38 0.08073 15.0
1e+38 0.07736 13.0
1e+38 0.07358 11.0
1e+38 0.0696 9.0
1e+38 0.06536 7.0
1e+38 0.0609 5.0
1e+38 0.05682 3.0
1e+38 0.05407 1.0
1e+38 0.14698 63.0
1e+38 0.14467 61.0
1e+38 0.14219 59.0
1e+38 0.13996 57.0
1e+38 0.13739 55.0
1e+38 0.13474 53.0
1e+38 0.13205 51.0
1e+38 0.13011 49.0
1e+38 0.12747 47.0
1e+38 0.12483 45.0
1e+38 0.12252 43.0
1e+38 0.11945 41.0
1e+38 0.11689 39.0
1e+38 0.11451 37.0
1e+38 0.11144 35.0
1e+38 0.10888 33.0
1e+38 0.10598 31.0
1e+38 0.10333 29.0
1e+38 0.09948 27.0
1e+38 0.09719 25.0
1e+38 0.09361 23.0
1e+38 0.09103 21.0
1e+38 0.08782 19.0
1e+38 0.08468 17.0
1e+38 0.08144 15.0
1e+38 0.07797 13.0
1e+38 0.07378 11.0
1e+38 0.07076 9.0
1e+38 0.06664 7.0
1e+38 0.0622 5.0
1e+38 0.05734 3.0
1e+38 0.05538 1.0
1e+38 0.14798 63.0
1e+38 0.14508 61.0
1e+38 0.14256 59.0
1e+38 0.14051 57.0
1e+38 0.13773 55.0
1e+38 0.13501 53.0
1e+38 0.13342 51.0
1e+38 0.13013 49.0
1e+38 0.12741 47.0
1e+38 0.12471 45.0
1e+38 0.12195 43.0
1e+38 0.11992 41.0
1e+38 0.11685 39.0
1e+38 0.1146 37.0
1e+38 0.11157 35.0
1e+38 0.109 33.0
1e+38 0.10574 31.0
1e+38 0.10333 29.0
1e+38 0.10038 27.0
1e+38 0.09683 25.0
1e+38 0.09419 23.0
1e+38 0.09103 21.0
1e+38 0.08814 19.0
1e+38 0.08486 17.0
1e+38 0.0817 15.0
1e+38 0.07797 13.0
1e+38 0.07462 11.0
1e+38 0.07082 9.0
1e+38 0.0667 7.0
1e+38 0.06239 5.0
1e+38 0.05672 3.0
1e+38 0.0503 1.0
