Vin[V] Vout[V] Clip_b
0.008612 0.028617 63.0
1e+38 0.028182 61.0
1e+38 0.028644 59.0
1e+38 0.0284 57.0
0.008014 0.028657 55.0
0.009271 0.028537 53.0
1e+38 0.028811 51.0
0.00895 0.028888 49.0
0.009191 0.028732 47.0
1e+38 0.0283 45.0
1e+38 0.028872 43.0
0.008287 0.028606 41.0
1e+38 0.028406 39.0
1e+38 0.028549 37.0
1e+38 0.028556 35.0
1e+38 0.028767 33.0
1e+38 0.028198 31.0
0.008827 0.02897 29.0
1e+38 0.028219 27.0
1e+38 0.028956 25.0
1e+38 0.028268 23.0
1e+38 0.028659 21.0
0.009224 0.028642 19.0
1e+38 0.028618 17.0
1e+38 0.028349 15.0
1e+38 0.028326 13.0
0.008222 0.027569 11.0
1e+38 0.02766 9.0
0.008989 0.027111 7.0
1e+38 0.025042 5.0
1e+38 0.022753 3.0
0.008132 0.018377 1.0
0.01003 0.057665 63.0
0.01065 0.057443 61.0
0.0112 0.057675 59.0
0.00996 0.056959 57.0
0.01105 0.057622 55.0
0.01104 0.057442 53.0
0.00992 0.057467 51.0
0.01046 0.057813 49.0
0.0112 0.057253 47.0
0.01001 0.057832 45.0
0.01261 0.057606 43.0
0.01134 0.05734 41.0
0.01045 0.057392 39.0
0.00973 0.057687 37.0
0.00959 0.057625 35.0
0.00985 0.05743 33.0
0.00981 0.056907 31.0
0.0097 0.057337 29.0
0.00973 0.056639 27.0
0.01207 0.055788 25.0
0.00965 0.055655 23.0
0.01157 0.055055 21.0
0.00979 0.053862 19.0
0.00904 0.052668 17.0
0.00931 0.050974 15.0
0.0108 0.048912 13.0
0.01037 0.046329 11.0
0.01032 0.04361 9.0
0.00895 0.039958 7.0
0.01176 0.036954 5.0
0.01034 0.032605 3.0
0.00941 0.027378 1.0
0.01571 0.11188 63.0
0.01725 0.11196 61.0
0.01624 0.11102 59.0
0.01663 0.11096 57.0
0.01605 0.10965 55.0
0.01668 0.10888 53.0
0.01718 0.10786 51.0
0.01598 0.10644 49.0
1e+38 0.10471 47.0
1e+38 0.10325 45.0
0.01482 0.10123 43.0
1e+38 0.09959 41.0
0.01684 0.09645 39.0
0.01633 0.09436 37.0
0.01657 0.09275 35.0
0.01543 0.09029 33.0
0.01772 0.0878 31.0
0.01641 0.08541 29.0
0.01583 0.0825 27.0
0.01683 0.08004 25.0
0.01649 0.077 23.0
0.01692 0.07404 21.0
0.01715 0.07122 19.0
0.01632 0.06827 17.0
1e+38 0.06593 15.0
0.01709 0.06254 13.0
1e+38 0.05914 11.0
0.01627 0.05631 9.0
0.01611 0.05184 7.0
0.01539 0.04867 5.0
0.01662 0.04486 3.0
0.01553 0.04005 1.0
0.02277 0.13441 63.0
0.02209 0.13344 61.0
0.02474 0.13051 59.0
0.02222 0.12822 57.0
1e+38 0.12592 55.0
0.02231 0.12366 53.0
0.02281 0.12136 51.0
0.02282 0.11898 49.0
0.02262 0.11614 47.0
1e+38 0.11383 45.0
0.02299 0.11138 43.0
0.02292 0.10891 41.0
0.0213 0.10616 39.0
0.02294 0.10346 37.0
0.023 0.10056 35.0
0.02309 0.09807 33.0
0.02307 0.09503 31.0
0.02254 0.09213 29.0
0.02404 0.08923 27.0
0.02119 0.08646 25.0
0.02167 0.08363 23.0
1e+38 0.08073 21.0
0.02159 0.07769 19.0
1e+38 0.07507 17.0
0.02302 0.07217 15.0
0.02318 0.06882 13.0
0.02318 0.06515 11.0
0.02218 0.06214 9.0
0.02213 0.05796 7.0
0.02317 0.05482 5.0
0.02215 0.05123 3.0
0.02273 0.04833 1.0
0.02829 0.13658 63.0
0.02856 0.13417 61.0
0.02844 0.13199 59.0
0.02828 0.12994 57.0
0.02891 0.12689 55.0
0.02746 0.12445 53.0
1e+38 0.12232 51.0
1e+38 0.11935 49.0
0.02774 0.11685 47.0
0.02859 0.11551 45.0
1e+38 0.1121 43.0
0.02897 0.1096 41.0
0.02879 0.1067 39.0
0.02809 0.10404 37.0
0.02922 0.10167 35.0
0.02888 0.0984 33.0
1e+38 0.09509 31.0
0.02992 0.0924 29.0
0.02849 0.09008 27.0
1e+38 0.08708 25.0
1e+38 0.08372 23.0
1e+38 0.08104 21.0
0.02988 0.07805 19.0
0.02886 0.07568 17.0
0.02793 0.07247 15.0
0.02845 0.06857 13.0
1e+38 0.06605 11.0
0.02874 0.062 9.0
1e+38 0.05727 7.0
0.02854 0.05322 5.0
1e+38 0.05007 3.0
0.0287 0.04931 1.0
1e+38 0.13837 63.0
0.03311 0.1359 61.0
1e+38 0.1324 59.0
1e+38 0.13063 57.0
1e+38 0.12799 55.0
1e+38 0.12513 53.0
1e+38 0.1231 51.0
1e+38 0.12033 49.0
1e+38 0.11742 47.0
1e+38 0.11587 45.0
1e+38 0.11222 43.0
1e+38 0.10938 41.0
1e+38 0.10661 39.0
1e+38 0.10381 37.0
1e+38 0.10131 35.0
1e+38 0.09854 33.0
1e+38 0.09573 31.0
0.03423 0.09254 29.0
0.03429 0.09031 27.0
1e+38 0.0873 25.0
1e+38 0.0839 23.0
1e+38 0.08201 21.0
1e+38 0.0787 19.0
1e+38 0.07595 17.0
0.03367 0.07216 15.0
1e+38 0.06891 13.0
0.03462 0.0653 11.0
1e+38 0.06121 9.0
1e+38 0.05794 7.0
1e+38 0.05374 5.0
1e+38 0.04898 3.0
1e+38 0.04901 1.0
1e+38 0.13887 63.0
1e+38 0.13557 61.0
1e+38 0.13327 59.0
0.0369 0.13074 57.0
1e+38 0.12818 55.0
1e+38 0.12579 53.0
1e+38 0.1235 51.0
1e+38 0.12046 49.0
1e+38 0.11776 47.0
1e+38 0.11581 45.0
1e+38 0.11337 43.0
0.0384 0.11041 41.0
0.0378 0.10791 39.0
1e+38 0.10495 37.0
1e+38 0.10192 35.0
0.0357 0.09915 33.0
1e+38 0.09656 31.0
1e+38 0.09342 29.0
1e+38 0.09072 27.0
1e+38 0.08769 25.0
1e+38 0.08485 23.0
1e+38 0.08189 21.0
1e+38 0.07842 19.0
1e+38 0.0752 17.0
1e+38 0.07236 15.0
1e+38 0.06948 13.0
1e+38 0.06572 11.0
1e+38 0.06226 9.0
1e+38 0.05794 7.0
1e+38 0.05376 5.0
0.04 0.04808 3.0
1e+38 0.04908 1.0
1e+38 0.13816 63.0
1e+38 0.1353 61.0
0.0431 0.13239 59.0
1e+38 0.13044 57.0
1e+38 0.12807 55.0
1e+38 0.12482 53.0
1e+38 0.12284 51.0
1e+38 0.12039 49.0
1e+38 0.11775 47.0
1e+38 0.11513 45.0
1e+38 0.11203 43.0
1e+38 0.11005 41.0
1e+38 0.10711 39.0
1e+38 0.10385 37.0
1e+38 0.10178 35.0
1e+38 0.09902 33.0
1e+38 0.09598 31.0
1e+38 0.09335 29.0
1e+38 0.09058 27.0
1e+38 0.08756 25.0
1e+38 0.08376 23.0
1e+38 0.08093 21.0
1e+38 0.07797 19.0
1e+38 0.07507 17.0
1e+38 0.07184 15.0
1e+38 0.069 13.0
1e+38 0.06515 11.0
1e+38 0.0609 9.0
1e+38 0.05678 7.0
1e+38 0.05247 5.0
1e+38 0.047 3.0
1e+38 0.04631 1.0
1e+38 0.13713 63.0
1e+38 0.13539 61.0
1e+38 0.13277 59.0
1e+38 0.1299 57.0
1e+38 0.12812 55.0
1e+38 0.12532 53.0
1e+38 0.12224 51.0
1e+38 0.12032 49.0
1e+38 0.11775 47.0
1e+38 0.11497 45.0
1e+38 0.11196 43.0
1e+38 0.10971 41.0
1e+38 0.10649 39.0
1e+38 0.10352 37.0
1e+38 0.10149 35.0
1e+38 0.09865 33.0
1e+38 0.09545 31.0
1e+38 0.09342 29.0
1e+38 0.0897 27.0
1e+38 0.08711 25.0
1e+38 0.08384 23.0
1e+38 0.08067 21.0
1e+38 0.07835 19.0
1e+38 0.075 17.0
1e+38 0.0723 15.0
1e+38 0.06823 13.0
1e+38 0.06508 11.0
1e+38 0.0609 9.0
1e+38 0.05666 7.0
1e+38 0.05247 5.0
1e+38 0.04718 3.0
1e+38 0.04482 1.0
1e+38 0.13745 63.0
1e+38 0.13685 61.0
1e+38 0.13375 59.0
1e+38 0.13045 57.0
1e+38 0.1278 55.0
1e+38 0.12653 53.0
1e+38 0.12329 51.0
1e+38 0.12046 49.0
1e+38 0.11814 47.0
1e+38 0.11627 45.0
1e+38 0.11269 43.0
1e+38 0.11022 41.0
1e+38 0.10709 39.0
1e+38 0.10481 37.0
1e+38 0.10221 35.0
1e+38 0.09915 33.0
1e+38 0.09631 31.0
1e+38 0.09361 29.0
1e+38 0.09065 27.0
1e+38 0.08801 25.0
1e+38 0.08498 23.0
1e+38 0.08196 21.0
1e+38 0.07858 19.0
1e+38 0.07528 17.0
1e+38 0.07262 15.0
