Vin[V] Vout[V] Clip_b
1e+38 0.028886 63.0
1e+38 0.028902 61.0
1e+38 0.028604 59.0
1e+38 0.028311 57.0
0.008526 0.029506 55.0
1e+38 0.028632 53.0
1e+38 0.028687 51.0
0.00839 0.029069 49.0
1e+38 0.029069 47.0
1e+38 0.02872 45.0
1e+38 0.028707 43.0
1e+38 0.029417 41.0
1e+38 0.028527 39.0
0.008468 0.028837 37.0
0.008519 0.028689 35.0
1e+38 0.028968 33.0
1e+38 0.028687 31.0
0.00768 0.02915 29.0
0.009222 0.029116 27.0
1e+38 0.02878 25.0
1e+38 0.028678 23.0
1e+38 0.029067 21.0
1e+38 0.028893 19.0
1e+38 0.028877 17.0
1e+38 0.028876 15.0
1e+38 0.028942 13.0
1e+38 0.028961 11.0
0.008768 0.029056 9.0
0.007903 0.029021 7.0
0.008541 0.02785 5.0
1e+38 0.026686 3.0
0.007514 0.018781 1.0
0.00874 0.057731 63.0
0.01078 0.058229 61.0
0.00996 0.058409 59.0
0.00958 0.058051 57.0
1e+38 0.058075 55.0
0.00979 0.058358 53.0
0.00921 0.057886 51.0
1e+38 0.058133 49.0
0.00912 0.058358 47.0
0.00956 0.057889 45.0
0.00952 0.058051 43.0
0.00913 0.057616 41.0
0.00965 0.058207 39.0
0.00997 0.058005 37.0
0.00946 0.058007 35.0
0.00889 0.05772 33.0
0.00911 0.058219 31.0
0.00916 0.057497 29.0
0.00919 0.057566 27.0
0.00871 0.056712 25.0
0.00885 0.056596 23.0
0.00912 0.055878 21.0
0.00921 0.055228 19.0
0.00955 0.05417 17.0
0.00951 0.052722 15.0
0.01027 0.051616 13.0
0.01003 0.049994 11.0
0.01074 0.048417 9.0
0.01033 0.045938 7.0
0.00945 0.04364 5.0
0.00906 0.040521 3.0
0.00956 0.032412 1.0
1e+38 0.09823 63.0
1e+38 0.09708 61.0
1e+38 0.09597 59.0
1e+38 0.09473 57.0
1e+38 0.09335 55.0
1e+38 0.09249 53.0
1e+38 0.09065 51.0
1e+38 0.08985 49.0
1e+38 0.08886 47.0
1e+38 0.0873 45.0
1e+38 0.08573 43.0
1e+38 0.08429 41.0
1e+38 0.08304 39.0
1e+38 0.08145 37.0
1e+38 0.08015 35.0
1e+38 0.07867 33.0
1e+38 0.07709 31.0
1e+38 0.07565 29.0
1e+38 0.07428 27.0
1e+38 0.07259 25.0
1e+38 0.07065 23.0
1e+38 0.06868 21.0
1e+38 0.06774 19.0
1e+38 0.06545 17.0
1e+38 0.06383 15.0
1e+38 0.06241 13.0
1e+38 0.0603 11.0
1e+38 0.0579 9.0
1e+38 0.05585 7.0
1e+38 0.05329 5.0
1e+38 0.0502 3.0
1e+38 0.04083 1.0
1e+38 0.10263 63.0
1e+38 0.10126 61.0
1e+38 0.10011 59.0
1e+38 0.09863 57.0
1e+38 0.09754 55.0
1e+38 0.09613 53.0
1e+38 0.09458 51.0
1e+38 0.0935 49.0
1e+38 0.09184 47.0
1e+38 0.0906 45.0
1e+38 0.08932 43.0
1e+38 0.0876 41.0
1e+38 0.08626 39.0
1e+38 0.08485 37.0
1e+38 0.08339 35.0
1e+38 0.08185 33.0
1e+38 0.08006 31.0
1e+38 0.07876 29.0
1e+38 0.07721 27.0
1e+38 0.07535 25.0
1e+38 0.07392 23.0
1e+38 0.07213 21.0
1e+38 0.07044 19.0
1e+38 0.0685 17.0
1e+38 0.06689 15.0
1e+38 0.06476 13.0
1e+38 0.06306 11.0
1e+38 0.06078 9.0
1e+38 0.05825 7.0
1e+38 0.05513 5.0
1e+38 0.05161 3.0
1e+38 0.04613 1.0
1e+38 0.1025 63.0
1e+38 0.10164 61.0
1e+38 0.10056 59.0
1e+38 0.09926 57.0
1e+38 0.09764 55.0
1e+38 0.09611 53.0
1e+38 0.09469 51.0
1e+38 0.09364 49.0
1e+38 0.09209 47.0
1e+38 0.09065 45.0
1e+38 0.08912 43.0
1e+38 0.08779 41.0
1e+38 0.08629 39.0
1e+38 0.08486 37.0
1e+38 0.08348 35.0
1e+38 0.08217 33.0
1e+38 0.08018 31.0
1e+38 0.0788 29.0
1e+38 0.07709 27.0
1e+38 0.07539 25.0
1e+38 0.07374 23.0
1e+38 0.07228 21.0
1e+38 0.07022 19.0
1e+38 0.06854 17.0
1e+38 0.067 15.0
1e+38 0.06482 13.0
1e+38 0.06282 11.0
1e+38 0.06017 9.0
1e+38 0.05795 7.0
1e+38 0.05495 5.0
1e+38 0.05082 3.0
1e+38 0.04397 1.0
1e+38 0.10295 63.0
1e+38 0.10153 61.0
1e+38 0.10047 59.0
1e+38 0.09905 57.0
1e+38 0.09778 55.0
