Vin[V] Vout[V] Clip_b
0.008664 0.026492 63.0
1e+38 0.027907 61.0
1e+38 0.027295 59.0
0.007965 0.026931 57.0
0.008881 0.026928 55.0
0.008521 0.027504 53.0
1e+38 0.027487 51.0
0.008897 0.026904 49.0
1e+38 0.027044 47.0
1e+38 0.027191 45.0
1e+38 0.027192 43.0
1e+38 0.027063 41.0
0.009678 0.027478 39.0
1e+38 0.027123 37.0
0.008629 0.027232 35.0
1e+38 0.027072 33.0
1e+38 0.026879 31.0
1e+38 0.027208 29.0
0.009278 0.026838 27.0
0.00854 0.027884 25.0
1e+38 0.02698 23.0
1e+38 0.027267 21.0
1e+38 0.027227 19.0
1e+38 0.027029 17.0
1e+38 0.026835 15.0
0.009272 0.026753 13.0
1e+38 0.027025 11.0
1e+38 0.026496 9.0
1e+38 0.026914 7.0
1e+38 0.026056 5.0
1e+38 0.025109 3.0
1e+38 0.020879 1.0
0.00967 0.054679 63.0
0.00972 0.055159 61.0
0.01039 0.054375 59.0
0.01154 0.054595 57.0
0.00997 0.054516 55.0
0.01034 0.054588 53.0
0.01141 0.054886 51.0
0.01044 0.054493 49.0
0.01014 0.054711 47.0
0.0099 0.054887 45.0
0.01047 0.054553 43.0
0.01077 0.054905 41.0
0.01099 0.054414 39.0
0.01045 0.054479 37.0
0.01074 0.054629 35.0
0.01022 0.054454 33.0
0.01068 0.054892 31.0
0.01162 0.054661 29.0
0.01117 0.055 27.0
0.01069 0.054551 25.0
0.01018 0.05407 23.0
0.01016 0.054527 21.0
0.00977 0.053863 19.0
0.01029 0.053357 17.0
0.01005 0.052728 15.0
0.01095 0.051481 13.0
0.01047 0.050441 11.0
0.01173 0.048164 9.0
0.01099 0.045412 7.0
0.01091 0.042633 5.0
0.01052 0.038397 3.0
0.01088 0.032352 1.0
0.01623 0.10821 63.0
0.01739 0.10797 61.0
0.01607 0.10825 59.0
0.01719 0.10829 57.0
0.0172 0.10781 55.0
0.01632 0.1076 53.0
0.01647 0.10707 51.0
0.01657 0.10674 49.0
0.01594 0.10578 47.0
0.01692 0.1049 45.0
0.01639 0.10383 43.0
1e+38 0.10261 41.0
0.01638 0.10125 39.0
0.01688 0.09928 37.0
0.01762 0.09746 35.0
0.01619 0.09563 33.0
0.0182 0.09348 31.0
0.01832 0.09118 29.0
0.01669 0.08871 27.0
0.01651 0.08648 25.0
0.01677 0.08357 23.0
0.01676 0.08106 21.0
0.01604 0.07817 19.0
0.01626 0.07524 17.0
0.01623 0.07254 15.0
0.01547 0.06951 13.0
0.01598 0.06618 11.0
0.01565 0.06329 9.0
1e+38 0.05922 7.0
1e+38 0.05545 5.0
0.01609 0.05129 3.0
0.01712 0.04637 1.0
0.02258 1e+38 63.0
0.02275 1e+38 61.0
0.02167 1e+38 59.0
0.02266 1e+38 57.0
1e+38 1e+38 55.0
1e+38 0.13119 53.0
0.02214 0.12887 51.0
0.02204 0.12669 49.0
1e+38 0.12431 47.0
1e+38 0.12243 45.0
0.0229 0.11985 43.0
0.02204 0.11704 41.0
0.02242 0.1143 39.0
0.02167 0.11189 37.0
0.02202 0.10913 35.0
0.02245 0.10634 33.0
0.02119 0.10362 31.0
1e+38 0.10108 29.0
0.02202 0.09794 27.0
0.0231 0.09546 25.0
1e+38 0.09249 23.0
0.02362 0.0895 21.0
1e+38 0.08666 19.0
1e+38 0.08365 17.0
0.02342 0.08073 15.0
0.02245 0.07743 13.0
0.02214 0.07438 11.0
0.02187 0.0708 9.0
0.02189 0.0673 7.0
0.02191 0.06304 5.0
1e+38 0.05904 3.0
1e+38 0.05526 1.0
1e+38 0.14724 63.0
1e+38 0.14484 61.0
0.02841 0.1427 59.0
1e+38 0.14035 57.0
0.02935 0.13752 55.0
1e+38 0.13519 53.0
1e+38 0.13246 51.0
0.02843 0.13024 49.0
0.02871 0.12741 47.0
1e+38 0.12529 45.0
0.02949 0.12271 43.0
0.02912 0.12033 41.0
1e+38 0.1175 39.0
0.02797 0.11459 37.0
0.02855 0.11189 35.0
1e+38 0.109 33.0
0.0287 0.10623 31.0
0.02854 0.10333 29.0
1e+38 0.1005 27.0
0.02841 0.09767 25.0
0.02882 0.09456 23.0
1e+38 0.092 21.0
0.02803 0.08794 19.0
0.03007 0.08505 17.0
0.02881 0.08215 15.0
0.02866 0.07938 13.0
0.02825 0.0752 11.0
0.02937 0.07217 9.0
1e+38 0.06812 7.0
0.02824 0.06399 5.0
0.02931 0.06108 3.0
0.02706 0.05811 1.0
1e+38 0.1469 63.0
1e+38 0.14484 61.0
1e+38 0.1417 59.0
1e+38 0.14029 57.0
1e+38 0.13714 55.0
0.03519 0.13462 53.0
1e+38 0.13203 51.0
0.03423 0.1295 49.0
1e+38 0.12767 47.0
1e+38 0.12464 45.0
1e+38 0.12174 43.0
1e+38 0.11905 41.0
1e+38 0.11627 39.0
0.03347 0.11361 37.0
1e+38 0.11083 35.0
0.03373 0.10829 33.0
0.03405 0.10561 31.0
1e+38 0.10278 29.0
1e+38 0.09973 27.0
1e+38 0.09644 25.0
1e+38 0.09355 23.0
1e+38 0.09096 21.0
1e+38 0.08782 19.0
1e+38 0.08447 17.0
1e+38 0.08208 15.0
1e+38 0.07816 13.0
1e+38 0.075 11.0
1e+38 0.07075 9.0
1e+38 0.06657 7.0
1e+38 0.06232 5.0
1e+38 0.05874 3.0
1e+38 0.05503 1.0
1e+38 0.14685 63.0
1e+38 0.14544 61.0
0.039 0.14256 59.0
0.0386 0.14036 57.0
1e+38 0.13781 55.0
1e+38 0.13556 53.0
1e+38 0.13314 51.0
0.0376 0.13037 49.0
1e+38 0.12741 47.0
0.0372 0.12505 45.0
1e+38 0.12245 43.0
1e+38 0.12009 41.0
1e+38 0.1173 39.0
1e+38 0.11466 37.0
1e+38 0.11189 35.0
1e+38 0.10906 33.0
1e+38 0.10623 31.0
1e+38 0.1034 29.0
1e+38 0.10056 27.0
1e+38 0.09786 25.0
1e+38 0.09483 23.0
0.0375 0.09136 21.0
1e+38 0.08817 19.0
1e+38 0.08525 17.0
1e+38 0.08221 15.0
1e+38 0.07816 13.0
1e+38 0.07507 11.0
1e+38 0.07082 9.0
0.0371 0.06664 7.0
1e+38 0.06271 5.0
1e+38 0.0578 3.0
1e+38 0.05406 1.0
1e+38 0.14763 63.0
1e+38 0.14524 61.0
1e+38 0.14318 59.0
1e+38 0.14029 57.0
1e+38 0.13829 55.0
1e+38 0.13616 53.0
1e+38 0.13314 51.0
1e+38 0.13056 49.0
1e+38 0.1285 47.0
1e+38 0.1263 45.0
0.0435 0.12323 43.0
1e+38 0.12039 41.0
1e+38 0.1177 39.0
0.0446 0.11485 37.0
1e+38 0.11196 35.0
1e+38 0.10906 33.0
1e+38 0.10623 31.0
1e+38 0.10404 29.0
1e+38 0.10056 27.0
0.0428 0.09779 25.0
1e+38 0.09477 23.0
1e+38 0.09194 21.0
1e+38 0.08761 19.0
1e+38 0.08512 17.0
1e+38 0.08222 15.0
1e+38 0.07875 13.0
1e+38 0.07493 11.0
1e+38 0.0718 9.0
1e+38 0.06657 7.0
1e+38 0.06232 5.0
1e+38 0.05778 3.0
1e+38 0.05412 1.0
1e+38 0.14697 63.0
1e+38 0.14527 61.0
1e+38 0.14196 59.0
1e+38 0.14003 57.0
1e+38 0.13746 55.0
1e+38 0.13507 53.0
1e+38 0.13185 51.0
1e+38 0.13004 49.0
1e+38 0.1279 47.0
1e+38 0.12476 45.0
1e+38 0.12269 43.0
1e+38 0.11985 41.0
1e+38 0.11697 39.0
1e+38 0.11399 37.0
1e+38 0.11171 35.0
1e+38 0.10835 33.0
1e+38 0.10561 31.0
1e+38 0.1034 29.0
1e+38 0.10081 27.0
1e+38 0.09676 25.0
1e+38 0.09416 23.0
1e+38 0.09077 21.0
1e+38 0.08782 19.0
1e+38 0.08456 17.0
1e+38 0.08089 15.0
1e+38 0.07811 13.0
1e+38 0.07408 11.0
1e+38 0.07082 9.0
1e+38 0.06644 7.0
1e+38 0.06151 5.0
1e+38 0.05699 3.0
1e+38 0.05121 1.0
1e+38 0.14767 63.0
1e+38 0.1455 61.0
1e+38 0.14326 59.0
1e+38 0.14111 57.0
1e+38 0.13757 55.0
1e+38 0.13604 53.0
1e+38 0.13259 51.0
1e+38 0.13069 49.0
1e+38 0.12786 47.0
1e+38 0.12619 45.0
1e+38 0.12335 43.0
1e+38 0.12045 41.0
1e+38 0.11719 39.0
1e+38 0.1146 37.0
1e+38 0.11183 35.0
1e+38 0.10906 33.0
1e+38 0.10604 31.0
1e+38 0.1034 29.0
1e+38 0.10063 27.0
1e+38 0.09726 25.0
1e+38 0.0947 23.0
1e+38 0.09163 21.0
1e+38 0.08833 19.0
1e+38 0.08546 17.0
1e+38 0.08172 15.0
1e+38 0.07867 13.0
1e+38 0.07501 11.0
1e+38 0.07082 9.0
1e+38 0.06644 7.0
1e+38 0.06195 5.0
1e+38 0.05678 3.0
1e+38 0.05091 1.0
