Vin[V] Vout[V] Clip_b
0.047352 0.023942 63.0
0.044456 0.023765 61.0
0.045163 0.023734 59.0
0.044496 0.023868 57.0
0.045539 0.024025 55.0
0.046607 0.023994 53.0
0.048151 0.02408 51.0
0.046391 0.024129 49.0
0.046861 0.023774 47.0
0.04714 0.023866 45.0
0.047475 0.023951 43.0
0.046336 0.023832 41.0
0.045492 0.024151 39.0
0.047801 0.02419 37.0
0.045819 0.024225 35.0
0.04783 0.024359 33.0
0.046784 0.023796 31.0
0.048628 0.023732 29.0
0.046396 0.023288 27.0
0.046583 0.023184 25.0
0.047057 0.023457 23.0
0.04624 0.022956 21.0
0.045273 0.022635 19.0
0.046374 0.021745 17.0
0.045899 0.021089 15.0
0.044575 0.020111 13.0
0.045085 0.018916 11.0
0.047081 0.017452 9.0
0.046355 0.015752 7.0
0.046803 0.013602 5.0
0.046452 0.011377 3.0
0.046362 0.009146 1.0
0.09234 0.047496 63.0
0.09222 0.047292 61.0
0.09187 0.046992 59.0
0.09307 0.046939 57.0
0.09207 0.047105 55.0
0.09156 0.047193 53.0
0.09194 0.047016 51.0
0.09272 0.046604 49.0
0.09278 0.046242 47.0
0.09397 0.046221 45.0
0.09224 0.045227 43.0
0.0912 0.044635 41.0
0.09396 0.043939 39.0
0.09281 0.043073 37.0
0.09197 0.041955 35.0
0.0927 0.040949 33.0
0.09329 0.039854 31.0
0.09274 0.038793 29.0
0.09302 0.037362 27.0
0.0935 0.035891 25.0
0.09297 0.034227 23.0
0.09488 0.032796 21.0
0.09316 0.031035 19.0
0.09166 0.02936 17.0
0.09217 0.028142 15.0
0.09338 0.026275 13.0
0.0924 0.024419 11.0
0.09248 0.02253 9.0
0.09194 0.02083 7.0
0.09466 0.018611 5.0
0.09224 0.016283 3.0
0.09261 0.014443 1.0
0.18441 0.068907 63.0
0.18408 0.067765 61.0
0.18184 0.066507 59.0
0.18329 0.065486 57.0
0.18382 0.064382 55.0
0.18331 0.063045 53.0
0.18456 0.061801 51.0
0.18352 0.060232 49.0
0.18284 0.058811 47.0
0.18341 0.057911 45.0
0.18419 0.056201 43.0
0.18325 0.054919 41.0
0.1815 0.053457 39.0
0.18216 0.051944 37.0
0.18465 0.050581 35.0
0.18302 0.048771 33.0
0.18411 0.047404 31.0
0.1827 0.045891 29.0
0.18292 0.044319 27.0
0.18246 0.042554 25.0
0.18216 0.041131 23.0
0.18138 0.039283 21.0
0.18363 0.037709 19.0
0.18333 0.035779 17.0
0.18273 0.034239 15.0
0.18095 0.032024 13.0
0.18187 0.03069 11.0
0.1813 0.028723 9.0
0.18285 0.026279 7.0
0.18141 0.024216 5.0
0.18344 0.022446 3.0
0.18301 0.021714 1.0
0.27657 0.071476 63.0
0.27551 0.06989 61.0
0.27618 0.069177 59.0
0.27748 0.067678 57.0
0.2761 0.066428 55.0
0.27702 0.065084 53.0
0.27727 0.063501 51.0
0.27735 0.062432 49.0
0.27546 0.06105 47.0
0.27655 0.059833 45.0
0.27764 0.058224 43.0
0.27609 0.056939 41.0
0.27571 0.054976 39.0
0.27643 0.053712 37.0
0.27558 0.052333 35.0
0.27586 0.050533 33.0
0.27636 0.049408 31.0
0.27657 0.048078 29.0
0.27532 0.045938 27.0
0.27643 0.044901 25.0
0.27634 0.042873 23.0
0.27689 0.041012 21.0
0.27569 0.039297 19.0
0.27654 0.037487 17.0
0.27605 0.035528 15.0
0.27477 0.033759 13.0
0.27451 0.031982 11.0
0.27695 0.030041 9.0
0.27609 0.027746 7.0
0.27772 0.025712 5.0
0.27704 0.02337 3.0
0.27421 0.023387 1.0
0.36881 0.071256 63.0
0.37088 0.070444 61.0
0.37099 0.069162 59.0
0.37022 0.067766 57.0
0.37119 0.066428 55.0
0.37022 0.065156 53.0
0.36956 0.063965 51.0
0.36929 0.062534 49.0
0.37008 0.061156 47.0
0.37059 0.059548 45.0
0.37074 0.058512 43.0
0.37009 0.056629 41.0
0.36979 0.055222 39.0
0.37062 0.053597 37.0
0.37152 0.052157 35.0
0.36995 0.050754 33.0
0.37087 0.049157 31.0
0.36988 0.04772 29.0
0.36958 0.046168 27.0
0.36937 0.044348 25.0
0.37043 0.042618 23.0
0.37057 0.041167 21.0
0.37077 0.040052 19.0
0.37116 0.039097 17.0
0.36742 0.037934 15.0
0.37029 0.034626 13.0
0.36955 0.031885 11.0
0.36957 0.029879 9.0
0.37164 0.027871 7.0
0.3711 0.025086 5.0
0.37037 0.022887 3.0
0.37036 0.021232 1.0
0.45892 0.07159 63.0
0.46016 0.070351 61.0
0.45714 0.069446 59.0
0.45875 0.067929 57.0
0.45877 0.066558 55.0
0.45755 0.065305 53.0
0.4599 0.064098 51.0
0.46032 0.062434 49.0
0.45881 0.061175 47.0
0.45993 0.05967 45.0
0.46006 0.058382 43.0
0.45973 0.056873 41.0
0.45818 0.055412 39.0
0.45912 0.053721 37.0
0.45869 0.05225 35.0
0.45863 0.050747 33.0
0.45893 0.049994 31.0
0.45943 0.048687 29.0
0.45964 0.049198 27.0
0.45915 0.047442 25.0
0.45899 0.046238 23.0
0.45912 0.045577 21.0
0.46143 0.043926 19.0
0.45923 0.041217 17.0
0.45952 0.038908 15.0
0.45949 0.034717 13.0
0.45986 0.03171 11.0
0.45964 0.029445 9.0
0.46031 0.0271 7.0
0.45942 0.024897 5.0
0.45913 0.022593 3.0
0.45997 0.020486 1.0
0.5529 0.07264 63.0
0.5501 0.07131 61.0
0.5522 0.07004 59.0
0.5519 0.06875 57.0
0.551 0.06745 55.0
0.5531 0.06586 53.0
0.5514 0.06452 51.0
0.5519 0.06355 49.0
0.5509 0.06214 47.0
0.5512 0.06029 45.0
0.5508 0.05956 43.0
0.5538 0.05844 41.0
0.5492 0.05888 39.0
0.5519 0.05686 37.0
0.5528 0.05631 35.0
0.5494 0.05535 33.0
0.5528 0.0539 31.0
0.5528 0.05368 29.0
0.5521 0.05339 27.0
0.5511 0.05184 25.0
0.5516 0.04975 23.0
0.5529 0.0476 21.0
0.5518 0.0462 19.0
0.5511 0.04271 17.0
0.5497 0.04027 15.0
0.5509 0.03459 13.0
0.5519 0.0321 11.0
0.5526 0.03 9.0
0.55 0.02763 7.0
0.5505 0.02487 5.0
0.5509 0.02274 3.0
0.5515 0.02478 1.0
0.6421 0.07236 63.0
0.6449 0.07114 61.0
0.6434 0.07028 59.0
0.6431 0.06905 57.0
0.6415 0.06801 55.0
0.643 0.0661 53.0
0.6452 0.06539 51.0
0.6441 0.06498 49.0
0.6438 0.06536 47.0
0.6421 0.06436 45.0
0.6434 0.06363 43.0
0.6434 0.06205 41.0
0.6452 0.06088 39.0
0.6417 0.05959 37.0
0.6448 0.05885 35.0
0.643 0.05816 33.0
0.6428 0.05766 31.0
0.6433 0.05772 29.0
0.6426 0.05494 27.0
0.644 0.05425 25.0
0.6425 0.05123 23.0
0.6429 0.04846 21.0
0.6426 0.04522 19.0
0.6445 0.04249 17.0
0.6434 0.04099 15.0
0.6419 0.03463 13.0
0.6423 0.03206 11.0
0.643 0.02998 9.0
0.6442 0.02738 7.0
0.6421 0.02516 5.0
0.6439 0.02271 3.0
0.6444 0.02485 1.0
0.7278 0.07298 63.0
0.7288 0.07155 61.0
0.7268 0.07035 59.0
0.728 0.06915 57.0
0.7299 0.06812 55.0
0.7277 0.06731 53.0
0.7294 0.06817 51.0
0.7269 0.06706 49.0
0.7278 0.06659 47.0
0.727 0.06688 45.0
0.7289 0.06439 43.0
0.728 0.0638 41.0
0.728 0.06191 39.0
0.7293 0.06123 37.0
0.7287 0.06072 35.0
0.7268 0.06039 33.0
0.7262 0.05814 31.0
0.727 0.05801 29.0
0.7276 0.05608 27.0
0.7272 0.05426 25.0
0.7277 0.05052 23.0
0.7276 0.04831 21.0
0.7281 0.04505 19.0
0.7291 0.04357 17.0
0.7285 0.03932 15.0
0.726 0.03416 13.0
0.7256 0.03206 11.0
0.7292 0.03007 9.0
0.7291 0.02757 7.0
0.73 0.02492 5.0
0.7286 0.02187 3.0
0.7282 0.0216 1.0
0.9014 0.07286 63.0
0.9012 0.07155 61.0
0.9027 0.07032 59.0
0.904 0.0693 57.0
0.901 0.06736 55.0
0.9025 0.0667 53.0
0.9032 0.065 51.0
0.9025 0.06396 49.0
0.9021 0.06228 47.0
0.9031 0.06076 45.0
0.9035 0.05965 43.0
0.9029 0.0582 41.0
0.9046 0.05648 39.0
0.9032 0.05447 37.0
0.9006 0.05351 35.0
0.9019 0.05173 33.0
0.9036 0.05023 31.0
0.9037 0.0488 29.0
0.9039 0.04776 27.0
0.902 0.0459 25.0
0.9014 0.04389 23.0
0.9037 0.04136 21.0
0.9019 0.03973 19.0
0.9036 0.03801 17.0
0.9043 0.03605 15.0
