Vin[V] Vout[V] Clip_b
1e+38 0.034679 63.0
1e+38 0.034173 61.0
1e+38 0.033838 59.0
1e+38 0.034376 57.0
1e+38 0.034494 55.0
1e+38 0.033657 53.0
1e+38 0.03345 51.0
1e+38 0.033918 49.0
1e+38 0.033717 47.0
1e+38 0.033696 45.0
1e+38 0.033917 43.0
0.008906 0.033771 41.0
1e+38 0.033779 39.0
1e+38 0.033918 37.0
1e+38 0.033912 35.0
1e+38 0.033826 33.0
1e+38 0.033812 31.0
0.008707 0.033874 29.0
1e+38 0.033677 27.0
0.008756 0.033804 25.0
1e+38 0.033216 23.0
0.00863 0.033562 21.0
0.009406 0.033035 19.0
1e+38 0.032761 17.0
1e+38 0.033276 15.0
1e+38 0.033069 13.0
1e+38 0.032622 11.0
0.00804 0.031723 9.0
1e+38 0.03085 7.0
0.008383 0.028654 5.0
0.008865 0.024418 3.0
1e+38 0.015908 1.0
0.00957 0.068578 63.0
0.00951 0.068447 61.0
0.00949 0.068465 59.0
0.01027 0.069215 57.0
0.00925 0.068577 55.0
0.01023 0.06808 53.0
0.00856 0.068147 51.0
0.01054 0.068156 49.0
0.01047 0.068215 47.0
0.00964 0.068071 45.0
0.00905 0.068205 43.0
0.01028 0.067717 41.0
1e+38 0.068126 39.0
0.00981 0.068163 37.0
0.00932 0.067743 35.0
0.01085 0.067602 33.0
0.0092 0.067543 31.0
0.00977 0.068031 29.0
0.00878 0.067828 27.0
0.00908 0.067343 25.0
0.01003 0.066886 23.0
0.00785 0.067158 21.0
0.00964 0.066341 19.0
1e+38 0.066892 17.0
0.00927 0.065666 15.0
0.00953 0.065097 13.0
0.00911 0.063116 11.0
0.00939 0.060379 9.0
0.0088 0.054928 7.0
0.00962 0.046809 5.0
0.00878 0.037285 3.0
0.01071 0.025921 1.0
1e+38 0.1372 63.0
1e+38 0.13781 61.0
1e+38 0.13662 59.0
1e+38 0.13631 57.0
1e+38 0.13732 55.0
1e+38 0.13677 53.0
1e+38 0.13675 51.0
1e+38 0.13659 49.0
1e+38 0.13604 47.0
1e+38 0.13648 45.0
1e+38 0.1356 43.0
1e+38 0.13554 41.0
1e+38 0.13511 39.0
